"","species","clust","Maximum.vertical.height","Number.of.fertile.stamens","Number.of.ovules.per.carpel","Number.of.carpels","Fusion.of.ovaries","Flower.size","seedMass_merge.Seed_weight","Woodiness_herbaceous","Woodiness_woody","Climbing_climbing","Climbing_non.climbing","Aquatic_aquatic","Aquatic_non.aquatic","SexualSystem_dimorphic","SexualSystem_monomorphic","Lifespan_long","Lifespan_short","Mating_mixed","Mating_outcrossing","Mating_selfing","Pollination_abiotic","Pollination_autonomous","Pollination_biotic","Dispersal_mode_abiotic","Dispersal_mode_autonomous","Dispersal_mode_biotic","Dispersal_dist_long","Dispersal_dist_short","FlowerSex_bisexual","FlowerSex_unisexual","FloralReward_nectar","FloralReward_none","FloralReward_other","FloralReward_pollen","FlowerSymmetry_actinomorphic","FlowerSymmetry_other","FlowerSymmetry_zygomorphic","Showiness_bright","Showiness_dull"
"31","Antirrhinum majus",4,-3.168632677422,-2.53650187636076,NA,-1.09101083076309,1.07870894414484,-0.546534346836691,-10.1258484766467,"1","0","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","1","0","0","1","1","0","0","0","0","1","0","0","1","1","0"
"32","Apium graveolens",3,-2.47548549686205,-2.31335832504655,-4.73822773953331,-1.09101083076309,1.07870894414484,-3.72458817718464,-9.0843946018185,"1","0","0","1","0","1","0","1","0","1","1","0","0","0","0","1","1","0","0","1","0","1","0","1","0","0","0","1","0","0","1","0"
"33","Aquilegia canadensis",4,-3.11984251325257,-0.23391678336671,-0.420739625997003,-0.174720098888937,0,-0.728855903630646,-7.85716493532829,"1","0","0","1","0","1","0","1","1","0","1","0","0","0","0","1","0","1","0","0","1","1","0","1","0","0","1","1","0","0","1","0"
"34","Arabidopsis thaliana",3,-4.21845480192068,-2.13103676825259,-0.730894554300842,-1.09101083076309,1.07870894414484,-3.21376255341865,-11.9176079458747,"1","0","0","1","0","1","0","1","0","1","0","0","1","0","1","1","1","1","0","1","1","1","0","1","0","0","0","1","1","0","1","0"
"35","Aralidium pinnatifidum",2,NA,-2.31335832504655,-5.43137492009326,-0.685545722654928,1.07870894414484,-3.21376255341865,NA,"0","1","0","1","0","1","1","0","1","0","0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,"0","1",NA,NA,NA,NA,"1","0","0","1","0"
"36","Arctostaphylos uva-ursi",5,-4.72928042568667,-1.6202111444866,-4.73822773953331,-0.174720098888937,1.07870894414484,-3.43690610473286,-5.08835489504753,"0","1","0","1","0","1","0","1","1","0",NA,NA,NA,"0","1","1","0","0","1","1","0","1","0","1","0","0","0","1","0","0","1","0"
"37","Arum maculatum",6,-3.58414812138367,-2.67003326898528,NA,NA,NA,NA,-3.38326269564091,"1","0","0","1","0","1","0","1","1","0","1","1","0","0","0","1","0","0","1","1","0","0","1","0","1","0","0",NA,NA,NA,"0","1"
"38","Asparagus officinalis",2,-1.91586970892663,-2.13103676825259,NA,-0.685545722654928,1.07870894414484,-2.5206153728587,-4.91000733192286,"1","0","0","1","0","1","1","0","1","0","0","1","0","0","0","1","0","0","1","1","0","0","1","1","0","0","1","1","0","0","1","1"
"39","Astelia alpina",2,NA,-2.13103676825259,-1.1547088010772,-0.685545722654928,1.07870894414484,-2.74375892417291,-7.86582299807141,"1","0","0","1","0","1","1","0","1","0","0","1","0",NA,NA,NA,"0","0","1","1","0","1","1","1","0","0","0","1","0","0","0","1"
"40","Audouinia capitata",5,-3.39177622873621,-2.31335832504655,-2.94646827030526,NA,NA,-1.82746819229876,NA,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","1","0","0","1","0","1","0","1","0","0","0","1","0","0","1","0"
"41","Avicennia marina",5,-1.06449852315179,-2.53650187636076,-4.04508055897337,-1.09101083076309,1.07870894414484,-2.34666206573526,0.125945770157686,"0","1","0","1","0","1","0","1","1","0","1","0","0","0","0","1","1","0","0","1","0","1","0","1","0","0","0","1","0","0","1","0"
"42","Azima tetracantha",2,-2.58084601251988,-2.53650187636076,-4.73822773953331,-1.09101083076309,1.07870894414484,-0.574705223803388,-4.45596755366614,"0","1","0","1","0","1","1","0","1","0","0","1","0",NA,NA,NA,"0","0","1","1","0","0","1",NA,NA,NA,NA,NA,NA,NA,"1","1"
"43","Bagassa guianensis",2,0.9257118848001,-2.82418394881254,NA,NA,NA,NA,NA,"0","1","0","1","0","1","1","0","1","0","0","1","0","1","0","1","0","0","1","1","0","0","1","0","1","0","0",NA,NA,NA,NA,NA
"44","Balanophora laxiflora",1,NA,-2.31335832504655,NA,NA,NA,-1.42200308419059,NA,"1","0","0","1","0","1","1","0","1","0","0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,"0","1",NA,NA,NA,NA,"0","0","1",NA,NA
"45","Balanops pancheri",2,-1.08919113574216,-2.31335832504655,-4.04508055897337,-1.09101083076309,1.07870894414484,NA,NA,"0","1","0","1","0","1","1","0","1","0","0","1","0","1","0","0","0","0","1","1","0","0","1","0","1","0","0",NA,NA,NA,NA,NA
"46","Bdallophytum americanum",2,-4.27729530194361,-1.72557166014443,NA,0.467133787283457,NA,-1.98412200234413,NA,"1","0","0","1","0","1","1","0",NA,NA,"0","1","0",NA,NA,NA,"0","0","1","1","1","0","1","1","0","0","0","1","0","0","1","0"
"47","Begonia heracleifolia",4,NA,-0.809280928270271,NA,-0.685545722654928,NA,-1.6451466355048,-12.9392591934067,"1","0","0","1","0","1","0","1","1","1","1","0","0",NA,NA,NA,"0","1","0","0","1","1","0",NA,NA,NA,NA,"0","0","1","1","0"
