"","Maximum.vertical.height","Number.of.fertile.stamens","Number.of.ovules.per.carpel","Number.of.carpels","Fusion.of.ovaries","Flower.size","seedMass","Woodiness_herbaceous","Woodiness_woody","Climbing_climbing","Climbing_non.climbing","Aquatic_aquatic","Aquatic_non.aquatic","SexualSystem_bisexual","SexualSystem_dioecious","SexualSystem_monoecious","Lifespan_long","Lifespan_short","Mating_mixed","Mating_outcrossing","Mating_selfing","Pollination_abiotic","Pollination_autonomous","Pollination_biotic","DispersalMode_abiotic","DispersalMode_autonomous","DispersalMode_biotic","DispersalDist_long","DispersalDist_short","OvaryPosition_inferior","OvaryPosition_intermediate","OvaryPosition_superior","FloralReward_nectar","FloralReward_none","FloralReward_other","FloralReward_pollen","FlowerSymmetry_actinomorphic","FlowerSymmetry_other","FlowerSymmetry_zygomorphic","Showiness_bright","Showiness_dull"
"Astelia_alpina",-1.06386227395981,-0.191851995287345,0.700847875531827,0.0384931216028799,0.410413406723782,-1.01370538838619,-0.463884459066725,"1","0","0","1","0","1","0","1","0","1","0","0","1","0","0","0","1","0","0","1","1","0","0","0","1","1","0","0","0","1","0","0","0","1"
"Audouinia_capitata",-0.897554588803396,-0.366300791570949,-0.370129232592074,0.0384931216028799,0.333229731261658,-0.222604777099855,0.408131784182063,"0","1","0","1","0","1","1","0","0","1","0","0","1","0","0","0","1","1","0","0","1","0","0","1","0","1","0","0","0","1","0","0","1","0"
"Avicennia_marina",0.447833966810347,-0.579808862748757,-0.370129232592074,-0.570138569082411,0.410413406723782,-0.670862711360129,1.87184807464978,"0","1","0","1","0","1","1","0","0","1","0","1","0","0","0","0","1","1","0","0","1","0","0","0","1","1","0","0","0","1","0","0","1","0"
"Azima_tetracantha",-0.428759554295533,-0.579808862748757,-0.784439733353737,-0.570138569082411,0.410413406723782,0.858996854018345,0.532704722596073,"0","1","0","1","0","1","0","1","0","1","0","0","1","0","0","0","1","0","0","1","1","0","0","0","1","1","0","0","0","1","0","0","1","1"
"Bagassa_guianensis",1.7273637277725,-1.24302550823138,-0.333078116832789,-0.413964666719072,0.233286766881214,-2.21059440881926,0.661442789955916,"0","1","0","1","0","1","0","1","0","1","0","0","1","0","1","0","1","0","0","1","1","0","0","0","1","0","1","0","0","1","0","0","0","1"
"Balanophora_laxiflora",-0.64086792939813,-0.366300791570949,-0.278649875421467,-0.0824174804670718,0.261983261604312,0.127462820139255,-0.221294329008707,"1","0","0","1","0","1","0","1","0","1","0","0","1","0","0","0","1","1","0","0","1","0","1","0","0","1","0","0","0","0","0","1","1","0"
"Balanops_pancheri",0.43355928085105,-0.366300791570949,-0.370129232592074,-0.570138569082411,0.410413406723782,-1.22055378013973,0.70341505632462,"0","1","0","1","0","1","0","1","0","1","0","0","1","0","1","0","0","0","0","1","1","0","0","0","1","0","1","0","0","1","0","0","0","1"
"Bdallophytum_americanum",-1.4094690990538,0.196104872174067,0.0941139080778694,1.76874626773781,-0.257522246313835,-0.357855435625835,-0.018574940302067,"1","0","0","1","0","1","0","1","0","1","0","0","1","0","0","0","1","0","0","1","1","1","1","0","0","1","0","0","0","1","0","0","1","0"
"Begonia_heracleifolia",-0.730205564776151,1.0728295888345,0.930352261076484,0.0384931216028799,-0.361423347897464,-0.0651932809305539,-1.94668386466132,"1","0","0","1","0","1","0","0","1","1","1","1","0","0","0","0","1","0","1","0","0","1","1","0","0","1","0","0","1","0","0","1","1","0"
"Bergeranthus_multiceps",-1.8279632560475,3.07567724301279,0.537595326629283,0.734363734653898,-0.454439572172333,0.375839733116676,-0.35239068024488,"1","0","0","1","0","1","1","0","0","1","0","0","1","0","0","0","1","1","0","0","1","0","0","0","1","1","0","0","1","1","0","0","1","0"
