"","species","outcrossing_rate"
"301","Syringa vulgaris",NA
"302","Tacca chantrieri","selfing"
"303","Tacca leontopetaloides",NA
"304","Talinum paniculatum",NA
"305","Tectona grandis","outcrossing"
"306","Tetracentron sinense",NA
"307","Tetratheca aphylla","outcrossing"
"308","Tetroncium magellanicum",NA
"309","Thalictrum minus",NA
"310","Theobroma cacao","mixed"
"311","Thymelaea hirsuta",NA
"312","Titanotrichum oldhamii",NA
"313","Trachelium caeruleum",NA
"314","Tragopogon dubius","selfing"
"315","Tribulus terrestris",NA
"316","Trichilia emetica",NA
"317","Trillium erectum","mixed"
"318","Trithuria submersa",NA
"319","Trochocarpa laurina",NA
"320","Tropaeolum majus",NA
"321","Tropaeolum tricolor",NA
"322","Turnera ulmifolia","selfing"
"323","Typha latifolia",NA
"324","Urtica dioica",NA
"325","Vaccinium uliginosum",NA
"326","Valeriana officinalis","outcrossing"
"327","Verbascum thapsus","mixed"
"328","Veronica anagallis-aquatica",NA
"329","Viburnum rufidulum",NA
"330","Viola pubescens","mixed"
"331","Vitis labrusca",NA
"332","Viviania marifolia",NA
"333","Vriesea carinata","mixed"
"334","Warburgia ugandensis","outcrossing"
"335","Wurmbea biglandulosa","outcrossing"
"336","Xanthosoma sagittifolium",NA
"337","Ximenia americana",NA
"338","Zea mays","outcrossing"
"339","Zelkova serrata","outcrossing"
"340","Zostera marina","mixed"
