"","Species","Cluster"
"273","Qualea_grandiflora","4"
"274","Quercus_rubra","2"
"275","Quinchamalium_chilense","3"
"276","Quintinia_hyehenensis","2"
"277","Rafflesia_keithii","2"
"278","Ranunculus_acris","3"
"279","Ravenala_madagascariensis","4"
"280","Reseda_lutea","1"
"281","Rhexia_virginica","3"
"282","Rhizophora_stylosa","4"
"283","Ribes_aureum","4"
"284","Roridula_dentata","4"
"285","Roridula_gorgonias","3"
"286","Roupala_montana","4"
"287","Rourea_induta","4"
"288","Ruellia_ciliatiflora","1"
"289","Ruta_graveolens","4"
"290","Sagina_procumbens","3"
"291","Sagittaria_latifolia","3"
"292","Salpiglossis_sinuata","1"
"293","Santalum_spicatum","4"
"294","Sarracenia_purpurea","3"
"295","Sauvagesia_rhodoleuca","4"
"296","Saxifraga_cernua","3"
"297","Scaevola_montana","4"
"298","Schinus_molle","2"
"299","Schisandra_chinensis","3"
"300","Schizanthus_grahamii","1"
"301","Scleranthus_annuus","3"
"302","Senecio_vulgaris","3"
"303","Sesamum_indicum","1"
"304","Sextonia_rubra","4"
"305","Silene_vulgaris","1"
"306","Simmondsia_chinensis","2"
"307","Sinojackia_xylocarpa","4"
"308","Solanum_dulcamara","3"
"309","Souroubea_guianensis","4"
"310","Spergularia_marina","3"
"311","Spigelia_marilandica","3"
"312","Spiranthes_cernua","1"
"313","Spondias_tuberosa","4"
"314","Staphylea_trifolia","4"
"315","Stellaria_media","3"
"316","Sterculia_apetala","4"
"317","Stylidium_graminifolium","1"
"318","Swietenia_macrophylla","4"
"319","Syringa_vulgaris","4"
"320","Tacca_chantrieri","3"
"321","Tacca_leontopetaloides","3"
"322","Talinum_paniculatum","3"
"323","Tectona_grandis","4"
"324","Tetracentron_sinense","4"
"325","Tetratheca_aphylla","4"
"326","Tetroncium_magellanicum","5"
"327","Thalictrum_minus","3"
"328","Theobroma_cacao","4"
"329","Thymelaea_hirsuta","2"
"330","Titanotrichum_oldhamii","1"
"331","Trachelium_caeruleum","3"
"332","Tragopogon_dubius","1"
"333","Tribulus_terrestris","3"
"334","Trichilia_emetica","2"
"335","Trillium_erectum","3"
"336","Trithuria_submersa","5"
"337","Trochocarpa_laurina","4"
"338","Tropaeolum_majus","1"
"339","Tropaeolum_tricolor","1"
"340","Turnera_ulmifolia","4"
"341","Typha_latifolia","5"
"342","Urtica_dioica","5"
"343","Vaccinium_uliginosum","4"
"344","Valeriana_officinalis","3"
"345","Vellozia_squamata","4"
"346","Verbascum_thapsus","1"
"347","Veronica_anagallis-aquatica","1"
"348","Viburnum_rufidulum","4"
"349","Viola_pubescens","1"
"350","Vitex_negundo","4"
"351","Vitis_labrusca","4"
"352","Viviania_marifolia","3"
"353","Vriesea_carinata","1"
"354","Warburgia_ugandensis","4"
"355","Wurmbea_biglandulosa","3"
"356","Xanthosoma_sagittifolium","3"
"357","Ximenia_americana","4"
"358","Zea_mays","5"
"359","Zelkova_serrata","5"
"360","Zostera_marina","5"
