"Leaf_area_mm2"	"Nmass_mg_g"	"LMA_g_m2"	"Plant_height_m"	"Diaspore_mass_mg"	"SSD_combined_mg_mm3"
"Acacia acuminata subsp. burkittii"	-1.36279330578187	NA	3.03643617149987	-0.0439662464284405	0.610649304196818	NA
"Acacia adenocalyx"	NA	NA	NA	0.172226072730414	NA	NA
"Acacia adoxa"	NA	NA	NA	NA	0.11661136215359	NA
"Acacia adsurgens"	NA	NA	NA	NA	0.117411326325878	1.20256062095452
"Acacia adunca"	NA	NA	NA	NA	0.817634529485949	NA
"Acacia aestivalis"	NA	NA	NA	NA	1.44813442543006	NA
"Acacia alata"	NA	NA	NA	NA	0.369011281364492	NA
"Acacia albicorticata"	NA	NA	NA	NA	NA	0.0921583351973473
"Acacia alcockii"	NA	NA	NA	NA	0.543851998778202	NA
"Acacia alleniana"	NA	NA	NA	NA	NA	0.311222649027877
"Acacia allenii"	NA	NA	NA	NA	0.652945410841886	NA
"Acacia amabilis"	NA	NA	NA	NA	1.69846017279348	NA
"Acacia amblygona"	NA	NA	NA	NA	0.260127563724955	NA
"Acacia ammobia"	NA	NA	NA	NA	0.163480402509698	NA
"Acacia amoena"	NA	NA	NA	NA	0.0946542368396596	NA
"Acacia ampliceps"	NA	NA	NA	NA	0.729049966568746	0.345393828041283
"Acacia amythethophylla"	NA	NA	NA	0.65736788351011	1.4112816632627	1.44499010663534
"Acacia anceps"	NA	NA	NA	NA	0.664263779258297	NA
"Acacia ancistrocarpa"	NA	NA	NA	NA	0.957266860336252	NA
"Acacia anegadensis"	NA	NA	NA	NA	0.586886818904657	NA
"Acacia aneura"	-0.942867547670655	-0.230748463657218	2.56633905238739	0.661799028397225	0.455546410176486	1.38917986431986
"Acacia anfractuosa"	NA	NA	NA	NA	-0.169624567468654	NA
"Acacia angustissima"	NA	NA	NA	NA	0.278720849643924	NA
"Acacia anthochaera"	NA	NA	NA	NA	0.45092082589135	NA
"Acacia aphylla"	NA	NA	NA	NA	0.490080977909637	NA
"Acacia aprica"	NA	NA	NA	NA	-0.213468493437767	NA
"Acacia arenaria"	NA	NA	NA	0.38070644226845	0.877575612432336	NA
"Acacia argyrophylla"	NA	NA	NA	NA	1.1262539998743	NA
"Acacia aroma"	-2.85897659632671	1.18909283886698	0.812947485145575	0.12015219653051	1.10016629416453	1.02180971376028
"Acacia ascendens"	NA	NA	NA	NA	-0.000518560741091146	NA
"Acacia asepala"	NA	NA	NA	NA	-0.0781182098394928	NA
"Acacia aspera"	NA	NA	NA	NA	0.378401665764437	NA
"Acacia assimilis"	NA	NA	NA	NA	-0.315916312946044	NA
"Acacia ataxacantha"	1.15060960177944	0.838676052605468	0.288335076491718	0.740435652478308	1.43011064523275	NA
"Acacia atkinsiana"	NA	NA	NA	NA	0.27071770013853	1.22398965264067
"Acacia aulacocarpa"	0.38341288388103	NA	NA	1.28822690602316	0.571650909264782	0.583755133843746
"Acacia aureocrinita"	NA	NA	NA	NA	0.763414116630278	NA
"Acacia auriculiformis"	0.515803901256994	0.207635411337263	0.577077880634228	1.5783189985037	0.566435686234029	0.171741303904384
"Acacia ausfeldii"	NA	NA	NA	NA	0.332460828024764	NA
"Acacia baeuerlenii"	NA	NA	NA	NA	0.800979155370982	NA
"Acacia baileyana"	NA	NA	NA	0.795699234326631	0.634567321845858	NA
"Acacia bakeri"	NA	NA	NA	NA	0.93081245934167	0.949325128110583
"Acacia barringtonensis"	NA	NA	NA	NA	0.338084638366959	NA
"Acacia baueri"	NA	NA	NA	NA	0.404319183050436	NA
"Acacia beadleana"	NA	NA	NA	NA	0.414742386350055	NA
"Acacia beauverdiana"	NA	NA	NA	NA	-0.274479456674851	NA
"Acacia beckleri"	NA	NA	NA	NA	0.534412123387349	NA
"Acacia bellula"	NA	NA	NA	NA	0.741005408170292	NA
"Acacia berlandieri"	NA	NA	NA	NA	1.96075825211135	NA
"Acacia betchei"	NA	NA	NA	NA	0.827140153876867	NA
"Acacia bidwillii"	NA	NA	NA	NA	1.24017618968231	0.685504775456837
"Acacia bifaria"	NA	NA	NA	NA	-0.151629027680413	NA
"Acacia bilimekii"	NA	NA	NA	NA	0.768435671432417	NA
"Acacia binervata"	NA	NA	0.851384275958722	0.905474731772573	0.555242272772408	NA
"Acacia binervia"	NA	NA	NA	NA	0.271173206702726	NA
"Acacia bivenosa"	NA	NA	NA	NA	0.7320188601228	0.583755133843746
"Acacia blakei"	NA	NA	NA	NA	0.0702314237411352	NA
"Acacia blakelyi"	NA	NA	NA	NA	0.662147309777304	NA
"Acacia boormanii"	NA	NA	NA	NA	0.369236876074378	NA
"Acacia borleae"	0.154787899625492	0.135965116620753	1.01567447347736	0.378228786038677	0.721740301169642	NA
"Acacia botrydion"	NA	NA	NA	NA	0.577964841224152	NA
"Acacia brachybotrya"	-1.06972364532115	NA	1.44198941147219	0.0598572018355484	0.63447778259428	NA
"Acacia brachystachya"	-1.27643306833568	NA	2.1059881306636	0.311727709048695	0.807342512603351	1.42593015598939
"Acacia brassii"	NA	NA	NA	NA	0.148252183086477	NA
"Acacia brevispica"	NA	NA	NA	0.348802468691391	1.89411467023833	NA
"Acacia browniana"	NA	NA	NA	NA	-0.0862920381151584	NA
"Acacia brownii"	NA	NA	1.93014179228982	-1.13510094796739	NA	NA
"Acacia brumalis"	NA	NA	NA	NA	0.488594594084924	NA
"Acacia brunioides"	NA	NA	NA	NA	0.275706111369841	NA
"Acacia burbidgeae"	NA	NA	NA	NA	0.160832431084122	NA
"Acacia burkei"	NA	0.125967762570222	NA	0.907285146905078	1.51773606029362	NA
"Acacia burrowii"	NA	NA	NA	NA	-0.0242888515123529	NA
"Acacia bussei"	NA	NA	NA	NA	0.687994127112774	NA
"Acacia buxifolia"	NA	NA	NA	NA	0.430556835764729	NA
"Acacia caerulescens"	NA	NA	NA	NA	0.906006602578799	NA
"Acacia caesariata"	NA	NA	NA	NA	-0.487966509449904	NA
"Acacia caesia"	-1.91327027644831	NA	NA	1.18426253045093	NA	NA
"Acacia caesiella"	NA	NA	NA	NA	0.571929253730195	NA
"Acacia caffra"	NA	0.760941024018718	NA	0.508553733199059	0.976281644907075	NA
"Acacia calamifolia"	NA	NA	NA	NA	0.606220887577293	NA
"Acacia calcicola"	NA	NA	NA	NA	0.992328476428978	NA
"Acacia cambagei"	-0.571162227553774	NA	NA	0.983385158273373	0.753415949826072	1.58566756147433
"Acacia campylophylla"	NA	NA	NA	NA	0.0551785270478608	NA
"Acacia cana"	-1.09227730852566	NA	2.63301141074345	-0.263538625450926	NA	NA
"Acacia cangaiensis"	NA	NA	NA	NA	0.54996186454825	NA
"Acacia cardiophylla"	NA	NA	NA	NA	0.420419944022188	NA
"Acacia carens"	NA	NA	NA	NA	0.804363514552245	NA
"Acacia caroleae"	NA	NA	NA	NA	0.292137179010431	NA
"Acacia catechu"	NA	-0.219564118677081	NA	1.20295753729586	0.965586448724346	0.973795778934799
"Acacia caven"	-3.32099246022225	0.911860176540736	0.225061244517606	0.388072112822692	1.39944872767911	1.17870560043146
"Acacia cedroides"	NA	NA	NA	NA	0.238266270413582	NA
"Acacia celastrifolia"	NA	NA	NA	NA	0.386461069983485	NA
"Acacia cerastes"	NA	NA	NA	NA	-0.00831995558180404	NA
"Acacia chalkeri"	NA	NA	NA	NA	0.137665046500668	NA
"Acacia chapmanii"	NA	NA	NA	NA	-0.24743670432962	NA
"Acacia chariessa"	NA	NA	NA	0.0339124092561141	NA	NA
