"Leaf_area_mm2"	"Nmass_mg_g"	"LMA_g_m2"	"Plant_height_m"	"Diaspore_mass_mg"	"SSD_combined_mg_mm3"
"Omalotheca norvegica"	-0.683186983243393	NA	-0.622033530600296	-1.48922313328733	-0.922920701401841	-1.50568967519405
"Omalotheca supina"	-2.08424465681465	NA	-0.840982558041836	-2.0946724906915	-0.929536363498685	-1.36707463565028
"Omphalea bracteata"	0.802074122503781	NA	NA	NA	NA	NA
"Omphalea diandra"	1.034683743947	-0.00937396336676318	0.201048012760582	NA	3.8674085227578	-0.168833606602428
"Omphalea oleifera"	1.60956494272316	0.625333375990279	-0.0509765919242815	1.5783189985037	3.406975624105	-0.111957743847187
"Omphalea queenslandiae"	NA	NA	NA	NA	3.98703709610516	NA
"Omphalea sargentii"	1.10408243351224	NA	NA	NA	NA	NA
"Omphalocarpum elatum"	NA	NA	NA	NA	NA	0.311222649027877
"Omphalodes scorpioides"	NA	NA	NA	-1.18617321003045	NA	NA
"Omphalodes verna"	0.175934949196397	NA	-0.847295595044309	-1.54976177021619	NA	-1.59776839710335
"Omphalogonus calophyllus"	NA	NA	NA	NA	0.0868162059584718	NA
"Omphalolappula concava"	-1.78032808603483	NA	-0.162648050670867	-1.35197241306867	-0.476064540664986	NA
"Oncinotis tenuiloba"	0.265941786493546	NA	NA	NA	NA	NA
"Oncoba bukobensis"	NA	NA	NA	0.608023697065532	NA	NA
"Oncoba routledgei"	NA	NA	NA	NA	0.634253865902417	NA
"Oncoba spinosa"	NA	NA	-0.29697116137575	0.608023697065532	0.305168150336744	NA
"Oncoba welwitschii"	NA	NA	NA	NA	NA	0.411942730829548
"Oncosiphon africanum"	NA	NA	NA	NA	-0.764665043357483	NA
"Oncosiphon grandiflorum"	NA	NA	NA	NA	-0.922920701401841	NA
"Oncosiphon piluliferum"	NA	NA	NA	NA	-0.927637431482853	NA
"Oncosiphon suffruticosum"	NA	NA	NA	NA	-0.942054204301695	NA
"Oncosperma filamentosa"	NA	NA	NA	NA	2.34464192892534	NA
"Oncosperma horridum"	0.899973648882254	NA	NA	1.47958601958199	2.74065967675187	NA
"Oncostemum botryoides"	-1.12238607448406	NA	1.04137627742621	NA	NA	NA
"Oncostemum nervosum"	-1.96948666171526	NA	-0.734682066411167	NA	NA	NA
"Ondetia linearis"	NA	NA	NA	NA	1.96686536824095	NA
"Ondinea purpurea"	NA	NA	NA	NA	-0.669067544374004	NA
"Ongokea gore"	NA	NA	NA	NA	NA	0.881632381427537
"Onobrychis arenaria"	-1.13411931466095	0.86154058412072	0.678086270401465	-1.24921315449468	0.388347617046642	NA
"Onobrychis argyrea"	NA	NA	NA	NA	0.372459519573701	NA
"Onobrychis bungei"	NA	NA	-0.936360565800068	-0.993022271978713	0.176956617783134	NA
"Onobrychis caput-galli"	NA	NA	-0.346532780418414	-1.21363706156104	NA	-1.2614634587999
"Onobrychis crista-galli"	NA	NA	NA	-1.13510094796739	NA	NA
"Onobrychis ebenoides"	NA	0.47687199485086	NA	-0.915528568944899	NA	NA
"Onobrychis ferganica"	NA	NA	NA	NA	0.372459519573701	NA
"Onobrychis galegifolia"	NA	NA	NA	NA	0.372459519573701	NA
"Onobrychis humilis"	NA	NA	NA	NA	0.372459519573701	NA
"Onobrychis hypargyrea"	NA	NA	NA	NA	0.372459519573701	NA
"Onobrychis montana"	NA	0.803485772911676	0.365937952816895	-1.21677638698256	0.333308349484416	-0.794540949232587
"Onobrychis montana subsp. cadmea"	NA	NA	NA	NA	0.372459519573701	NA
"Onobrychis ptolemaica"	NA	NA	NA	NA	0.372459519573701	NA
"Onobrychis pyrenaica"	NA	NA	NA	-1.13510094796739	NA	NA
"Onobrychis saxatilis"	NA	NA	NA	-1.43950639663448	NA	NA
"Onobrychis supina"	NA	NA	NA	-1.02079923835968	NA	NA
"Onobrychis viciifolia"	NA	NA	-0.551264372928537	-0.7450484420333	0.486326990041187	-1.47007456039459
"Onobrychis wettsteinii"	NA	NA	NA	NA	0.372459519573701	NA
"Onoclea sensibilis"	0.446143766652882	-0.196332756009216	-1.14654000933195	-0.566994850178885	-0.967023136346524	NA
"Ononis alopecuroides"	NA	NA	NA	NA	0.0596034049022275	NA
"Ononis aragonensis"	NA	NA	NA	-0.759739486759544	NA	NA
"Ononis cristata"	NA	NA	NA	-1.46878553351716	-0.0621520819309203	NA
"Ononis diffusa"	NA	NA	NA	-1.13510094796739	NA	NA
"Ononis fruticosa"	NA	NA	NA	-0.44596580478861	NA	NA
"Ononis minutissima"	NA	NA	NA	-1.25594034806816	NA	NA
"Ononis mitissima"	NA	NA	NA	-1.88582387038307	-0.296087377199743	NA
"Ononis natrix"	NA	NA	NA	-0.868860578521227	-0.259622079789973	NA
"Ononis natrix subsp. angustissima"	NA	NA	NA	-1.13510094796739	NA	NA
"Ononis ornithopodioides"	NA	NA	NA	-1.13510094796739	NA	NA
"Ononis pubescens"	NA	NA	NA	-0.759739486759544	0.240253131981695	NA
"Ononis pusilla"	NA	NA	0.15792307237397	-1.07372982491205	-0.231506537643728	NA
"Ononis reclinata"	NA	NA	NA	-1.88582387038307	-0.684743827281999	NA
"Ononis rotundifolia"	NA	NA	NA	-0.890829012154988	NA	NA
"Ononis serrata"	NA	NA	NA	-0.759739486759544	NA	NA
"Ononis speciosa"	NA	NA	NA	-0.759739486759544	NA	NA
"Ononis spinosa"	NA	1.81720945059324	-0.520016026404434	-0.755693150733542	-0.117918537428525	NA
"Ononis spinosa subsp. hircina"	NA	NA	NA	-0.646535107048338	-0.0558162770766727	NA
"Ononis spinosaprocurrens"	-1.42952796096957	1.60561733615265	-0.887390524770565	-0.825897184413047	-0.0747953625299371	-1.77569089344361
"Ononis striata"	-1.56281273598747	0.306172128630498	-0.323508657540257	-2.23994605570301	-0.165546764290926	-1.35873858211375
"Ononis tridentata"	NA	NA	NA	0.111822835756914	NA	NA
"Ononis vaginalis"	NA	NA	NA	NA	-0.172866995999007	NA
"Ononis viscosa"	NA	NA	NA	-1.18617321003045	-0.0908901067028146	NA
"Ononis viscosa subsp. sicula"	NA	NA	NA	NA	-0.218185223518779	NA
"Onopordum acanthium"	0.614021444445147	NA	-0.050998769310413	-0.290176722603255	0.0563576218363761	-1.55117025116486
"Onopordum ambiguum"	NA	NA	NA	NA	0.307633247062476	NA
"Onopordum arabicum"	NA	NA	NA	NA	0.379102734422378	NA
"Onopordum arenarium"	NA	NA	NA	NA	0.260592590191381	NA
"Onopordum carduiforme"	NA	NA	NA	NA	0.695202156004724	NA
"Onopordum cynarocephalum"	NA	NA	NA	NA	0.458207056984697	NA
"Onopordum cynaroides"	NA	NA	NA	NA	0.526179855937105	NA
"Onopordum dissectum"	NA	NA	NA	NA	0.13178027319346	NA
"Onopordum heteracanthum"	NA	NA	NA	NA	0.303802996900111	NA
"Onopordum illyricum"	NA	NA	NA	NA	0.384932227049335	NA
"Onopordum macrocephalum"	NA	NA	NA	NA	0.43990780969739	NA
"Onopordum nervosum"	NA	NA	NA	NA	0.425294545576042	NA
"Onosma aleppica"	NA	NA	NA	NA	0.850856518119807	NA
"Onosma arenaria"	NA	NA	NA	-0.885679698060561	NA	NA
"Onosma armeniaca"	NA	NA	NA	NA	0.427982728203992	NA
"Onosma caespitosum"	NA	NA	NA	-1.13510094796739	NA	NA
"Onosma caucasica"	NA	NA	NA	-1.13510094796739	NA	NA
"Onosma echinata"	NA	NA	NA	NA	0.760972168481203	NA
"Onosma echioides"	NA	NA	NA	-1.00353778915256	NA	NA
"Onosma erecta"	NA	NA	NA	-1.13510094796739	NA	NA
"Onosma fastigiata"	NA	NA	NA	-1.07615279145364	NA	NA
"Onosma frutescens"	NA	-0.132028727265621	NA	-0.759739486759544	NA	NA
"Onosma graeca"	NA	NA	NA	-1.13510094796739	NA	NA
"Onosma helvetica"	NA	NA	NA	-0.933887348048519	NA	NA
"Onosma lingulata"	NA	NA	NA	NA	-0.425686692375184	NA
"Onosma mitis"	NA	NA	NA	-0.759739486759544	NA	NA
"Onosma pseudoarenaria"	NA	NA	NA	-0.812301521752894	NA	NA
"Onosma sericea"	NA	NA	NA	-1.13510094796739	NA	NA
"Onosma sericeum"	NA	NA	NA	NA	0.512158113312396	NA
"Onosma stellulatum"	NA	NA	NA	NA	-0.197294094651677	NA
"Onosma syriaca"	NA	NA	NA	NA	-0.322991137980588	NA
"Onosma taurica"	NA	NA	NA	-1.13510094796739	NA	NA
"Onosma tenuiflora"	NA	NA	NA	NA	-0.164265758387799	NA
"Onosma visianii"	NA	NA	NA	NA	0.46482996494121	NA
"Onosmodium bejariense"	NA	0.315813921239219	0.325566978914171	NA	NA	NA
"Onosmodium molle"	NA	NA	NA	NA	0.612942628987844	NA
"Onosmodium occidentale"	NA	NA	NA	NA	-0.277131077068657	NA
"Onychopetalum amazonicum"	1.74906823977848	NA	NA	NA	NA	0.559711082757255
"Onychopetalum periquino"	0.380442289089018	-0.276979275619669	0.15293144271513	NA	NA	-0.440558748227706
"Oocephala stenocephala"	NA	NA	NA	-0.121459949462255	NA	NA
"Oophytum nanum"	NA	NA	NA	NA	0.187251798462889	NA
"Opercularia aspera"	NA	NA	NA	-0.915528568944899	-0.769860637131233	NA
"Opercularia hispidula"	NA	NA	NA	NA	-0.769860637131233	NA
"Opercularia scabrida"	NA	NA	NA	NA	-0.904476846164462	NA
"Opercularia turpis"	NA	NA	NA	NA	-0.660561615747351	NA
"Opercularia vaginata"	NA	NA	NA	NA	-0.791187122546146	NA
"Opercularia varia"	NA	NA	NA	NA	-0.821079507124019	NA
"Operculicarya decaryi"	NA	NA	NA	NA	1.19543519680589	NA
"Operculicarya gummifera"	NA	NA	NA	NA	1.16769085614549	NA
"Operculina aequisepala"	NA	NA	NA	NA	1.76675791729916	NA
"Operculina hamiltonii"	NA	NA	NA	NA	1.60484697414451	NA
"Operculina macrocarpa"	NA	NA	NA	NA	2.19982970276591	NA
"Ophiocaryon heterophyllum"	1.35671120825974	-0.464602148331271	-0.0590478188273467	NA	NA	NA
"Ophiocaryon klugii"	1.74906823977848	NA	NA	NA	NA	NA
"Ophiocaryon manausense"	0.922806835647284	NA	NA	NA	NA	NA
"Ophioglossum azoricum"	NA	NA	NA	-1.89676428527869	NA	NA
"Ophioglossum engelmannii"	NA	NA	-0.0493806500714206	NA	NA	NA
"Ophioglossum lusitanicum"	NA	NA	NA	-2.0946724906915	NA	NA
"Ophioglossum pendulum"	1.39178643853227	NA	NA	NA	-0.967023136346524	NA
"Ophioglossum reticulatum"	-1.63656504575418	NA	-1.59619140553372	NA	-0.967023136346524	NA
"Ophioglossum vulgatum"	0.0484822064329471	NA	-0.909140333196839	-1.33998228226363	-0.967023136346524	NA
"Ophiopogon japonicus"	-0.32141864787534	0.6333513636148	0.611476090954422	-0.78751645314051	0.998850637041494	NA
"Ophiorrhiza singaporensis"	NA	NA	NA	NA	-0.961930939197247	NA
"Ophiuros exaltatus"	0.38341288388103	NA	NA	-0.0439662464284405	NA	NA
"Ophrestia madagascariensis"	NA	NA	NA	NA	0.717380016746735	NA
"Ophrestia torrei"	NA	NA	NA	-0.320594728714572	NA	NA
"Ophrestia unicostata"	NA	NA	NA	-1.02520196276223	NA	NA
"Ophrestia unifoliolata"	NA	NA	NA	-0.430268122531906	NA	NA
"Ophryosporus triangularis"	NA	NA	NA	-0.384378025551703	-0.832755182917812	NA
"Ophrys apifera"	-0.375210180207259	NA	-0.564040208560913	-1.03862906677164	NA	-2.5446348433619
"Ophrys arachnitiformis"	NA	NA	NA	-1.21363706156104	NA	NA
"Ophrys benacensis"	NA	NA	NA	-1.13781540036079	NA	NA
"Ophrys bertolonii"	NA	NA	NA	-1.21363706156104	NA	NA
"Ophrys flavicans"	NA	NA	NA	-1.18025476731054	NA	NA
"Ophrys fuciflora"	-0.0728737539796377	NA	-1.0530520314955	-1.18617321003045	NA	-3.1006007863059
"Ophrys fusca"	NA	NA	NA	-1.16287791434835	NA	NA
"Ophrys heterochila"	NA	NA	NA	-1.21363706156104	NA	NA
"Ophrys insectifera"	-0.665319505605605	NA	-1.10910722753725	-1.03187390077538	NA	-2.75831376392289
"Ophrys passionis"	NA	NA	NA	-1.21363706156104	NA	NA
"Ophrys scolopax"	NA	NA	NA	-1.21363706156104	NA	NA
"Ophrys sphegodes"	-0.258392775769288	NA	-1.25050403025199	-1.19820775237597	NA	-3.1006007863059
"Opilia amentacea"	0.370936409875375	NA	NA	NA	2.15334590256583	NA
"Opilia campestris"	NA	NA	NA	NA	1.89313964926068	NA
"Opisthiolepis heterophylla"	NA	NA	NA	NA	1.6933679756442	0.141816436438535
"Oplismenus burmanni"	-0.32141864787534	NA	NA	-0.157632930825605	-0.762944834708945	NA
"Oplismenus compositus"	-0.535828879464705	0.833228842968223	NA	-0.567944074118024	-0.612297032364488	NA
"Oplismenus hirtellus"	-1.19748722590231	1.16448296011469	-0.748577158990251	-1.30183044504836	-0.592225377797529	-1.38385748080825
"Oplismenus undulatifolius"	NA	NA	NA	-0.933887348048519	NA	NA
"Oplopanax elatus"	NA	NA	NA	0.3313952147794	NA	NA
"Oplopanax horridus"	NA	NA	NA	NA	0.55678195593447	NA
"Opopanax chironium"	NA	NA	NA	NA	0.0544836707413975	NA
"Opopanax chironius"	NA	NA	NA	NA	0.0544836707413975	NA
"Opopanax hispidus"	NA	NA	NA	NA	0.128180528519518	NA
"Opophytum aquosum"	NA	NA	0.357551427086328	NA	NA	NA
"Opuntia articulata"	NA	-1.15990222637863	2.79753431965342	-0.920971148612542	0.241171263593869	-1.57899151969116
"Opuntia aurea"	NA	NA	NA	NA	0.82111299616939	NA
"Opuntia basilaris"	NA	-1.07932767459748	NA	NA	0.924983015529292	NA
"Opuntia columbiana"	NA	-0.0583642780611753	1.94582265290369	NA	NA	NA
"Opuntia decumbens"	NA	NA	NA	NA	0.140082497304435	NA
"Opuntia engelmannii"	NA	NA	NA	NA	0.482002726012064	NA
"Opuntia ficus-indica"	NA	NA	NA	0.338567930483013	0.40607119294746	NA
"Opuntia fragilis"	NA	NA	NA	NA	0.629099178511792	NA
"Opuntia humifusa"	NA	NA	NA	-1.09593698688178	0.785282939746766	NA
"Opuntia hyptiacantha"	NA	NA	NA	NA	0.358831926433632	NA
"Opuntia lagopus"	NA	0.20365904720051	2.26382711562017	NA	NA	NA
"Opuntia littoralis"	NA	NA	NA	NA	0.115378201096454	NA
"Opuntia macrocentra"	NA	NA	NA	NA	0.611118165055164	NA
"Opuntia macrorhiza"	NA	NA	NA	NA	0.648847914180979	NA
"Opuntia monacantha"	NA	NA	NA	NA	0.683335271824838	NA
"Opuntia occidentalis"	NA	NA	NA	NA	0.370588359934881	NA
"Opuntia oricola"	NA	NA	NA	NA	0.441542309940509	NA
"Opuntia phaeacantha"	NA	NA	NA	NA	0.594688957118122	NA
"Opuntia polyacantha"	NA	NA	NA	-0.540167107737058	0.123280356454326	NA
"Opuntia stricta"	NA	NA	NA	NA	0.635819229210555	NA
"Opuntia sulphurea"	-0.108936587286169	-0.538081269555982	2.99813189232897	-0.728185001493179	0.216443671610616	-1.34217560236975
"Opuntia vaseyi"	NA	NA	NA	NA	-0.0630261412229653	NA
"Oraniopsis appendiculata"	0.877079015962926	NA	NA	1.47650134836506	2.86919156797686	NA
"Orbea caudata"	NA	NA	NA	NA	-0.580068948947161	NA
"Orbea lutea"	NA	NA	NA	NA	-0.0424500395071401	NA
"Orbea schweinfurthii"	NA	NA	NA	NA	-0.401395141754319	NA
"Orbea tapscottii"	NA	NA	NA	NA	-0.592225377797529	NA
"Orbexilum pedunculatum var. gracile"	NA	NA	NA	NA	0.213394437617898	NA
"Orbignya sp"	0.38341288388103	NA	NA	NA	NA	NA
"Orbivestus catumbensis"	NA	NA	NA	-0.136239521097305	NA	NA
"Orbivestus cinerascens"	NA	NA	NA	0.105011021178706	-0.762944834708945	NA
"Orbivestus karaguensis"	NA	NA	NA	0.111822835756914	-0.813441132621099	NA
"Orchis anthropophora"	-0.238948751190278	NA	-1.09924636665101	-1.09092276477395	NA	-3.76810616639496
"Orchis mascula"	0.180214944915659	0.142605521950586	-0.45045741049726	-1.00780184361376	NA	-2.81124136075683
"Orchis militaris"	0.713436293795226	0.597495961262608	-0.691816671107312	-0.95482792998586	-0.966511630465772	-2.92174538064483
"Orchis olbiensis"	NA	NA	NA	-0.777631628937586	NA	NA
"Orchis pallens"	NA	NA	NA	-1.04089964501894	-0.966000635324875	NA
"Orchis provincialis"	NA	NA	NA	-1.04546956343553	NA	NA
"Orchis psychodes"	NA	NA	NA	-0.638900086658767	-0.964980173189966	NA
"Orchis purpurea"	0.859339742716461	NA	-1.13626169979436	-0.742419640178649	NA	-4.0213416592389
"Orchis simia"	0.441164779093897	NA	-0.911451626649737	-0.90480481023085	NA	-3.1006007863059
"Orchis spitzelii"	NA	NA	NA	-0.937634990123967	NA	NA
"Orellana sp"	-0.32141864787534	NA	NA	0.3313952147794	NA	NA
"Oreobolus strictus"	-1.83233477116265	NA	0.112071878459263	-1.80544967056498	NA	NA
"Oreocallis brachycarpa"	NA	NA	NA	NA	NA	0.507582279116571
"Oreocharis auricula"	NA	NA	NA	NA	-0.956888912293694	NA
"Oreochloa disticha"	-1.55584330158196	-0.221381056486882	0.688021929505592	-1.38530798928276	NA	-0.640369606067894
"Oreochloa seslerioides"	NA	NA	NA	-1.00353778915256	NA	NA
"Oreocnide frutescens"	0.922806835647284	0.625065618961345	-0.978326267534487	-0.136239521097305	-0.759521667490119	NA
"Oreocnide integrifolia"	1.93089057431623	NA	NA	0.65736788351011	NA	NA
"Oreocnide obovata"	NA	NA	NA	0.3313952147794	NA	NA
"Oreocnide pedunculata"	0.298068449168401	0.632461880272095	-1.49768105971131	0.414872759013799	NA	-0.529758135593384
"Oreocnide rubescens"	NA	NA	NA	0.608023697065532	NA	NA
"Oreomunnea mexicana"	NA	NA	0.807170120989291	NA	NA	NA
"Oreomyrrhis andicola"	-0.855811517884257	0.971520215412829	0.379098243733105	-2.1108388290732	-0.283820866330407	NA
"Oreopanax capitatus"	NA	-0.967491925687055	NA	NA	NA	NA
"Oreopanax echinops"	NA	NA	NA	NA	NA	0.0921583351973473
"Oreopanax fulvus"	NA	NA	NA	NA	NA	0.345393828041283
"Oreopanax guatemalensis"	0.678005079308121	NA	0.94379264346672	1.20295753729586	NA	NA
"Oreopanax liebmannii"	NA	NA	NA	0.983385158273373	NA	NA
"Oreopanax nubigenus"	NA	-1.71025372553629	NA	0.79023422022164	NA	NA
"Oreopanax xalapensis"	0.755335996693105	-0.526311392275315	NA	0.983385158273373	NA	0.13047174183364
"Oreopteris limbosperma"	1.43401752894569	NA	0.0418287166711825	-0.410731779237995	-0.967023136346524	NA
"Oricia swynnertonii"	NA	NA	NA	1.20295753729586	NA	NA
"Origanum cordifolium"	NA	NA	NA	-0.915528568944899	NA	NA
"Origanum libanoticum"	NA	NA	NA	NA	-0.828833618969229	NA
"Origanum majorana"	NA	NA	NA	-0.776234125920389	-0.726493331226241	NA
"Origanum rotundifolium"	NA	NA	NA	-1.88582387038307	NA	NA
"Origanum syriacum"	NA	NA	NA	-0.759739486759544	-0.882319203963081	NA
"Origanum vulgare"	-0.638517547398321	0.0158976012674914	-0.7375063346841	-0.754351063011604	-0.920111390095916	-1.46127431664009
"Orinus thoroldii"	NA	-0.237930384935802	NA	NA	NA	NA
"Orites excelsus"	NA	NA	NA	NA	NA	0.13047174183364
"Orites myrtoides"	NA	NA	NA	NA	0.115378201096454	NA
"Orites revolutus"	NA	NA	NA	NA	0.109979101916359	NA
"Orixa japonica"	NA	NA	NA	0.3313952147794	NA	NA
"Orlaya grandiflora"	0.0899300411120933	-1.17628860793052	-0.434514431878805	-0.986809598271607	0.859856321779856	-1.70450213915698
"Ormocarpum kirkii"	NA	NA	NA	0.519121806261205	0.497156135637231	0.873959616573998
"Ormocarpum schliebenii"	NA	NA	NA	0.0339124092561141	NA	NA
"Ormocarpum sennoides"	NA	NA	NA	0.172226072730414	NA	NA
"Ormocarpum trichocarpum"	NA	0.837295167954038	NA	0.172226072730414	-0.0106837546623742	NA
"Ormocarpum zambesianum"	NA	NA	NA	0.18491226715134	NA	NA
"Ormosia amazonica"	0.928902821867362	-0.111159374546446	0.535875280899506	1.18058780733306	2.07874008612562	0.628032221891572
"Ormosia apiculata"	NA	NA	NA	1.33096965310025	NA	NA
"Ormosia arborea"	NA	NA	NA	NA	NA	0.768574220916346
"Ormosia balansae"	NA	0.35950310646241	NA	1.47958601958199	NA	-0.0693391160065477
"Ormosia bancana"	NA	NA	NA	NA	NA	0.345393828041283
"Ormosia bopiensis"	0.982059774787796	-0.245922587124957	1.13747434497143	1.35874661948121	NA	-0.0276572375680403
"Ormosia calavensis"	NA	NA	NA	NA	NA	-0.155556195592886
"Ormosia cinerea"	NA	NA	NA	NA	NA	0.411942730829548
"Ormosia coarctata"	NA	NA	NA	NA	NA	0.476235298876867
"Ormosia coccinea"	0.867862888904372	-0.274851177557667	0.818158020351273	1.4689770535095	2.28619539307163	0.513789974106337
"Ormosia costulata"	NA	NA	NA	NA	NA	0.577772639525945
"Ormosia coutinhoi"	NA	NA	NA	NA	3.63978780751679	0.437921892240574
"Ormosia elata"	1.22553745394142	-0.0545021819382696	0.11789262064408	NA	NA	NA
"Ormosia elliptica"	NA	NA	NA	0.983385158273373	NA	NA
"Ormosia excelsa"	NA	NA	NA	NA	2.41053709131032	0.507582279116571
"Ormosia flava"	NA	0.183888576188508	0.0235655936527551	1.54095714263732	NA	0.411942730829548
"Ormosia fordiana"	NA	NA	NA	1.20295753729586	3.0260570984587	NA
"Ormosia formosana"	NA	NA	NA	1.20295753729586	NA	NA
"Ormosia glaberrima"	NA	-0.517265034250007	-0.621233527930003	1.16420137682067	1.64289262109687	NA
"Ormosia gracilis"	NA	NA	NA	NA	NA	0.997954693237222
"Ormosia grandiflora"	0.380442289089018	NA	NA	NA	NA	NA
"Ormosia grossa"	NA	-0.56210854484081	NA	NA	NA	NA
"Ormosia henryi"	NA	0.800266812876119	-0.596509285092362	1.12546383426204	NA	-0.0693391160065477
"Ormosia hoaensis"	NA	NA	NA	NA	NA	0.0921583351973473
"Ormosia hosiei"	NA	NA	NA	1.5783189985037	NA	0.598629320885218
"Ormosia howii"	NA	NA	NA	0.983385158273373	NA	NA
"Ormosia indurata"	NA	NA	NA	0.926329055009727	NA	NA
"Ormosia inflata"	NA	NA	NA	0.983385158273373	NA	NA
"Ormosia intermedia"	1.11611213104727	NA	NA	NA	NA	NA
"Ormosia jamaicensis"	NA	NA	NA	NA	2.78873793184919	NA
"Ormosia krugii"	NA	0.264467313333427	NA	NA	NA	0.13047174183364
"Ormosia lignivalvis"	NA	NA	NA	NA	NA	0.411942730829548
"Ormosia longipes"	NA	NA	NA	1.5783189985037	NA	NA
"Ormosia macrocalyx"	0.870890143167201	0.526829664211239	-0.154330859218813	1.44321348962425	1.98235247229658	0.628032221891572
"Ormosia macrodisca"	NA	NA	NA	NA	NA	0.0530549060018032
"Ormosia melanocarpa"	NA	NA	NA	NA	NA	0.535358271379192
"Ormosia merrilliana"	NA	NA	NA	1.35874661948121	NA	NA
"Ormosia monosperma"	NA	NA	NA	NA	2.8559506532312	0.378960175563018
"Ormosia nanningensis"	NA	NA	NA	1.35874661948121	NA	NA
"Ormosia nobilis"	NA	NA	NA	1.52005815143143	NA	0.418470961462106
"Ormosia nuda"	NA	NA	NA	0.79023422022164	NA	NA
"Ormosia olivacea"	NA	NA	NA	1.35874661948121	NA	NA
"Ormosia ormondii"	NA	NA	NA	NA	NA	-0.0276572375680403
"Ormosia pachycarpa"	NA	NA	NA	1.08211813719508	2.65798269885289	NA
"Ormosia pachyptera"	NA	NA	NA	0.862545758172596	NA	NA
"Ormosia panamensis"	NA	NA	NA	1.6617965427381	2.04649409326915	NA
"Ormosia paraensis"	NA	1.05406274337667	-0.242530199828724	NA	NA	0.665586897121042
"Ormosia pinnata"	NA	0.570225896620156	NA	1.47958601958199	NA	0.352154794653276
"Ormosia robusta"	0.38341288388103	NA	NA	0.414872759013799	NA	NA
"Ormosia saxatilis"	NA	NA	NA	1.20295753729586	NA	NA
"Ormosia schunkei"	NA	-0.22112140444687	2.40235680614211	0.620866957971043	2.3198986544163	0.378960175563018
"Ormosia semicastrata"	NA	NA	NA	1.08211813719508	NA	0.526144735235519
"Ormosia sericeolucida"	NA	NA	NA	1.45747959840292	NA	NA
"Ormosia smithii"	NA	NA	NA	NA	NA	0.795474659550278
"Ormosia stipularis"	NA	-0.266226337298291	0.297793357714903	1.16559568142948	NA	0.324965094134137
"Ormosia striata"	NA	NA	NA	1.35874661948121	NA	NA
"Ormosia sumatrana"	NA	NA	NA	1.20295753729586	NA	0.441144406399239
"Ormosia xylocarpa"	NA	NA	NA	1.35874661948121	NA	0.13047174183364
"Ornduffia marchantii"	NA	NA	NA	NA	-0.913615688858144	NA
"Ornduffia reniformis"	NA	NA	NA	NA	-0.832755182917812	NA
"Ornithogalum boucheanum"	NA	NA	NA	-1.07131765113025	NA	NA
"Ornithogalum collinum"	-0.660996121275776	1.17793975750964	-0.254919697924253	-1.90793029156213	-0.354625660606427	-2.43882936815307
"Ornithogalum comosum"	NA	NA	NA	NA	-0.196158108411448	NA
"Ornithogalum conicum"	NA	NA	NA	NA	-0.865258904485735	NA
"Ornithogalum dubium"	NA	NA	NA	NA	-0.904476846164462	NA
"Ornithogalum graminifolium"	-0.678533244964107	NA	0.071669115597873	-1.21363706156104	NA	NA
"Ornithogalum gussonei"	NA	NA	NA	-1.56153467123829	NA	NA
"Ornithogalum maculatum"	NA	NA	NA	NA	-0.918247047082908	NA
"Ornithogalum magnum"	NA	NA	NA	NA	0.241653829957856	NA
"Ornithogalum narbonense"	NA	NA	NA	-0.849343795362357	-0.0945985402570814	NA
"Ornithogalum nutans"	0.405188352600459	NA	NA	-0.894289293057004	0.205587405260048	NA
"Ornithogalum orthophyllum"	NA	NA	NA	-1.70361334722696	NA	NA
"Ornithogalum pyramidale"	NA	NA	NA	-0.439182432770277	NA	NA
"Ornithogalum pyrenaicum"	0.405188352600459	2.29482687286774	NA	-0.602260755407412	0.0413129971571497	NA
"Ornithogalum saundersiae"	NA	NA	NA	NA	0.294317674814877	NA
"Ornithogalum thyrsoides"	NA	NA	NA	NA	-0.856937394452461	NA
"Ornithogalum umbellatum"	-0.287795417598807	NA	0.0681396961273162	-1.14881135416407	NA	-3.49277587070618
"Ornithogalum woronowii"	NA	NA	NA	NA	-0.476064540664986	NA
"Ornithogalum xanthochlorum"	NA	NA	NA	NA	-0.147485186488387	NA
"Ornithoglossum viride"	NA	NA	NA	NA	0.0481871397470765	NA
"Ornithopus compressus"	0.592884408672479	1.18637934656104	-1.34577768059396	-1.26619047336283	-0.328252011630833	-1.25357800408733
"Ornithopus perpusillus"	NA	0.573333096983345	-0.974066367880328	-1.17440030900835	-0.599660301657101	-1.8282274698378
"Ornithopus pinnatus"	NA	NA	NA	-1.51046240917523	-0.609999271298215	NA
"Ornithopus sativus"	NA	NA	NA	-0.692357956626676	-0.223783509249342	NA
"Orobanche alba"	NA	NA	NA	-0.846158303126211	-0.964980173189966	NA
"Orobanche alsatica"	NA	NA	NA	-0.887390701438529	NA	NA
"Orobanche amethystea"	NA	NA	NA	-1.05941536720977	NA	NA
"Orobanche arenaria"	NA	NA	NA	-0.772063126209585	-0.961930939197247	NA
"Orobanche artemisiae-campestris"	NA	NA	NA	-1.02520196276223	NA	NA
"Orobanche artemisiae-campestris subsp. picridis"	NA	NA	NA	-0.952890424811277	-0.965490149904902	NA
"Orobanche bulbosa"	NA	NA	NA	NA	-0.956888912293694	NA
"Orobanche californica"	NA	NA	NA	NA	-0.961930939197247	NA
"Orobanche canescens"	NA	NA	NA	-0.759739486759544	NA	NA
