"","species","RS"
"341","Turnera ulmifolia","Monocliny: mixed"
"342","Typha latifolia","Monoecy"
"343","Urtica dioica","Dioecy"
"344","Vaccinium uliginosum","Monocliny: mixed"
"345","Valeriana officinalis","Monocliny: outcrossing"
"346","Vellozia squamata","Monocliny: outcrossing"
"347","Verbascum thapsus","Monocliny: mixed"
"348","Veronica anagallis-aquatica","Monocliny: selfing"
"349","Viburnum rufidulum","Monocliny: outcrossing"
"350","Viola pubescens","Monocliny: mixed"
"351","Vitex negundo","Monocliny: outcrossing"
"352","Vitis labrusca","unknown"
"353","Viviania marifolia","Monocliny: outcrossing"
"354","Vriesea carinata","Monocliny: mixed"
"355","Warburgia ugandensis","Monocliny: outcrossing"
"356","Wurmbea biglandulosa","Monocliny: outcrossing"
"357","Xanthosoma sagittifolium","Monoecy"
"358","Ximenia americana","Monocliny: outcrossing"
"359","Zea mays","Monoecy"
"360","Zelkova serrata","Monoecy"
"361","Zostera marina","Monoecy"
