"","Maximumverticalheight","Numberoffertilestamens","Numberofovulesperfunctionalcarpel","Numberofstructuralcarpels","Fusionofovaries","flowerSize","seedMass","Woodiness","Climbing","Aquatic","SexualSystem","Lifespan","Mating","Pollination","DispersalMode","DispersalDist","OvaryPosition","FloralReward","FlowerSymmetry","Showiness"
"Bergeranthus_multiceps",-1.8279632560475,3.07567724301279,0.367197940232372,0.736576071035561,-0.444544229164368,0.375839733116676,0.00114757120165909,"herbaceous","non-climbing","non-aquatic","bisexual","long","outcrossing","biotic","biotic","long","superior","nectar_pollen","actinomorphic","bright"
"Berteroa_incana",-0.574043271343317,-0.191851995287345,-0.0698740677203784,-0.570138569082411,0.410413406723782,-1.26208230136362,-0.713221134664891,"herbaceous","non-climbing","non-aquatic","bisexual","long_short","outcrossing","biotic","abiotic","long","superior","nectar","actinomorphic","bright"
"Bertholletia_excelsa",1.89367141292891,2.62544424043205,0.528893481370741,0.470324178418419,0.410413406723782,0.568495834186485,2.06124508994945,"woody","non-climbing","non-aquatic","bisexual","long","outcrossing","biotic","biotic","long","inferior","nectar_pollen","zygomorphic","bright"
"Beta_vulgaris",0.0328540784407074,-0.366300791570949,-0.784439733353737,-0.235184378978198,0.410413406723782,-0.821049287316386,0.314598216053621,"herbaceous","non-climbing","non-aquatic","bisexual","long_short","mixed","abiotic","abiotic_autonomous","long_short","intermediate","none","actinomorphic","dull"
"Bixa_orellana",0.96326274568481,3.88451396468103,1.51263047610611,-0.570138569082411,0.410413406723782,1.0759749275949,0.436973547434525,"woody","non-climbing","non-aquatic","bisexual","long","mixed","biotic","biotic","short","superior","pollen","actinomorphic","bright"
"Borago_officinalis",-0.768556326379979,-0.366300791570949,-0.370129232592074,-0.570138569082411,0.410413406723782,0.568495834186485,0.30742565286126,"herbaceous","non-climbing","non-aquatic","bisexual","short","selfing","biotic","biotic","short","superior","nectar","actinomorphic","bright"
"Brasenia_schreberi",-0.133453606715704,1.22939339027008,-0.54208362675316,2.06852999930897,-2.55818949566563,0.375839733116676,0.054660582740791,"herbaceous","non-climbing","aquatic_non-aquatic","bisexual","long","mixed","abiotic","abiotic","long","superior","none","actinomorphic","bright_dull"
"Bretschneidera_sinensis",1.36396794809515,0.0834077827338659,-0.370129232592074,0.0384931216028799,0.410413406723782,0.858996854018345,0.898003097088413,"woody","non-climbing","non-aquatic","bisexual","long","mixed","biotic","autonomous","short","superior","nectar","zygomorphic","bright"
"Bruguiera_gymnorhiza",1.68747926555523,1.05132712515777,-0.0647966482289581,0.0384931216028799,0.410413406723782,0.795014037175827,2.42259428139284,"woody","non-climbing","non-aquatic","bisexual","long","mixed","biotic","abiotic","long","inferior","nectar","actinomorphic","bright_dull"
"Buddleja_davidii",0.562557543274467,-0.579808862748757,0.601293499490917,-0.106569869298789,0.354009951578384,-0.594531084327043,-1.17770258801667,"woody","non-climbing","non-aquatic","bisexual","long","outcrossing","biotic","abiotic","long","superior","nectar","actinomorphic","bright"
"Bursera_simaruba",1.19766026293874,0.296915853911674,-0.370129232592074,0.0384931216028799,0.137301939703956,-0.663637791147085,0.88796832748689,"woody","non-climbing","non-aquatic","dioecious_monoecious","long","outcrossing","biotic","biotic","long","superior","nectar","actinomorphic","dull"
"Butomus_umbellatus",-0.496849386393052,0.196104872174067,1.55386915085864,1.07895586910371,-0.73843591650092,0.477530417378364,-1.00591177725716,"herbaceous","non-climbing","aquatic","bisexual","long","outcrossing","biotic","abiotic_autonomous_biotic","long_short","superior","nectar","actinomorphic","bright"
"Buxus_balearica",0.667956798104982,-0.579808862748757,-0.370129232592074,0.0384931216028799,-0.245647834704278,-0.663637791147085,0.0822029542342432,"woody","non-climbing","non-aquatic","monoecious","long","outcrossing","abiotic_biotic","autonomous_biotic","short","superior","nectar_none","actinomorphic","bright"
"Byrsonima_crassifolia",1.09226100810823,0.296915853911674,-0.784439733353737,0.0384931216028799,0.410413406723782,-0.0651932809305539,-0.189548465166726,"woody","non-climbing","non-aquatic","bisexual","long","selfing","biotic","biotic","long","superior","other","zygomorphic","bright"
"Cabomba_caroliniana",0.96326274568481,-0.191851995287345,-0.127773125991498,0.0384931216028799,-2.55818949566563,0.568495834186485,-0.466437027970268,"herbaceous","non-climbing","aquatic","bisexual","long","outcrossing","biotic","biotic","long","superior","nectar_pollen","actinomorphic","bright"
