"","NTaxDat","Woodiness_herbaceous","Woodiness_woody","Climbing_climbing","Climbing_non-climbing","Aquatic_aquatic","Aquatic_non-aquatic","SexualSystem_dimorphic","SexualSystem_monomorphic","Lifespan_long","Lifespan_short","Mating_mixed","Mating_outcrossing","Mating_selfing","Pollination_abiotic","Pollination_autonomous","Pollination_biotic","Dispersal_abiotic","Dispersal_autonomous","Dispersal_biotic","FlowerSex_bisexual","FlowerSex_unisexual","OvaryPosition_inferior","OvaryPosition_intermediate","OvaryPosition_superior","FloralReward_nectar","FloralReward_none","FloralReward_other","FloralReward_pollen","FlowerSymmetry_actinomorphic","FlowerSymmetry_other","FlowerSymmetry_zygomorphic","Showiness_bright","Showiness_dull"
"157","Hypericum perforatum",1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0
"158","Ilex opaca",0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,NA,NA,NA,NA,1,0,0,1,1
"159","Impatiens capensis",1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0
"160","Ipomoea alba",0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,NA,NA,NA,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"161","Iris versicolor",1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,NA,NA,NA,1,0,1,0,0,NA,NA,NA,NA,1,0,0,1,0
"162","Irvingbaileya australis",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"163","Juglans mandshurica",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,NA,NA,NA,0,1
"164","Juncus effusus",1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1
"165","Kalanchoe daigremontiana",1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0
"166","Kalmia latifolia",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"167","Kirengeshoma palmata",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
"168","Kirkia wilmsii",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,0,0,1,NA,NA,NA,NA,1,0,0,NA,NA
"169","Lactoris fernandeziana",0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,NA,NA,NA,1,1,0,0,1,0,1,0,0,1,0,0,0,1
"170","Lantana camara",0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,NA,NA,NA,1,0,0,0,1,NA,NA,NA,NA,0,0,1,1,0
"171","Lapageria rosea",0,1,1,0,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0
"172","Larrea tridentata",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,1,0,NA,NA,NA,1,0,0,1,1,0,0,1,0
"173","Lemna minor",1,0,0,1,1,0,0,1,0,1,NA,NA,NA,0,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,0,1
"174","Lepidobotrys staudtii",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,0,0,1,NA,NA,NA,NA,1,0,0,NA,NA
"175","Limnanthes douglasii",1,0,0,1,0,1,1,0,0,1,NA,NA,NA,0,0,1,NA,NA,NA,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"176","Linum perenne",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"177","Liriodendron chinense",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,1,0,0,0,1,1,0,0,0,1,0,0,0,1
"178","Loasa heterophylla",1,0,0,1,0,1,0,1,1,0,0,1,0,NA,NA,NA,NA,NA,NA,1,0,1,0,0,1,0,0,0,1,0,0,1,0
"179","Lobelia angulata",1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,NA,NA,NA,1,1,1,0,0,1,0,0,0,0,0,1,1,0
"180","Ludwigia adscendens",1,0,0,1,1,0,0,1,1,0,NA,NA,NA,0,0,1,1,0,0,1,0,1,0,0,NA,NA,NA,NA,1,0,0,1,0
"181","Lythrum salicaria",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0
"182","Malesherbia linearifolia",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"183","Malpighia emarginata",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0
"184","Manihot esculenta",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,0,1,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"185","Manilkara zapota",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"186","Marathrum rubrum",1,0,0,1,1,0,0,1,0,1,NA,NA,NA,1,0,0,NA,NA,NA,1,0,0,0,1,0,1,0,0,1,0,0,1,1
"187","Mayaca fluviatilis",1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,NA,NA,NA,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"188","Mazus pumilus",1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0
"189","Medicago sativa",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0
"190","Melocactus curvispinus",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,1,0,1,0,0,1,0,0,0,NA,NA,NA,1,0
"191","Menispermum canadense",1,1,1,0,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,0,0,1,NA,NA,NA,NA,1,0,0,NA,NA
"192","Menyanthes trifoliata",1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"193","Miconia affinis",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,1,0,0,1,0
"194","Mirabilis jalapa",1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,NA,NA,NA,1,0,0,0,1,1,0,0,0,1,0,0,1,1
"195","Misodendrum linearifolium",0,1,0,1,0,1,1,0,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,0,1,1,0,0,NA,NA,NA,NA,1,0,0,NA,NA
"196","Mollugo verticillata",1,0,0,1,0,1,0,1,0,1,NA,NA,NA,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0
"197","Monotropa hypopitys",1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"198","Montinia caryophyllacea",0,1,0,1,0,1,1,0,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,0,1,1,0,0,NA,NA,NA,NA,1,0,0,NA,NA
"199","Moringa oleifera",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,1,0,1,0,0,0,1,NA,NA,NA,NA,0,0,1,1,0
"200","Myriophyllum sibiricum",1,0,0,1,1,0,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,1,1,1,0,0,NA,NA,NA,NA,1,0,0,1,0
"201","Myristica fragrans",0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0
"202","Myrothamnus moschata",0,1,0,1,0,1,1,0,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","Myrtus communis",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0
"204","Narthecium ossifragum",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,1,0,0,NA,NA,NA,1,1,0,0,1,0,1,0,0,1,0,0,1,0
"205","Nelumbo lutea",1,0,0,1,1,0,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,1,0,0,0,1,0,0,1,1,1,0,0,1,0
"206","Nelumbo nucifera",1,0,0,1,1,0,0,1,1,0,NA,NA,NA,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
"207","Nemesia strumosa",1,0,0,1,0,1,0,1,0,1,0,1,0,NA,NA,NA,NA,NA,NA,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,0
"208","Nepenthes macfarlanei",0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,NA,NA,NA,0,1,NA,NA,NA,1,1,0,0,1,0,0,NA,NA
"209","Nicotiana tabacum",1,0,0,1,0,1,0,1,1,1,NA,NA,NA,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0
"210","Nolana humifusa",1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0
"211","Nothapodytes nimmoniana",0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,NA,NA,NA,1,0,0,1,NA,NA,NA,1,0
"212","Nothofagus dombeyi",0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,NA,NA,NA,0,1,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA
"213","Nuphar advena",1,0,0,1,1,0,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,1,0,0,0,1,0,0,0,1,1,0,0,1,0
"214","Nymphaea odorata",1,0,0,1,1,0,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,1,0,0,1,0,1,0,0,0,1,1,0,1,0
"215","Nymphoides peltata",1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0
"216","Nyssa ogeche",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,0,0,1,0,1,1,0,0,NA,NA,NA,NA,1,0,0,1,0
"217","Ochroma pyramidale",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,0,0,1,1,0,0,0,1,1,0,1,1
"218","Octoknema borealis",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA
"219","Octomeles sumatrana",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,1,0,0,NA,NA,NA,NA,1,0,0,NA,NA
"220","Olea europaea",0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1
"221","Oryza sativa",1,0,0,1,1,0,0,1,0,1,NA,NA,NA,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1
"222","Ottelia acuminata",1,0,0,1,1,0,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
"223","Oxalis corniculata",1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,NA,NA,NA,1,0,0,0,1,1,0,0,1,1,0,0,1,0
"224","Paeonia californica",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"225","Panax quinquefolius",1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,NA,NA,NA,NA,1,0,0,0,1
"226","Pandanus tectorius",0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,NA,NA,NA,1,1
"227","Pennantia corymbosa",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,0,0,1,NA,NA,NA,NA,1,0,0,NA,NA
"228","Peritoma arborea",0,1,0,1,0,1,0,1,1,1,NA,NA,NA,0,0,1,NA,NA,NA,1,0,0,0,1,NA,NA,NA,NA,0,0,1,1,0
"229","Perrottetia ovata",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Petrosavia sakuraii",1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,NA,NA,NA,1,0,0,1,0,1,0,0,0,1,0,0,NA,NA
"231","Petunia axillaris",1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"232","Peumus boldus",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,0,0,1,NA,NA,NA,NA,1,0,0,NA,NA
"233","Phelline comosa",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,0,0,1,NA,NA,NA,NA,1,0,0,NA,NA
"234","Phoenix dactylifera",0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1
"235","Phormium tenax",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,0,1,1,1,0,0,0,0,0,1,1,0
"236","Phragmites australis",1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,NA,NA,NA,0,1
"237","Phryma leptostachya",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,1,0,0,0,1,NA,NA,NA,NA,0,0,1,1,0
"238","Phyllanthus niruri",1,0,0,1,0,1,0,1,0,1,0,1,0,NA,NA,NA,NA,NA,NA,0,1,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"239","Physena madagascariensis",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,0,0,1,NA,NA,NA,NA,1,0,0,0,1
"240","Picramnia polyantha",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,0,0,1,1,0,0,0,1,0,0,1,0
"241","Pinguicula alpina",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
"242","Piper amalago",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0
"243","Pittosporum dasycaulon",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,1,0,0,1,0,0,0,1,0,0,1,1,0
"244","Plantago lanceolata",1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1
"245","Platea latifolia",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,0,0,1,NA,NA,NA,NA,1,0,0,0,1
"246","Plocosperma buxifolium",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,0,0,1,0,1,0,0,1,NA,NA,NA,NA,0,0,1,1,0
"247","Plumbago auriculata",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"248","Podophyllum peltatum",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"249","Poeppigia procera",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,0,0,1,0,0,0,1,1,0,0,NA,NA
"250","Polycarpon tetraphyllum",1,0,0,1,0,1,0,1,0,1,NA,NA,NA,0,0,1,0,0,1,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"251","Polygala lewtonii",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,1,0,0,0,1,1,0,0,0,0,0,1,1,0
"252","Populus alba",0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
"253","Portulaca oleracea",1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,NA,NA,NA,NA,1,0,0,1,0
"254","Posidonia australis",1,0,0,1,1,0,0,1,1,0,NA,NA,NA,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,NA,NA,NA,0,1
"255","Posoqueria latifolia",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,1,0,0,1,0,0,0,0,0,1,1,0
"256","Potamogeton berchtoldii",1,0,0,1,1,0,0,1,1,1,NA,NA,NA,1,0,0,1,0,0,0,1,NA,NA,NA,0,1,0,0,NA,NA,NA,0,1
"257","Primula sieboldii",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"258","Prionotes cerinthoides",1,0,1,0,0,1,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"259","Prunus persica",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"260","Putranjiva roxburghii",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,0,0,1,NA,NA,NA,NA,1,0,0,1,1
"261","Qualea grandiflora",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,0,0,1,1,0
"262","Quercus rubra",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1
"263","Quinchamalium chilense",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,1,0,1,0,0,1,0,0,0,1,0,0,1,0
"264","Quintinia hyehenensis",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,0
"265","Ranunculus acris",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0
"266","Ravenala madagascariensis",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,1,0,1,0,0,1,0,0,1,0,0,1,1,0
"267","Rhizophora stylosa",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,1,0,0,NA,NA,NA,1,0,1,0,0,0,1,0,0,1,0,0,1,1
"268","Ribes aureum",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,1,0,0,1,0,0,0,1,0,0,1,0
"269","Roridula dentata",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1
"270","Roridula gorgonias",1,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1
"271","Roupala montana",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"272","Rourea induta",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","Ruta graveolens",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0
"274","Sagina procumbens",1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
"275","Sagittaria latifolia",1,0,0,1,0,1,1,1,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"276","Salpiglossis sinuata",1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,NA,NA,NA,1,0,0,0,1,NA,NA,NA,NA,0,0,1,1,0
"277","Santalum spicatum",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,NA,NA,NA,1,1
"278","Sarracenia purpurea",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1
"279","Sauvagesia rhodoleuca",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,0
"280","Saxifraga cernua",1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0
"281","Scaevola montana",0,1,0,1,0,1,0,1,NA,NA,0,1,0,0,0,1,0,0,1,1,0,NA,NA,NA,1,0,0,0,NA,NA,NA,1,0
"282","Schinus molle",0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,NA,NA,NA,NA,1,0,0,1,1
"283","Schisandra chinensis",1,0,1,0,0,1,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,0,1,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"284","Schizanthus grahamii",1,0,0,1,0,1,0,1,0,1,NA,NA,NA,0,0,1,NA,NA,NA,1,0,0,0,1,NA,NA,NA,NA,0,0,1,1,0
"285","Scleranthus annuus",1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1
"286","Sesamum indicum",1,0,0,1,0,1,0,1,0,1,NA,NA,NA,0,0,1,NA,NA,NA,1,0,0,0,1,1,0,0,0,0,0,1,1,0
"287","Sextonia rubra",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,1,0,0,0,1,0,0,1,0,1,0,0,1,0
"288","Silene vulgaris",1,0,0,1,0,1,1,0,1,0,NA,NA,NA,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0
"289","Simmondsia chinensis",0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,NA,NA,NA,0,1,0,0,1,0,1,0,0,1,0,0,1,1
"290","Sinojackia xylocarpa",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,1,0,0,1,0
"291","Solanum dulcamara",1,0,1,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0
"292","Spergularia marina",1,0,0,1,0,1,0,1,0,1,NA,NA,NA,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1
"293","Spigelia marilandica",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,1
"294","Spiranthes cernua",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,1,1,NA,NA,NA,1,0,1,0,0,NA,NA,NA,NA,0,0,1,1,1
"295","Spondias tuberosa",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0
"296","Staphylea trifolia",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,0,0,1,1,0,0,1,1,0,0,1,1
"297","Stellaria media",1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1
"298","Sterculia apetala",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,NA,NA,NA,NA,1,0,0,1,1
"299","Stylidium graminifolium",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,1,0,0,NA,NA,NA,NA,0,0,1,1,0
"300","Swietenia macrophylla",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,0,1,0,0,1,NA,NA,NA,NA,1,0,0,1,1
"301","Syringa vulgaris",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0
"302","Tacca chantrieri",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,1,1,0,0,1,1,0,1,0,0,NA,NA,NA,NA,1,0,0,1,1
"303","Tacca leontopetaloides",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,1,0,1,0,0,NA,NA,NA,NA,1,0,0,1,1
"304","Talinum paniculatum",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"305","Tectona grandis",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"306","Tetracentron sinense",0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,NA,NA,NA,1,0,0,1,0,1,1,0,1,1,0,0,1,1
"307","Tetratheca aphylla",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,NA,NA,NA,1,0
"308","Tetroncium magellanicum",1,0,0,1,1,0,1,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,0,1,0,0,1,NA,NA,NA,NA,0,1,0,NA,NA
"309","Thalictrum minus",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1
"310","Theobroma cacao",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"311","Thymelaea hirsuta",0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1
"312","Titanotrichum oldhamii",1,0,0,1,0,1,0,1,1,0,0,1,0,NA,NA,NA,NA,NA,NA,1,0,0,0,1,NA,NA,NA,NA,0,0,1,1,0
"313","Trachelium caeruleum",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0
"314","Tragopogon dubius",1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,NA,NA,NA,NA,0,0,1,1,0
"315","Tribulus terrestris",1,0,0,1,0,1,0,1,0,1,NA,NA,NA,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0
"316","Trichilia emetica",0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,NA,NA,NA,NA,1,0,0,NA,NA
