"","Maximum.vertical.height","Number.of.fertile.stamens","Number.of.ovules.per.carpel","Number.of.carpels","Fusion.of.ovaries","Flower.size","seedMass","Woodiness_herbaceous","Woodiness_woody","Climbing_climbing","Climbing_non.climbing","Aquatic_aquatic","Aquatic_non.aquatic","SexualSystem_dimorphic","SexualSystem_monomorphic","Lifespan_long","Lifespan_short","Mating_mixed","Mating_outcrossing","Mating_selfing","Pollination_abiotic","Pollination_autonomous","Pollination_biotic","DispersalMode_abiotic","DispersalMode_autonomous","DispersalMode_biotic","DispersalDist_long","DispersalDist_short","FlowerSex_bisexual","FlowerSex_unisexual","OvaryPosition_inferior","OvaryPosition_intermediate","OvaryPosition_superior","FloralReward_nectar","FloralReward_none","FloralReward_other","FloralReward_pollen","FlowerSymmetry_actinomorphic","FlowerSymmetry_other","FlowerSymmetry_zygomorphic","Showiness_bright","Showiness_dull"
"Capparis_zeylanica",0.356365395900786,1.56159743803352,0.781523452973688,0.467982547144242,0.178862380337408,1.67171846359946,0.494807563966227,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","1","0","1","0","0","0","1","1","0","0","0","1","0","0","1","0"
"Cardiocrinum_cordatum",-0.194362037041601,-0.191851995287345,2.64924653278602,0.0366200967296959,0.122458925192009,2.11206459159305,-0.134444969943238,"1","0","0","1","0","1","0","1","1","0","1","0","0","0","0","1","1","0","0","1","0","1","0","0","0","1","1","0","0","0","0","0","1","1","1"
"Carex_laxiflora",-0.829464756705876,-1.24302550823138,-0.784439733353737,0.0366200967296959,-0.0526886460489661,-1.19786737167931,-0.164155055814192,"1","0","0","1","0","1","0","1","1","0","0","0","1","1","0","0","1","0","0","1","0","0","1","0","0","1","0","1","0","0","1","0","0","0","1"
"Carica_papaya",0.667956798104982,0.296915853911674,0.0712571590523058,0.802573257885298,0.410413406723782,0.972673693387534,0.406800970714951,"0","1","0","1","0","1","1","0","1","0","0","1","1","0","1","1","0","0","1","1","0","0","1","0","0","1","1","1","0","1","1","0","0","1","0"
"Caryocar_brasiliense",0.96326274568481,3.55124737448139,0.850943159831376,0.26776002983936,0.172925174532629,1.3221960784935,0.70325734659903,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","1","0","1","0","0","1","0","1","0","0","0","1","0","0","1","0"
"Catalpa_speciosa",1.59836546534908,-1.24302550823138,0.639282226114927,-0.57135113032844,0.410413406723782,1.24718981184168,0.353204082382634,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","1","0","0","1","0","1","0","0","0","1","1","0","0","0","0","0","1","1","0"
"Catharanthus_roseus",-0.4450450089199,-0.366300791570949,0.639748465448719,-0.57135113032844,0.282763481921038,1.07228824968273,-0.400195764493,"0","1","0","1","0","1","0","1","1","0","1","0","0","0","0","1","0","1","1","0","1","1","0","0","0","1","1","0","0","0","1","0","0","1","0"
"Caulophyllum_thalictroides",-0.713457949063626,-0.191851995287345,-0.299727520152584,-1.61068480780112,0.0838670874609469,-0.313174977337562,1.04178359284857,"1","0","0","1","0","1","0","1","1","0","1","0","0","0","0","1","0","0","1","1","0","1","0","0","0","1","1","0","0","0","1","0","0","1","0"
"Centroplacus_glaucinus",1.36396794809515,-0.366300791570949,-0.370129232592074,0.0366200967296959,0.410413406723782,-1.60973221146823,0.298609269969611,"0","1","0","1","0","1","1","0","1","0","0","1","0","0","0","1","1","0","0","1","0","0","1","0","0","1","1","0","0","0","1","0","0","1","0"
"Ceratophyllum_demersum",0.267251595694639,-1.906242153714,-0.784439733353737,-1.61068480780112,-1.09763686769004,-2.01488862620615,-0.00908840503879409,"1","0","0","1","1","0","0","1","1","0","1","0","0","1","0","0","0","0","1","1","0","0","1","0","0","1","0","1","0","1","1","0","0","0","1"
"Cercidiphyllum_japonicum",1.59836546534908,0.296915853911674,1.02093981977457,-1.61068480780112,-2.55818949566563,-0.313174977337562,-0.67946049714662,"0","1","0","1","0","1","1","0","1","0","0","1","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","1","0","0","1","0","0","0","1"
"Chimaphila_umbellata",-1.11416315147397,0.296915853911674,1.14435836558731,0.802573257885298,0.410413406723782,0.0676973451048058,-2.3210589176882,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","1","0","0","1","1","0","0","0","1","1","0","0","1","1","0","0","1","0"
"Chimonanthus_praecox",0.834264483261393,-0.0443576396278283,-0.370129232592074,1.68392500126051,-2.55818949566563,0.649677347922942,0.86799958990149,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","1","0","0","1","1","0","0","0","1","1","0","0","1","1","0","0","1","0"
"Chloranthus_spicatus",-0.663157071549464,-1.09553115257186,-0.784439733353737,-1.61068480780112,-0.509853493016935,-0.819863698368677,-0.276961138757916,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","1","0","1","0","0","0","1","0","0","1","0","1","0","0","0","1"
"Chorispora_tenella",-1.05430676039816,-0.191851995287345,0.857669215706189,-0.57135113032844,0.410413406723782,1.5861995267979,-0.451445676251136,"1","0","0","1","0","1","0","1","0","1","0","0","1","0","0","1","1","0","0","1","0","1","0","0","0","1","1","0","0","1","1","0","0","1","0"
"Cinnamomum_camphora",1.43205778019267,0.196104872174067,-0.784439733353737,-1.61068480780112,-0.302051289849676,-1.26020982636226,0.864350226447799,"0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","0","1","1","0","1","0","0","0","1","0","0","1","0","1","0","0","1","1"
"Cirsium_pitcheri",-0.713457949063626,-0.366300791570949,-1.1987502341154,-0.57135113032844,0.261983261604312,0.56751727864961,-0.224778182238407,"1","0","0","1","0","1","0","1","1","1","1","0","0","0","0","1","1","0","0","1","0","1","0","1","0","0","1","0","0","0","0","0","1","1","0"
"Clarkia_xantiana",-0.829464756705876,0.0834077827338659,2.93017884334565,0.467982547144242,0.410413406723782,0.857565858204355,-0.960858577094712,"1","0","0","1","0","1","0","1","0","1","1","0","0","0","0","1","0","1","0","0","1","1","0","1","0","0","1","0","0","1","0","0","1","1","0"
"Claytonia_virginica",-1.23016995911622,-0.366300791570949,-0.370129232592074,0.0366200967296959,0.410413406723782,-0.362447145853929,-0.446614702101765,"1","0","0","1","0","1","0","1","1","0","0","1","0","0","0","1","0","1","1","0","1","1","0","0","0","1","1","0","0","0","1","0","0","1","0"
"Cleistesiopsis_bifaria",-1.03565690407956,-1.24302550823138,0.986904157540739,0.0366200967296959,0.365884363187942,1.51455212767431,-0.905192527182677,"1","0","0","1","0","1","0","1","1","0","0","1","0","0","0","1","1","0","0","1","0","1","0","1","0","0","0","0","0","1","0","0","1","1","1"
