"","family","order","Woodiness","Climbing","Aquatic","SexualSystem","Lifespan","Mating","Pollination","DispersalMode","DispersalDist","FlowerSex","OvaryPosition","FloralReward","FlowerSymmetry","Showiness","Maximumverticalheight","Numberoffertilestamens","Numberofovulesperfunctionalcarpel","Numberofstructuralcarpels","Fusionofovaries","flowerSize","seedMass","groups_pam","groups_pam_one_hot","groups_kpro","groups_kpro_one_hot"
"Rafflesia keithii","Rafflesiaceae","Malpighiales",NA,NA,NA,"dimorphic","long","outcrossing","biotic","biotic","long_short","unisexual","inferior",NA,"actinomorphic","bright_dull",NA,40,NA,NA,NA,80,NA,1,3,NA,2
"Ranunculus acris","Ranunculaceae","Ranunculales","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","superior","nectar_pollen","actinomorphic","bright",0.575,60,1,20,0,2.15,1.72,2,1,8,NA
"Ranunculus ficaria","Ranunculaceae","Ranunculales","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","short","bisexual","superior","nectar_pollen","actinomorphic","bright",0.215,25,1,15,NA,3.1875,NA,2,1,8,NA
"Ravenala madagascariensis","Strelitziaceae","Zingiberales","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","long","bisexual","inferior","nectar_pollen","zygomorphic","bright",13.5,6,12.5,3,1,19,243.52,4,5,6,1
"Reseda lutea","Resedaceae","Brassicales","herbaceous","non-climbing","non-aquatic","dimorphic","long_short","outcrossing","biotic","biotic","long","bisexual","superior",NA,"zygomorphic","bright_dull",40,20,NA,3,NA,0.6,0.76,NA,NA,NA,NA
"Rhexia virginica","Melastomataceae","Myrtales","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic",NA,NA,"bisexual",NA,NA,"actinomorphic","bright",0.75,8,NA,4,NA,3.5,0.02,2,1,NA,15
"Rhizophora stylosa","Rhizophoraceae","Malpighiales","woody","non-climbing","non-aquatic","monomorphic","long","mixed","abiotic","abiotic","long","bisexual","inferior","none","actinomorphic","bright_dull",13.5,8,2,2,1,NA,32835,NA,5,NA,7
"Ribes aureum","Grossulariaceae","Saxifragales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual","inferior","nectar","actinomorphic","bright",2,5,NA,2,NA,1.6,1.67,6,2,NA,1
"Roridula dentata","Roridulaceae","Ericales","woody","non-climbing","non-aquatic","monomorphic","long","selfing","autonomous_biotic","autonomous","short","bisexual","superior","none","actinomorphic","bright_dull",2,5,1,3,1,2.5,NA,4,2,NA,NA
"Roridula gorgonias","Roridulaceae","Ericales","herbaceous_woody","non-climbing","non-aquatic","monomorphic","long","selfing","autonomous_biotic","autonomous","short","bisexual","intermediate","none","actinomorphic","bright_dull",1,5,3,3,1,2.5,1.14,2,1,3,4
"Roupala montana","Proteaceae","Proteales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior","nectar","actinomorphic","bright",6,4,2,1,NA,0.775,47,4,2,1,1
"Rourea induta","Connaraceae","Oxalidales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual",NA,NA,NA,NA,4,10,NA,NA,NA,1.1,NA,4,2,1,1
"Ruellia ciliatiflora","Acanthaceae","Lamiales","herbaceous_woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic",NA,NA,"bisexual",NA,NA,"zygomorphic","bright",0.525,4,NA,NA,NA,5.5,1.99,5,4,3,11
"Ruta graveolens","Rutaceae","Sapindales","woody","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","autonomous","short","bisexual","superior","nectar_pollen","actinomorphic","bright",1,9,4,4,1,NA,2.03,4,2,NA,NA
"Sagina procumbens","Caryophyllaceae","Caryophyllales","herbaceous","non-climbing","non-aquatic","monomorphic","long","selfing","autonomous_biotic","autonomous","short","bisexual","superior","nectar","actinomorphic","dull",0.2,4,28,4,NA,0.2,0.02,3,1,NA,4
"Sagittaria latifolia","Alismataceae","Alismatales","herbaceous","non-climbing","non-aquatic","dimorphic_monomorphic","long","outcrossing","biotic","abiotic","long","unisexual","superior",NA,"actinomorphic","bright",1,30,NA,6,NA,4,0.56,3,1,NA,9
"Salpiglossis sinuata","Solanaceae","Solanales","herbaceous","non-climbing","non-aquatic","monomorphic","short","outcrossing","autonomous_biotic","autonomous","short","bisexual","superior",NA,"zygomorphic","bright",1,4,NA,2,1,5.5,0.1,5,4,3,5
"Santalum spicatum","Santalaceae","Santalales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","inferior","nectar_other","actinomorphic","bright_dull",6,4,1,3,NA,0.6,1556.12,NA,2,1,1
"Sarracenia purpurea","Sarraceniaceae","Ericales","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous","short","bisexual","superior","nectar","actinomorphic","bright_dull",0.25,65,282,5,1,6,1.76,3,1,NA,4
"Saxifraga cernua","Saxifragaceae","Saxifragales","herbaceous","non-climbing","non-aquatic","dimorphic_monomorphic","long","outcrossing","biotic","abiotic_biotic","long","bisexual","intermediate","nectar","actinomorphic","bright",0.155,10,232,2,0.7,15,NA,2,1,7,3
"Scaevola montana","Goodeniaceae","Asterales","woody","non-climbing","non-aquatic","monomorphic",NA,"outcrossing","biotic","biotic","long","bisexual",NA,"nectar",NA,"bright",NA,NA,NA,NA,NA,NA,NA,6,5,1,1
"Schinus molle","Anacardiaceae","Sapindales","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","abiotic_biotic","long","unisexual","superior",NA,"actinomorphic","bright_dull",8.5,10,1,3,1,NA,30.75,1,3,2,2
"Schisandra chinensis","Schisandraceae","Austrobaileyales","herbaceous","climbing","non-aquatic","monomorphic","long","mixed","biotic",NA,NA,"unisexual","superior",NA,"actinomorphic","bright",9,5.5,2.5,27,0,NA,6.88,2,1,8,13
"Schizanthus grahamii","Solanaceae","Solanales","herbaceous","non-climbing","non-aquatic","monomorphic","short","mixed","biotic",NA,NA,"bisexual","superior",NA,"zygomorphic","bright",0.5,2,NA,2,1,2.9,1.23,5,4,3,11
"Scleranthus annuus","Caryophyllaceae","Caryophyllales","herbaceous","non-climbing","non-aquatic","dimorphic_monomorphic","short","mixed","autonomous_biotic","autonomous","short","bisexual","superior","nectar_none","actinomorphic","bright_dull",0.135,3.5,1,2,1,0.15,1.21,NA,NA,3,4
"Senecio vulgaris","Asteraceae","Asterales","herbaceous","non-climbing","non-aquatic","monomorphic","short",NA,"biotic","abiotic","long","bisexual","inferior",NA,"actinomorphic","bright",NA,5,0.5,2,NA,0.55,0.21,2,NA,4,3
"Sesamum indicum","Pedaliaceae","Lamiales","herbaceous","non-climbing","non-aquatic","monomorphic","short","mixed","biotic","autonomous","short","bisexual","superior","nectar","zygomorphic","bright",1.2,4,32.5,2,1,2.4,2.21,5,4,3,5
"Sextonia rubra","Lauraceae","Laurales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous_biotic","long_short","bisexual","superior","other","actinomorphic","bright",40,9,1,1,NA,NA,NA,4,2,1,1
"Silene vulgaris","Caryophyllaceae","Caryophyllales","herbaceous","non-climbing","non-aquatic","dimorphic","long","mixed","biotic","abiotic","long","bisexual_unisexual","superior","nectar_other","actinomorphic_zygomorphic","bright",0.6,10,NA,NA,1,2.1,1.22,NA,4,7,3
"Simmondsia chinensis","Simmondsiaceae","Caryophyllales","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic","biotic","long","unisexual","superior","none","actinomorphic","bright_dull",2.5,10,NA,3,1,0.4,546.9,1,3,2,8
"Sinia rhodoleuca","Ochnaceae","Malpighiales","woody","non-climbing","non-aquatic","monomorphic","long",NA,NA,"abiotic","long","bisexual","superior",NA,NA,"bright",1.15,5,NA,3,NA,0.525,NA,4,2,NA,19
"Sinojackia xylocarpa","Styracaceae","Ericales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual","intermediate",NA,"actinomorphic","bright",6,13,7,3,1,1.75,NA,6,2,1,1
"Solanum dulcamara","Solanaceae","Solanales","herbaceous","climbing_non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","long","bisexual","superior","pollen","actinomorphic","bright",1.15,5,15,2,1,1.25,26.44,3,1,NA,NA
"Souroubea guianensis","Marcgraviaceae","Ericales","woody","climbing","non-aquatic","monomorphic",NA,"outcrossing","biotic","biotic","long","bisexual",NA,"nectar_other",NA,"bright",NA,5,NA,NA,NA,1.4,NA,4,2,1,1
"Spergularia marina","Caryophyllaceae","Caryophyllales","herbaceous","non-climbing","non-aquatic","monomorphic","short","selfing","autonomous","abiotic","long","bisexual","superior","nectar","actinomorphic","bright_dull",0.2,4.33333333333333,114,NA,NA,0.65,0.05,3,NA,5,3
"Spigelia marilandica","Loganiaceae","Gentianales","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","autonomous","short","bisexual","superior",NA,"actinomorphic","bright_dull",0.45,5,NA,2,1,3.75,NA,3,1,3,4
"Spiranthes cernua","Orchidaceae","Asparagales","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","autonomous_biotic","abiotic","long","bisexual","inferior",NA,"zygomorphic","bright_dull",0.3,1,NA,3,1,1.5,0.004,5,4,5,3
"Spondias tuberosa","Anacardiaceae","Sapindales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual",NA,NA,"actinomorphic","bright",6,10,1,4.5,NA,NA,1400,6,2,1,1
"Staphylea trifolia","Staphyleaceae","Crossosomatales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior","nectar_pollen","actinomorphic","bright_dull",3.1225,5,9,2.5,1,0.83,50.64,NA,2,1,1
"Stellaria media","Caryophyllaceae","Caryophyllales","herbaceous","non-climbing","non-aquatic","monomorphic","long_short","selfing","autonomous_biotic","autonomous","short","bisexual","superior","nectar","actinomorphic","bright_dull",0.2,5.5,NA,NA,NA,0.525,0.38,3,1,3,4
"Sterculia apetala","Malvaceae","Malvales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual_unisexual","superior",NA,"actinomorphic","bright_dull",35,15,11,5,0.2,2,1898.5,NA,NA,NA,14
"Stylidium graminifolium","Stylidiaceae","Asterales","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous","short","bisexual","inferior",NA,"zygomorphic","bright",2.025,2,90,2,1,1,0.18,4,4,3,5
"Swietenia macrophylla","Meliaceae","Sapindales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","unisexual","superior",NA,"actinomorphic","bright_dull",30,10,14,5,1,1,555.13,NA,NA,6,NA
"Syringa vulgaris","Oleaceae","Lamiales","woody","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","biotic","long","bisexual","superior","nectar_pollen","actinomorphic","bright",6,2,2,2,1,1,5.57,4,2,1,1
"Tacca chantrieri","Taccaceae","Dioscoreales","herbaceous","non-climbing","non-aquatic","monomorphic","long","selfing","autonomous_biotic","biotic","long","bisexual","inferior",NA,"actinomorphic","bright_dull",0.75,6,285,3,NA,1.75,5.69,2,1,5,3
"Tacca leontopetaloides","Taccaceae","Dioscoreales","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic",NA,NA,"bisexual","inferior",NA,"actinomorphic","bright_dull",1,6,23,3,NA,NA,22.93,2,1,NA,15
"Talinum paniculatum","Talinaceae","Caryophyllales","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","autonomous","short","bisexual","superior",NA,"actinomorphic","bright",0.65,15.75,19,3,NA,0.84,0.58,3,1,3,4
"Tectona grandis","Lamiaceae","Lamiales","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior","nectar","actinomorphic","bright",40,6,NA,NA,NA,0.55,696.37,4,2,1,1
"Tetracentron sinense","Trochodendraceae","Trochodendrales","woody","non-climbing","non-aquatic","monomorphic","long","mixed","abiotic_biotic","abiotic","long","bisexual","intermediate","nectar_none_pollen","actinomorphic","bright_dull",40,4,6,4,0.8,0.15,0.15,4,5,NA,NA
