"","NTaxDat","Woodiness","Climbing","Aquatic","SexualSystem","Lifespan","Mating","Pollination","DispersalMode","DispersalDist","FlowerSex","OvaryPosition","FloralReward","FlowerSymmetry","Showiness"
"338","Trillium erectum","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","short","bisexual","superior",NA,"actinomorphic","bright_dull"
"339","Trithuria submersa","herbaceous","non-climbing","aquatic","monomorphic","short","selfing","abiotic","autonomous","short","unisexual","superior","none","actinomorphic","bright"
"340","Trochocarpa laurina","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic_biotic","long","bisexual","superior",NA,"actinomorphic","bright"
"341","Tropaeolum majus","herbaceous","climbing_non-climbing","non-aquatic","monomorphic","long_short",NA,"biotic","abiotic","long","bisexual","superior","nectar_pollen","zygomorphic","bright"
"342","Tropaeolum tricolor","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic",NA,NA,"bisexual","superior",NA,"zygomorphic","bright"
"343","Turnera ulmifolia","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","short","bisexual","superior",NA,"actinomorphic","bright"
"344","Typha latifolia","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"abiotic","abiotic","long","unisexual","superior","none",NA,"dull"
"345","Urtica dioica","herbaceous","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic","biotic","long","unisexual","superior","none","actinomorphic_other","dull"
"346","Vaccinium uliginosum","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing_selfing","biotic","biotic","long","bisexual","inferior","nectar","actinomorphic","bright_dull"
"347","Valeriana officinalis","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","inferior","nectar_pollen","other","bright"
"348","Vellozia squamata","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual",NA,NA,"actinomorphic","bright"
"349","Verbascum thapsus","herbaceous","non-climbing","non-aquatic","monomorphic","short",NA,"biotic","biotic","long","bisexual","superior","nectar_pollen","zygomorphic","bright"
"350","Veronica anagallis-aquatica","herbaceous","non-climbing","non-aquatic","monomorphic","long","selfing","abiotic_biotic","abiotic","long","bisexual","superior","none","zygomorphic","bright"
"351","Viburnum rufidulum","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","inferior","pollen","actinomorphic","bright"
"352","Viola pubescens","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","autonomous_biotic","autonomous_biotic","short","bisexual","superior",NA,"zygomorphic","bright"
"353","Vitex negundo","woody","non-climbing","non-aquatic","monomorphic","long",NA,"biotic",NA,NA,"bisexual",NA,"nectar","zygomorphic","bright"
"354","Vitis labrusca","woody","climbing","non-aquatic","monomorphic","long",NA,"biotic","biotic","long","bisexual","superior",NA,"actinomorphic","dull"
"355","Viviania marifolia","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic_biotic","long","bisexual","superior","nectar","actinomorphic","bright"
"356","Vriesea carinata","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","abiotic","long","bisexual","superior",NA,"actinomorphic_zygomorphic","bright"
"357","Warburgia ugandensis","woody","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","biotic","long","bisexual","superior",NA,"actinomorphic","bright_dull"
"358","Wurmbea biglandulosa","herbaceous","non-climbing","non-aquatic","dimorphic_monomorphic","long",NA,"biotic","autonomous","short","bisexual_unisexual","superior","nectar","actinomorphic","bright"
"359","Xanthosoma sagittifolium","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","autonomous_biotic","long_short","unisexual","superior","other",NA,"bright"
"360","Ximenia americana","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic_biotic","long","bisexual","superior",NA,"actinomorphic","bright_dull"
"361","Zea mays","herbaceous","non-climbing","non-aquatic","monomorphic","short",NA,"abiotic","biotic","long","unisexual","superior","none",NA,"dull"
"362","Zelkova serrata","woody","non-climbing","non-aquatic","monomorphic","long",NA,"abiotic","abiotic","long","bisexual_unisexual","superior","none",NA,"dull"
"363","Zostera marina","herbaceous","non-climbing","aquatic","monomorphic","long",NA,"abiotic","abiotic","long","unisexual",NA,"none",NA,"dull"
