"","NTaxDat","Woodiness","Climbing","Aquatic","SexualSystem","Lifespan","Mating","Pollination","DispersalMode","DispersalDist","FlowerSex","OvaryPosition","FloralReward","FlowerSymmetry","Showiness"
"67","Cannabis sativa","herbaceous","non-climbing","non-aquatic","dimorphic_monomorphic","short","outcrossing","abiotic","autonomous_biotic","long_short","unisexual","superior","none","actinomorphic","bright_dull"
"68","Capparis zeylanica","woody","non-climbing","non-aquatic","monomorphic","long",NA,NA,"biotic","long","bisexual",NA,NA,"actinomorphic","bright"
"69","Cardiocrinum cordatum","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","abiotic","long","bisexual",NA,"nectar","zygomorphic","bright_dull"
"70","Carex laxiflora","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"abiotic",NA,NA,"unisexual","superior","none",NA,"dull"
"71","Carica papaya","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing_selfing","autonomous_biotic","biotic","long","unisexual","superior","nectar_none_pollen","actinomorphic","bright"
"72","Caryocar brasiliense","woody","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","biotic","long","bisexual","intermediate","nectar","actinomorphic","bright"
"73","Catalpa speciosa","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior","nectar","zygomorphic","bright"
"74","Catharanthus roseus","woody","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","autonomous_biotic","short","bisexual",NA,"nectar","actinomorphic","bright"
"75","Caulophyllum thalictroides","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","long","bisexual","superior",NA,"actinomorphic","bright"
"76","Centroplacus glaucinus","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,NA,NA,"unisexual",NA,NA,"actinomorphic","bright"
"77","Ceratophyllum demersum","herbaceous","non-climbing","aquatic","monomorphic","long","mixed","abiotic","biotic","long","unisexual",NA,"none_pollen",NA,"dull"
"78","Cercidiphyllum japonicum","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic","abiotic","long","unisexual","superior","none",NA,"dull"
"79","Chimaphila umbellata","woody","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","autonomous","short","bisexual","superior","nectar_pollen","actinomorphic","bright"
"80","Chimonanthus praecox","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous","short","bisexual","superior","nectar_pollen","actinomorphic","bright"
"81","Chloranthus spicatus","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual",NA,"other",NA,"dull"
"82","Chorispora tenella","herbaceous","non-climbing","non-aquatic","monomorphic","short","selfing","biotic","abiotic","long","bisexual","superior",NA,"actinomorphic","bright"
"83","Cinnamomum camphora","woody","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","biotic","long","bisexual","superior",NA,"actinomorphic","bright_dull"
