"","Woodiness","Climbing","Aquatic","SexualSystem","Lifespan","Mating","Pollination","DispersalMode","DispersalDist","FlowerSex","OvaryPosition","FloralReward","FlowerSymmetry","Showiness","Maximumverticalheight","Monocarpwidth","Numberoffertilestamens","Numberofovulesperfunctionalcarpel","Pollensize","Pollenovuleratio","Monocarplength","Numberofstructuralcarpels","Fusionofovaries","Lengthofgynoecium","flowerSize","seedMass"
"Albizia julibrissin","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic_autonomous","long_short","bisexual_unisexual","superior","nectar_pollen","actinomorphic","bright_dull",16,2,25,15,100,2826,14.75,1,NA,NA,0.8,37.37
"Alepis flavida","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","long","bisexual","inferior","nectar","actinomorphic","bright",1,NA,5.5,NA,NA,NA,NA,NA,NA,NA,1.6,NA
"Allanblackia floribunda","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","biotic","long","unisexual","superior",NA,"actinomorphic","bright",30,9.5,185,18,NA,NA,35,5,NA,NA,5,NA
"Allium sativum","herbaceous","non-climbing","non-aquatic","monomorphic","long","selfing","autonomous","autonomous","short","bisexual_unisexual","superior",NA,"actinomorphic_zygomorphic","bright",0.3,NA,6,2,NA,NA,NA,3,NA,NA,NA,NA
"Allium schoenoprasum","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous","short","bisexual","superior","nectar","actinomorphic","bright",0.35,0.315,6,2,NA,NA,0.345,3,NA,NA,1.04,0.99
"Allocasuarina verticillata","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic","abiotic","long","unisexual",NA,"none",NA,"bright",7,NA,1,1,30,4364,NA,1.5,1,NA,0.9,4
"Alluaudia procera","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","abiotic","long","unisexual","superior",NA,"other","bright_dull",15,NA,8,1,NA,NA,0.25,3,1,NA,0.2,2.22
"Alnus alnobetula","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","abiotic","abiotic","long","unisexual","inferior","none","actinomorphic","dull",10,NA,4,1.5,23,NA,NA,2.5,1,NA,NA,0.51
"Aloe thraskii","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic",NA,NA,"bisexual",NA,"nectar","zygomorphic","bright",2.75,NA,6,NA,NA,NA,NA,NA,NA,NA,2.35,NA
"Alphitonia excelsa","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","inferior","nectar","actinomorphic","bright_dull",21,0.9,5,1,22,5550,0.85,3,NA,NA,1,22.06
"Alseuosmia macrophylla","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","inferior","nectar","actinomorphic","bright",2.375,NA,5,51.5,47.5,NA,NA,2,NA,NA,3.75,4.1
"Alstroemeria aurea","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","autonomous","short","bisexual","inferior","nectar","zygomorphic","bright",0.75,NA,6,21.5,NA,4500,2.25,3,NA,NA,5,18.91
"Alyssum simplex","herbaceous","non-climbing","non-aquatic","monomorphic","short","selfing","biotic","abiotic","long","bisexual","superior","nectar","actinomorphic","bright",0.15,0.45,6,2,36.55,NA,0.45,2,1,NA,0.25,0.83
"Amborella trichopoda","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic_biotic","autonomous_biotic","long_short","unisexual","superior","none_other","actinomorphic","bright",8,0.5,16.5,1,NA,1582,0.7,5,0,NA,0.4,3.67
"Amsonia tabernaemontana","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic",NA,NA,"bisexual","superior",NA,"actinomorphic","bright",0.65,NA,5,NA,NA,NA,NA,2,0,NA,1.9,84.21
"Anarthria polyphylla","herbaceous","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic",NA,NA,"unisexual","superior","none","actinomorphic","dull",0.1,NA,3,1,NA,NA,0.2,3,1,NA,0.5,NA
"Angelonia pubescens","herbaceous","non-climbing","non-aquatic","monomorphic","short","selfing","biotic","biotic","long","bisexual","superior","other","zygomorphic","bright",0.7,NA,4,NA,NA,NA,NA,2,1,NA,1.4,NA
"Anigozanthos humilis","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual",NA,"nectar","zygomorphic","bright",0.55,NA,6,51,NA,NA,NA,3,NA,NA,3.75,0.52
"Annona crassiflora","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","superior","other","actinomorphic","bright_dull",7,15,NA,NA,NA,NA,15,NA,NA,NA,3.25,5936.27
