"","Woodiness","Climbing","Aquatic","SexualSystem","Lifespan","Mating","Pollination","DispersalMode","DispersalDist","FlowerSex","OvaryPosition","FloralReward","FlowerSymmetry","Showiness","Maximumverticalheight","Monocarpwidth","Numberoffertilestamens","Numberofovulesperfunctionalcarpel","Pollensize","Pollenovuleratio","Monocarplength","Numberofstructuralcarpels","Fusionofovaries","Lengthofgynoecium","flowerSize","seedMass"
"Diospyros australis","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,NA,NA,"unisexual","superior",NA,"actinomorphic","bright",20,0.95,14,2,NA,NA,1.25,4,NA,NA,0.16,130.16
"Dipterocarpus tempehes","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual",NA,NA,"actinomorphic","bright",45,3,30,NA,NA,NA,NA,NA,NA,NA,5.4,NA
"Discaria americana","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous","short","bisexual","intermediate","nectar_other_pollen","actinomorphic","bright",1,0.5,4.5,1,NA,7943,0.5,3.5,NA,NA,0.6,NA
"Drosophyllum lusitanicum","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","autonomous","short","bisexual","superior",NA,"actinomorphic","bright",0.9,NA,10,21.1,NA,687,NA,5,1,NA,2.7,3.72
"Dryas octopetala","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","abiotic","long","bisexual","superior","nectar_pollen","actinomorphic","bright",0.5,NA,164,1,38,631,NA,NA,0,NA,3,0.71
"Durio zibethinus","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","superior","nectar","actinomorphic","bright",25,NA,60,6,104,NA,NA,5,1,NA,5.5,18094.33
"Eriocaulon parkeri","herbaceous","non-climbing","non-aquatic","monomorphic","long_short",NA,"biotic",NA,NA,"unisexual","superior",NA,NA,"bright",0.15,NA,4,NA,NA,NA,NA,2,NA,NA,0.2,NA
"Eriogonum arborescens","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","abiotic","long","bisexual",NA,NA,NA,"bright",2,NA,9,1,NA,NA,0.3,3,NA,NA,0.275,0.63
"Eryngium alpinum","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","inferior",NA,"actinomorphic","bright",0.45,0.5,5,NA,NA,12050,NA,2,NA,NA,0.2,5.02
"Erythroxylum laurifolium","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing",NA,"biotic","long","bisexual","superior","nectar_other",NA,"bright",4.5,NA,10,NA,34.6,NA,1.5,NA,NA,NA,NA,NA
"Eschscholzia californica","herbaceous","non-climbing","non-aquatic","monomorphic","long_short","outcrossing","biotic","autonomous","short","bisexual","superior","pollen","other","bright",0.325,NA,19.5,NA,38,NA,6,2,1,NA,4,1.5
"Eucalyptus cladocalyx","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","abiotic","long","bisexual","inferior",NA,NA,"bright",35,0.75,192,17,NA,3900,1.1,3.5,NA,NA,1.5,4.78
"Eupomatia bennettii","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual","inferior",NA,NA,"bright",1.5,2.5,8.5,NA,NA,NA,NA,NA,1,NA,3.5,NA
"Eupomatia laurina","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual",NA,"other",NA,"bright",7,1.75,60,3,NA,NA,NA,41,1,NA,2.66666666666667,15.73
"Fagus grandifolia","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","abiotic","biotic","long","unisexual","inferior","none_pollen","actinomorphic","dull",25,NA,11,2,NA,NA,NA,3,NA,NA,NA,265.74
"Filipendula vulgaris","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","abiotic_biotic","biotic","long","bisexual","superior","none_pollen","actinomorphic","bright",0.76,NA,25,2,17.5,NA,NA,9,0,NA,1.2,0.99
"Floerkea proserpinacoides","herbaceous","non-climbing","non-aquatic","monomorphic","short","selfing","autonomous","autonomous","short","bisexual","superior",NA,"actinomorphic","bright_dull",0.175,NA,6,1,NA,NA,NA,2.5,NA,NA,2.75,3.64
"Fumana ericoides","woody","non-climbing","non-aquatic","monomorphic","long","selfing","biotic","autonomous","short","bisexual","inferior",NA,"actinomorphic","bright",0.3,NA,29,10.25,NA,567,0.7,2,NA,NA,1.75,2.44
"Galium aparine","herbaceous","non-climbing","non-aquatic","monomorphic","short","selfing","biotic","biotic","long","bisexual","inferior",NA,"actinomorphic","bright",0.935,NA,4,1,38,316,NA,2,1,0.85,1.75,9.05
"Gelsemium sempervirens","herbaceous","climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior","other","actinomorphic","bright",4.75,NA,5,4,NA,NA,NA,2,1,NA,2.75,NA
"Gentiana saponaria","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","abiotic","long","bisexual","superior","nectar","actinomorphic","bright",0.48,NA,5,NA,NA,NA,NA,2,1,NA,3.75,NA
"Geranium sanguineum","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","autonomous","short","bisexual","superior","nectar","actinomorphic","bright",0.3,NA,10,2,100,539,NA,5,1,NA,3.1,8.87
"Gerbera jamesonii","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","inferior",NA,"zygomorphic","bright",0.375,NA,5,1,NA,12786,0.95,2,NA,NA,4.1,2.06
"Gesneria cuneifolia","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","short","bisexual",NA,"nectar","zygomorphic","bright",0.15,0.4,NA,NA,NA,NA,0.55,2,NA,NA,2.5,0.02
"Gomortega keule","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","long","bisexual","inferior",NA,"actinomorphic","bright_dull",20,2.8,8,1,28,NA,5.25,2,1,NA,0.6,NA
"Gonocaryum litorale","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,"biotic","long","unisexual","superior",NA,"actinomorphic","bright_dull",17.5,2.5,5,2,NA,NA,4.5,2,1,NA,0.55,NA
"Gossypium hirsutum","woody","non-climbing","non-aquatic","monomorphic","long_short","mixed","biotic","abiotic","long","bisexual","superior","nectar","actinomorphic","bright",1.5,NA,80,10,94.6,608,NA,3.5,1,NA,7,93.47
"Grewia occidentalis","woody","non-climbing","non-aquatic","monomorphic",NA,"outcrossing","biotic","biotic","long","bisexual","superior","nectar","actinomorphic","bright",3,NA,76.5,1,NA,8303.5,NA,4,1,NA,3,64.31
"Griselinia racemosa","woody","non-climbing","non-aquatic","dimorphic",NA,"outcrossing",NA,"biotic","long","unisexual","inferior",NA,"actinomorphic",NA,2,0.425,5,NA,NA,NA,0.7,3,1,NA,NA,12.21
"Gyrocarpus americanus","woody","non-climbing","non-aquatic","monomorphic","long",NA,"abiotic","abiotic","long","bisexual_unisexual","inferior","none","actinomorphic","bright_dull",25,NA,4,1,NA,16124.5,NA,1,NA,NA,0.15,360.51
"Hamamelis virginiana","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous","short","bisexual","intermediate","nectar_pollen","actinomorphic","bright",5,NA,4,1,17.5,11798.25,1.2,2,1,NA,2,108.32
"Hanguana malayana","herbaceous","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,"biotic","long","unisexual","superior",NA,"actinomorphic",NA,3,0.65,6,1,NA,NA,NA,3,1,NA,NA,17
"Haumania danckelmaniana","woody","climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual","inferior",NA,"zygomorphic","bright",6,2,1,NA,NA,138,3,3,NA,NA,1.25,NA
"Hedychium gardnerianum","herbaceous","non-climbing","non-aquatic","monomorphic","long","selfing","biotic","biotic","long","bisexual","inferior",NA,"zygomorphic","bright",2.4,NA,1,NA,NA,NA,NA,3,NA,NA,8,NA
"Helianthus annuus","herbaceous","non-climbing","non-aquatic","monomorphic","short","mixed","biotic","autonomous","short","bisexual","inferior","nectar_pollen","actinomorphic_zygomorphic","bright",2,NA,5,1,38,NA,NA,2,1,NA,2.2,38.81
"Heliconia irrasa","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","biotic","long","bisexual","inferior","nectar",NA,"bright",1.5,NA,5,1,NA,NA,NA,3,NA,NA,5.75,NA
"Herniaria glabra","herbaceous","non-climbing","non-aquatic","monomorphic","long_short","selfing","biotic","abiotic_autonomous","long_short","bisexual","superior","nectar","actinomorphic","dull",0.2,NA,5,NA,17.5,NA,NA,NA,NA,NA,0.15,0.11
"Hevea brasiliensis","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","long","unisexual","intermediate",NA,"actinomorphic",NA,20,NA,10,1,NA,NA,NA,3,1,NA,0.5025,3809.45
"Hirtella physophora","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual",NA,"nectar_pollen","zygomorphic","bright",NA,1,6,NA,NA,5895,NA,NA,NA,NA,2,NA
"Hordeum bulbosum","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","abiotic","biotic","long","bisexual","superior","none","zygomorphic","dull",0.95,NA,3,1,38,NA,NA,2,NA,NA,1.75,11.36
"Hydnocarpus heterophyllus","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","biotic","long","unisexual","superior",NA,NA,NA,20,NA,26,999,29.05,NA,NA,4,1,NA,1.6,NA
"Hydrastis canadensis","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","long","bisexual","superior",NA,"actinomorphic","bright",0.325,0.325,53.75,2,23.25,NA,0.65,10.75,0,NA,1.3,NA
"Hydrocotyle vulgaris","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"autonomous_biotic","abiotic","long","bisexual","inferior",NA,"actinomorphic","bright",0.125,NA,5,NA,NA,NA,NA,2,1,NA,0.15,0.5
"Hydrophyllum capitatum","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual","superior","nectar_pollen","actinomorphic","bright",0.275,NA,5,NA,NA,NA,0.4,NA,NA,NA,0.7,6.55
"Hypericum perforatum","herbaceous","non-climbing","non-aquatic","monomorphic","long","selfing","biotic","abiotic","long","bisexual","superior","pollen","actinomorphic","bright",0.6,0.4,50,30,17.5,NA,0.475,3,1,NA,1.875,0.15
"Hypolytrum pulchrum","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing",NA,NA,NA,"unisexual",NA,NA,NA,NA,0.45,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"Ilex opaca","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","biotic","long","unisexual","superior",NA,"actinomorphic","bright_dull",12.5,NA,4,NA,NA,NA,NA,4,1,NA,0.75,17.2
"Impatiens capensis","herbaceous","non-climbing","non-aquatic","monomorphic","short","mixed","biotic","autonomous","short","bisexual","superior","nectar","zygomorphic","bright",1.05,NA,5,1,NA,NA,NA,5,1,NA,3.3,7.03
"Ipomoea alba","herbaceous","climbing","non-aquatic","monomorphic","long_short","selfing","biotic",NA,NA,"bisexual","superior","nectar","actinomorphic","bright",10,NA,5,5,NA,NA,3,2,NA,NA,9,99.98
"Iris versicolor","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","autonomous_biotic","abiotic","long","bisexual","inferior",NA,"actinomorphic","bright",0.675,NA,3,40.5,NA,NA,NA,3,NA,NA,12.25,15.02
"Irvingbaileya australis","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","biotic","long","unisexual","superior",NA,"actinomorphic","bright",NA,2,5,1,17.25,NA,2.3,2,1,NA,0.41,220
"Juglans mandshurica","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","abiotic","biotic","long","unisexual","inferior","none",NA,"dull",15,NA,26,1,NA,NA,NA,2,NA,NA,NA,9259
"Jumellea fragrans","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","biotic",NA,NA,"bisexual","inferior","nectar","zygomorphic","bright",0.3,NA,2,1500,NA,NA,NA,3,NA,NA,4,NA
"Juncus effusus","herbaceous","non-climbing","non-aquatic","monomorphic","short","mixed","abiotic","biotic","long","bisexual","superior","none","actinomorphic","dull",0.8825,NA,3,NA,38,48,0.19,3,NA,NA,NA,0.02
"Kalanchoe daigremontiana","herbaceous","non-climbing","non-aquatic","monomorphic","long_short","selfing","biotic","abiotic","long","bisexual","intermediate_superior","nectar","actinomorphic","bright",1.5,0.35,8,130,NA,192,0.85,4,0.2,NA,3,0.02
"Kalmia latifolia","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior","nectar","actinomorphic","bright",5,NA,10,NA,38,NA,NA,NA,1,NA,2.8,0.02
"Kielmeyera regalis","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual",NA,"pollen","actinomorphic","bright",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"Kirengeshoma palmata","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual",NA,NA,NA,"bright",1.05,1.15,15,NA,NA,NA,NA,NA,NA,NA,3.81,1.74
"Kirkia wilmsii","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","abiotic","long","unisexual","superior",NA,"actinomorphic",NA,12,NA,4.5,NA,NA,NA,NA,4.5,1,NA,1,13.99
"Lactoris fernandeziana","woody","non-climbing","non-aquatic","monomorphic","long","mixed","abiotic","abiotic_autonomous","long_short","bisexual_unisexual","superior","none","actinomorphic","dull",1.5,NA,6,6,NA,1815.33333333333,NA,3,0,NA,0.4,NA
"Lantana camara","woody","non-climbing","non-aquatic","monomorphic","long","selfing","biotic","biotic","long","bisexual","superior",NA,"zygomorphic","bright",1.05,NA,4,NA,NA,NA,NA,1.5,NA,NA,0.65,11.14
"Lapageria rosea","woody","climbing","non-aquatic","monomorphic","long",NA,"biotic","biotic","long","bisexual","inferior_superior","nectar","actinomorphic","bright",8,NA,6,132,NA,1157,4.5,3,1,NA,7.5,NA
"Larrea tridentata","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","long","bisexual",NA,"nectar_pollen","actinomorphic","bright",1.6,NA,10,NA,NA,NA,NA,5,NA,NA,2.5,6.44
"Lemna minor","herbaceous","non-climbing","aquatic","monomorphic","short",NA,"biotic","abiotic","long","bisexual","superior",NA,NA,"dull",0.06,NA,2,1,NA,NA,NA,1,NA,NA,0.08,NA
"Lepidobotrys staudtii","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,"autonomous","short","unisexual","superior",NA,"actinomorphic",NA,8,1.65,10,2,NA,NA,2.3,3,NA,NA,0.63,NA
"Limnanthes douglasii","herbaceous","non-climbing","non-aquatic","dimorphic","short","outcrossing","biotic",NA,NA,"bisexual_unisexual","superior",NA,"actinomorphic","bright",0.515,NA,10,NA,38,NA,NA,5,NA,NA,2.8,7.12
"Linum perenne","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual","superior",NA,"actinomorphic","bright",0.6,NA,5,2,NA,NA,NA,5,1,NA,3.5,1.4
"Liparis loeselii","herbaceous","non-climbing","non-aquatic","monomorphic","long","selfing","abiotic_autonomous","abiotic","long","bisexual","inferior","none","zygomorphic","dull",0.13,NA,1,2225,NA,NA,NA,3,NA,NA,1.05,0.001
"Liriodendron chinense","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","abiotic_autonomous","long_short","bisexual","superior","nectar","actinomorphic","dull",40,NA,60,2,NA,NA,8,115,0,NA,3.5,NA
"Loasa heterophylla","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing",NA,NA,NA,"bisexual","inferior","nectar","actinomorphic","bright",NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,2.3,NA
"Lobelia angulata","herbaceous","non-climbing","non-aquatic","dimorphic","long",NA,"biotic",NA,NA,"bisexual_unisexual","inferior","nectar","zygomorphic","bright",0.21,NA,5,NA,NA,NA,NA,2,NA,NA,1.35,0.08
"Ludwigia adscendens","herbaceous","non-climbing","aquatic","monomorphic","long",NA,"biotic","abiotic","long","bisexual","inferior",NA,"actinomorphic","bright",0.15,0.18,10,7.5,NA,NA,1.6,5,NA,1.13,3,NA
"Lythrum salicaria","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior","nectar_pollen","actinomorphic","bright",1.6,0.2,12,NA,29.6666666666667,NA,0.3,2,1,0.2,1.8,0.07
"Malesherbia linearifolia","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic",NA,NA,"bisexual","superior",NA,"actinomorphic","bright",1,NA,5,21.5,NA,NA,1.275,3,1,NA,2.5,1.29
"Malpighia emarginata","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","superior","other","zygomorphic","bright",7,NA,10,1,NA,NA,NA,3,1,NA,2.25,23.15
"Manihot esculenta","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","short","unisexual","superior",NA,"actinomorphic","bright",5,NA,10,1,NA,NA,NA,3,1,NA,0.2,114
"Manilkara zapota","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","superior",NA,"actinomorphic","bright",40,NA,5.5,1,NA,NA,6,8.75,1,NA,1.8,126.74
"Mappia nimmoniana","woody","non-climbing","non-aquatic","dimorphic","long","mixed","biotic","biotic","long","bisexual_unisexual",NA,"nectar_pollen",NA,"bright",15,0.9,3,2,NA,364.5,1.5,1,NA,NA,0.8,NA
"Marathrum rubrum","herbaceous","non-climbing","aquatic","monomorphic","short","selfing","abiotic","abiotic","long","bisexual","superior","none","actinomorphic","bright_dull",0.15,0.195,8,940,14.5,616,0.525,2,1,NA,0.5,NA
"Mayaca fluviatilis","herbaceous","non-climbing","aquatic_non-aquatic","monomorphic","long","selfing","autonomous","abiotic","long","bisexual","superior",NA,"actinomorphic","bright",0.6,NA,3,2,NA,NA,0.4,3,1,NA,1,NA
"Mazus pumilus","herbaceous","non-climbing","non-aquatic","monomorphic","short","selfing","biotic","abiotic","long","bisexual","superior","pollen","zygomorphic","bright",0.1,0.35,4,183,NA,22.07,NA,2,1,NA,0.7,0.01
"Medicago sativa","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous","short","bisexual","superior","nectar_pollen","zygomorphic","bright",0.65,NA,10,15,30.5,399,NA,NA,NA,NA,1.75,2.24
"Melocactus curvispinus","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","biotic","long","bisexual","inferior","nectar","actinomorphic","bright",0.125,NA,154.5,21.5,NA,415,NA,16,NA,NA,2.4,0.36
"Menispermum canadense","herbaceous_woody","climbing","non-aquatic","dimorphic","long","outcrossing","biotic","biotic","long","unisexual","superior",NA,"actinomorphic",NA,5,1.05,16.5,2,NA,NA,NA,3,NA,NA,0.225,68.67
"Menyanthes trifoliata","herbaceous","non-climbing","aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior","nectar","actinomorphic","bright",0.35,NA,5,10,88,NA,1,2,1,NA,1.5,2.45
"Miconia affinis","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","intermediate",NA,"actinomorphic","bright",5,NA,10,NA,NA,NA,3.5,NA,NA,NA,0.5,0.3
"Mirabilis jalapa","herbaceous","non-climbing","non-aquatic","monomorphic","long_short","selfing","biotic","autonomous","short","bisexual","superior","nectar","actinomorphic","bright_dull",1,0.65,5,1,100,333.5,0.7,1,NA,NA,4,79.23
"Misodendrum linearifolium","woody","non-climbing","non-aquatic","dimorphic",NA,"outcrossing",NA,"abiotic","long","unisexual","inferior",NA,"actinomorphic","dull",0.25,NA,3,1,NA,NA,NA,3,1,NA,0.125,NA
"Mollugo verticillata","herbaceous","non-climbing","non-aquatic","monomorphic","short",NA,"biotic","autonomous","short","bisexual","superior","nectar_pollen","actinomorphic","bright",0.24,NA,3.5,10,38,39.5,NA,4,1,NA,0.2,0.09
"Monotropa hypopitys","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","autonomous","short","bisexual","superior","nectar","actinomorphic","bright",0.185,0.6,9,20,17.5,NA,0.8,5,1,NA,0.95,0.001
"Montinia caryophyllacea","woody","non-climbing","non-aquatic","dimorphic",NA,"outcrossing",NA,"autonomous","short","unisexual","inferior",NA,"actinomorphic",NA,1.5,NA,4,6,NA,NA,NA,2,1,NA,0.5,5.72
"Moringa oleifera","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","autonomous","short","bisexual","superior",NA,"zygomorphic","bright",12,2,5,NA,NA,523,35,3,1,NA,2,237.33
"Myriophyllum sibiricum","herbaceous","non-climbing","aquatic","monomorphic","long",NA,"biotic",NA,NA,"bisexual_unisexual","inferior",NA,"actinomorphic","bright",6,0.14,8,1,NA,NA,0.21,4,NA,NA,0.24,NA
"Myristica fragrans","woody","non-climbing","non-aquatic","dimorphic_monomorphic","long","outcrossing","biotic","biotic","long","unisexual","superior","pollen","actinomorphic","bright",8,NA,9.5,1,NA,797664,NA,1,NA,NA,1,7792.8
"Myrothamnus moschatus","woody","non-climbing","non-aquatic","dimorphic",NA,"outcrossing",NA,NA,NA,"unisexual","superior",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,3.5,0.9,NA,NA,NA
"Myrtus communis","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","long","bisexual",NA,NA,"actinomorphic","bright",4,NA,145,NA,17.5,NA,NA,NA,1,NA,2.5,7.92
"Narthecium ossifragum","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","autonomous","short","bisexual","superior",NA,"actinomorphic","bright",0.275,NA,6,NA,NA,NA,NA,NA,NA,NA,2.8,0.1
"Nelumbo lutea","herbaceous","non-climbing","aquatic","monomorphic","long","mixed","biotic","abiotic","long","bisexual","superior","other_pollen","actinomorphic","bright",2,NA,400,1,NA,NA,1.3,24.75,0,NA,10,NA
"Nelumbo nucifera","herbaceous","non-climbing","aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior","other_pollen","actinomorphic","bright",2,NA,300,1,38,NA,NA,30,0,NA,18.25,1132.7
"Nemesia strumosa","herbaceous","non-climbing","non-aquatic","monomorphic","short","outcrossing",NA,"abiotic","long","bisexual","superior",NA,"actinomorphic","bright",0.3,NA,4,NA,NA,NA,NA,2.5,NA,NA,2.5,0.24
"Nepenthes macfarlanei","woody","climbing","non-aquatic","dimorphic","long","outcrossing","abiotic_biotic","abiotic","long","unisexual",NA,"nectar_none","actinomorphic",NA,3,NA,5,NA,NA,NA,NA,4,NA,NA,1,NA
"Nicotiana tabacum","herbaceous","non-climbing","non-aquatic","monomorphic","long_short",NA,"biotic","autonomous","short","bisexual","superior","nectar","actinomorphic_zygomorphic","bright",3,NA,5,NA,38,NA,NA,2,1,NA,4.25,0.07
"Nolana humifusa","herbaceous","non-climbing","non-aquatic","monomorphic","short","outcrossing","biotic","biotic","long","bisexual","superior","nectar_pollen","actinomorphic","bright",NA,NA,5,NA,NA,NA,NA,16,1,NA,2.6,NA
"Nothofagus dombeyi","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","abiotic","abiotic","long","unisexual",NA,"none",NA,NA,40,NA,10.5,1,NA,NA,0.55,1,NA,NA,NA,11.9
"Nuphar advena","herbaceous","non-climbing","aquatic","monomorphic","long",NA,"biotic","abiotic","long","bisexual","superior","pollen","actinomorphic","bright",NA,NA,180,NA,NA,NA,1.9,16,1,NA,4,NA
"Nymphaea odorata","herbaceous","non-climbing","aquatic","monomorphic","long",NA,"biotic","abiotic_biotic","long","bisexual","intermediate","nectar","actinomorphic_other","bright",NA,NA,77.3333333333333,112.5,NA,NA,NA,20.3333333333333,1,NA,12.5,5.86
"Nymphoides peltata","herbaceous","non-climbing","aquatic","monomorphic","long","mixed","biotic","abiotic","long","bisexual","superior","nectar_pollen","actinomorphic","bright",1.075,NA,5,NA,36.5,NA,NA,2,1,NA,3.5,0.5
"Nyssa ogeche","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","biotic","long","unisexual","inferior",NA,"actinomorphic","bright",20,NA,7.5,NA,NA,NA,2.5,NA,NA,NA,NA,337.77
"Ochroma pyramidale","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior","nectar","actinomorphic_other","bright_dull",30,3.25,17.5,99999,NA,NA,30,5,1,NA,13.5,7.77
"Octoknema borealis","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,NA,NA,"unisexual",NA,NA,"actinomorphic",NA,25,1.5,5,1,NA,NA,1.55,3,NA,NA,2.4,342.13
"Octomeles sumatrana","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,"abiotic","long","unisexual","inferior",NA,"actinomorphic",NA,50,NA,6.5,NA,NA,NA,NA,7,NA,NA,0.5,0.15
"Olea europaea","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","abiotic","biotic","long","bisexual_unisexual","superior","none","actinomorphic","bright_dull",15,1.3,2,2,17.5,24000,1.6,2,NA,NA,0.325,250.45
"Oryza sativa","herbaceous","non-climbing","aquatic","monomorphic","short","selfing","abiotic","autonomous","short","bisexual","superior","none","zygomorphic","dull",1,NA,6,1,38,NA,NA,1,NA,NA,0.9,25.68
"Ottelia acuminata","herbaceous","non-climbing","aquatic","dimorphic","long","outcrossing","biotic","abiotic","long","unisexual","superior",NA,NA,"bright",NA,NA,10.5,NA,NA,NA,8,3,NA,NA,2.25,NA
"Oxalis corniculata","herbaceous","non-climbing","non-aquatic","monomorphic","long_short","selfing","biotic","autonomous","short","bisexual","superior","nectar_pollen","actinomorphic","bright",0.09,NA,10,7,NA,105.37,1.75,5,1,NA,1.2,0.2
"Paeonia californica","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual","superior","nectar","actinomorphic","bright",0.55,NA,86,17,NA,61434,3.5,8,0,NA,4,267.9
"Panax quinquefolius","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","long","bisexual_unisexual","inferior",NA,"actinomorphic","dull",0.35,NA,5,1.5,NA,NA,NA,2,1,NA,0.3,27.75
"Pandanus tectorius","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic_biotic","abiotic_biotic","long","unisexual","superior","none",NA,"bright_dull",5,NA,15,1,NA,NA,NA,11.75,NA,NA,NA,NA
"Pennantia corymbosa","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","biotic","long","unisexual","superior",NA,"actinomorphic","bright_dull",10,0.5,5,0.666666666666667,NA,NA,0.9,3,1,NA,0.75,16.95
"Perrottetia ovata","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,NA,NA,"unisexual","superior",NA,NA,NA,9.6,NA,5,4,NA,NA,NA,2,1,NA,NA,NA
"Petrosavia sakuraii","herbaceous","non-climbing","non-aquatic","monomorphic","long","selfing","biotic",NA,NA,"bisexual","intermediate","nectar","actinomorphic","bright",0.2,NA,6,999,NA,55,NA,3,NA,NA,0.5,NA
"Petunia axillaris","herbaceous","non-climbing","non-aquatic","monomorphic","short","mixed","biotic","autonomous","short","bisexual","superior",NA,"actinomorphic","bright",0.6,0.7,4,NA,NA,NA,1.35,2,NA,NA,7.75,NA
"Peumus boldus","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","biotic","long","unisexual","superior",NA,"actinomorphic",NA,5,2,38.5,1,NA,NA,NA,5,0,NA,NA,1000
