"","NTaxDat","new_state.x","Climbing","SexualSystem","Lifespan","Mating","Pollination","Dispersal","FlowerSex","OvaryPosition","FloralReward","FlowerSymmetry","Showiness"
"104","Curculigo latifolia","herbaceous_woody","non-climbing","monomorphic","long","outcrossing","biotic",NA,"bisexual_unisexual","inferior",NA,"actinomorphic","bright"
"105","Cuscuta cuspidata","herbaceous","climbing","monomorphic","short","mixed","abiotic",NA,"bisexual","superior","none","actinomorphic","bright"
"106","Cuttsia viburnea","woody","non-climbing","monomorphic","long","outcrossing","biotic","abiotic_autonomous","bisexual","superior",NA,"actinomorphic","bright"
"107","Cyclanthus bipartitus","woody","non-climbing","monomorphic","long","outcrossing","biotic","biotic","unisexual",NA,"pollen",NA,"bright"
"108","Cymodocea nodosa","herbaceous","non-climbing","dimorphic_monomorphic","long","outcrossing","abiotic","autonomous_biotic","unisexual",NA,"none",NA,NA
"109","Cypripedium calceolus","herbaceous","non-climbing","monomorphic","long","outcrossing","biotic","abiotic","bisexual","inferior","pollen","zygomorphic","bright_dull"
"110","Cyrilla racemiflora","woody","non-climbing","monomorphic","long",NA,"biotic","abiotic","bisexual","superior","nectar","actinomorphic","bright"
"111","Dalechampia spathulata","woody","non-climbing","monomorphic","long",NA,"biotic","autonomous","unisexual",NA,"other","zygomorphic","bright"
"112","Dalzellia ceylanica","herbaceous","non-climbing","monomorphic",NA,"selfing","autonomous",NA,"bisexual","superior","pollen","actinomorphic","bright_dull"
"113","Daphniphyllum macropodum","woody","non-climbing","dimorphic","long","outcrossing","abiotic","biotic","unisexual","superior","none","actinomorphic","dull"
"114","Datisca glomerata","herbaceous","non-climbing","dimorphic","long",NA,"abiotic","abiotic","bisexual_unisexual","inferior","none",NA,"dull"
"115","Davidsonia jerseyana","woody","non-climbing","monomorphic","long","selfing",NA,"biotic","bisexual","superior","nectar","actinomorphic","bright"
"116","Davilla kunthii","herbaceous","climbing","monomorphic","long","outcrossing","biotic","biotic","bisexual","inferior_superior","pollen","actinomorphic","bright"
"117","Denhamia celastroides","woody","non-climbing","monomorphic","long","outcrossing",NA,NA,"bisexual","superior",NA,"actinomorphic",NA
"118","Diapensia lapponica","woody","non-climbing","monomorphic","long",NA,"biotic","autonomous","bisexual","superior","nectar","actinomorphic","bright"
"119","Diospyros australis","woody","non-climbing","dimorphic","long","outcrossing",NA,NA,"unisexual","superior",NA,"actinomorphic","bright"
"120","Dipterocarpus tempehes","woody","non-climbing","monomorphic","long","outcrossing","biotic",NA,"bisexual",NA,NA,"actinomorphic","bright"
"121","Discaria americana","woody","non-climbing","monomorphic","long","outcrossing","biotic","autonomous","bisexual","intermediate","nectar_other_pollen","actinomorphic","bright"
"122","Drosophyllum lusitanicum","woody","non-climbing","monomorphic","long","mixed","biotic","autonomous","bisexual","superior",NA,"actinomorphic","bright"
