"","Woodiness","Climbing","Aquatic","SexualSystem","Lifespan","Mating","Pollination","Dispersal_mode","Dispersal_dist","FlowerSex","OvaryPosition","FloralReward","FlowerSymmetry","Showiness","Flowerlength","Maximumverticalheight","Numberoffertilestamens","Numberofovulesperfunctionalcarpel","Pollensize","Pollenovuleratio","Numberofstructuralcarpels","Fusionofovaries","Fruitlength","Fruitwidth","Lengthofgynoecium","flowerSize","seed_mass"
"Myristica fragrans","woody","non-climbing","non-aquatic","dimorphic_monomorphic","long","outcrossing","biotic","biotic","long","unisexual","superior","pollen","actinomorphic","bright",1,8,9.5,1,NA,797664,1,NA,NA,NA,NA,1,7792.8
"Myrothamnus moschata","woody","non-climbing","non-aquatic","dimorphic",NA,"outcrossing",NA,NA,NA,"unisexual","superior",NA,NA,NA,NA,NA,4,NA,NA,NA,3.5,0.9,NA,NA,NA,NA,NA
"Myrtus communis","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","long","bisexual",NA,NA,"actinomorphic","bright",NA,4,145,NA,17.5,NA,NA,1,NA,NA,NA,2.5,7.92
"Narthecium ossifragum","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","autonomous","short","bisexual_unisexual","superior",NA,"actinomorphic","bright",NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,2.8,0.1
"Nelumbo lutea","herbaceous","non-climbing","aquatic","monomorphic","long","mixed","biotic","abiotic","long","bisexual","superior","other_pollen","actinomorphic","bright",NA,2,400,1,NA,NA,24.75,0,NA,NA,NA,10,NA
"Nelumbo nucifera","herbaceous","non-climbing","aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior","other_pollen","actinomorphic","bright",NA,2,300,1,38,NA,30,0,NA,NA,NA,18.25,1132.7
"Nemesia strumosa","herbaceous","non-climbing","non-aquatic","monomorphic","short","outcrossing",NA,"abiotic","long","bisexual","superior",NA,"actinomorphic","bright",NA,NA,4,NA,NA,NA,2.5,NA,NA,NA,NA,2.5,0.24
"Nepenthes macfarlanei","woody","climbing","non-aquatic","dimorphic","long","outcrossing","abiotic_biotic","abiotic","long","unisexual",NA,"nectar_none","actinomorphic",NA,NA,NA,5,NA,NA,NA,4,NA,NA,NA,NA,1,NA
"Nicotiana tabacum","herbaceous","non-climbing","non-aquatic","monomorphic","long_short",NA,"biotic","autonomous","short","bisexual","superior","nectar","actinomorphic_zygomorphic","bright",4.25,3,5,NA,38,NA,2,1,NA,NA,NA,4.25,0.07
"Nolana humifusa","herbaceous","non-climbing","non-aquatic","monomorphic","short","outcrossing","biotic","biotic","long","bisexual","superior","nectar_pollen","actinomorphic","bright",1.3,NA,5,NA,NA,NA,16,1,NA,NA,NA,2.6,NA
"Nothapodytes nimmoniana","woody","non-climbing","non-aquatic","dimorphic","long","mixed","biotic","biotic","long","bisexual_unisexual",NA,"nectar_pollen",NA,"bright",0.8,NA,3,2,NA,364.5,1,NA,NA,NA,NA,0.8,NA
"Nothofagus dombeyi","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","abiotic","abiotic","long","unisexual",NA,"none",NA,NA,NA,NA,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9
"Nuphar advena","herbaceous","non-climbing","aquatic","monomorphic","long",NA,"biotic","abiotic","long","bisexual","superior","pollen","actinomorphic","bright",NA,NA,180,NA,NA,NA,16,1,NA,NA,NA,4,NA
"Nymphaea odorata","herbaceous","non-climbing","aquatic","monomorphic","long",NA,"biotic","abiotic_biotic","long","bisexual","intermediate","nectar","actinomorphic_other","bright",NA,NA,77.3333333333333,112.5,NA,NA,20.3333333333333,1,NA,NA,NA,12.5,5.86
"Nymphoides peltata","herbaceous","non-climbing","aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior","nectar_pollen","actinomorphic","bright",NA,1.075,5,NA,36.5,NA,2,1,NA,NA,NA,3.5,0.5
"Nyssa ogeche","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","biotic","long","unisexual","inferior",NA,"actinomorphic","bright",NA,NA,7.5,NA,NA,NA,NA,NA,2.5,NA,NA,NA,337.77
"Ochroma pyramidale","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior","nectar","actinomorphic_other","bright_dull",13.5,30,17.5,99999,NA,NA,5,1,30,3.25,NA,13.5,7.77
