"","Woodiness","Climbing","Aquatic","SexualSystem","Lifespan","Mating","Pollination","Dispersal_mode","Dispersal_dist","FlowerSex","OvaryPosition","FloralReward","FlowerSymmetry","Showiness","Flowerlength","Maximumverticalheight","Numberoffertilestamens","Numberofovulesperfunctionalcarpel","Pollensize","Pollenovuleratio","Numberofstructuralcarpels","Fusionofovaries","Fruitlength","Fruitwidth","Lengthofgynoecium","flowerSize","seed_mass"
"Anigozanthos humilis","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"unisexual",NA,"nectar","zygomorphic","bright",3.75,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,3.75,0.52
"Annona crassiflora","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","superior","other","actinomorphic","bright_dull",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.25,5936.27
"Antirrhinum majus","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous","short","bisexual","superior","pollen","zygomorphic","bright",3.6,0.5,4,9999,17.5,NA,2,1,1.35,1.1,NA,3.6,0.12
"Apium graveolens","herbaceous","non-climbing","non-aquatic","monomorphic","short","mixed","biotic","abiotic","long","bisexual","inferior","nectar","actinomorphic","bright",0.15,1,5,1,23,NA,2,1,0.15,NA,NA,0.15,0.34
"Aquilegia canadensis","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","autonomous","short","bisexual","superior","nectar_pollen","actinomorphic","bright",3,0.525,40,75,NA,610,5,0,NA,NA,1.65,3,1.16
"Arabidopsis thaliana","herbaceous","non-climbing","non-aquatic","monomorphic","short","selfing","autonomous_biotic","abiotic_autonomous","long_short","bisexual","superior","nectar","actinomorphic_other","bright",NA,0.175,6,55,17.5,33,2,1,NA,NA,NA,0.25,0.02
"Aralidium pinnatifidum","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,NA,NA,"unisexual","inferior",NA,"actinomorphic","bright",0.25,NA,5,0.5,NA,NA,3,1,NA,NA,NA,0.25,NA
"Arctostaphylos uva-ursi","woody","non-climbing","non-aquatic","monomorphic","long",NA,"autonomous_biotic","biotic","long","bisexual","superior","nectar","actinomorphic","bright",0.2,0.105,10,1,54,NA,5,1,NA,NA,NA,0.2,18.49
"Arum maculatum","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","long","unisexual","superior","none",NA,"dull",NA,0.33,3.5,NA,38,4596,NA,NA,NA,NA,NA,NA,101.73
"Asparagus officinalis","herbaceous","non-climbing","non-aquatic","dimorphic","long","outcrossing","biotic","biotic","long","unisexual","superior","nectar_pollen","actinomorphic","bright_dull",NA,1.75,6,NA,38,NA,3,1,0.8,NA,NA,0.5,22.1
"Astelia alpina","herbaceous","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,"biotic","long","bisexual_unisexual","superior","nectar","actinomorphic","dull",0.4,NA,6,36,18.25,NA,3,1,NA,NA,NA,0.4,1.15
"Audouinia capitata","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","intermediate","nectar","actinomorphic","bright",1,0.4,5,6,NA,NA,NA,NA,NA,NA,NA,1,NA
"Avicennia marina","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","abiotic","long","bisexual","superior","nectar","actinomorphic","bright",0.595,4.1,4,2,NA,4000,2,1,2.5,1.2,0.3,0.595,3400
"Azima tetracantha","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,"biotic","long","unisexual","superior",NA,NA,"bright_dull",NA,0.9,4,1,NA,NA,2,1,0.75,NA,NA,3.5,34.8
"Bagassa guianensis","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic_biotic","biotic","long","unisexual",NA,"none",NA,NA,NA,30,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Balanophora laxiflora","herbaceous","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,NA,NA,"unisexual","inferior",NA,"zygomorphic",NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA
"Balanops pancheri","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic","biotic","long","unisexual",NA,"none",NA,NA,NA,4,5,2,NA,NA,2,1,1.7,NA,NA,NA,NA
"Bdallophytum americanum","herbaceous","non-climbing","non-aquatic","dimorphic",NA,"outcrossing",NA,"biotic","long_short","unisexual","inferior","nectar","actinomorphic","bright",0.855,0.165,9,NA,NA,NA,9.5,NA,NA,1.35,NA,0.855,NA
"Begonia heracleifolia","herbaceous","non-climbing","non-aquatic","monomorphic","long_short","mixed",NA,"autonomous","short","bisexual","inferior",NA,"zygomorphic","bright",1.2,NA,22.5,NA,NA,NA,3,NA,1,NA,NA,1.2,0.0072
"Bergeranthus multiceps","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual",NA,"nectar_pollen","actinomorphic","bright",NA,NA,182.5,NA,NA,NA,NA,NA,0.8,0.5,NA,2,NA
"Berteroa incana","herbaceous","non-climbing","non-aquatic","monomorphic","long_short","outcrossing","biotic","abiotic","long","bisexual","superior","nectar","actinomorphic","bright",NA,0.7,6,NA,17.5,NA,2,1,0.6,0.16,NA,0.3,0.49
"Bertholletia excelsa","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","inferior","nectar_pollen","zygomorphic","bright",NA,50,114,9,NA,26755,4,1,NA,NA,NA,2.5,6500
"Beta vulgaris","herbaceous","non-climbing","non-aquatic","dimorphic_monomorphic","long_short","outcrossing","abiotic","abiotic_autonomous","long_short","bisexual","intermediate","none","actinomorphic","dull",NA,2,5,1,18,29545.8333333333,2.5,1,NA,NA,NA,0.5,16.5
"Bixa orellana","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","short","bisexual","superior","pollen","actinomorphic","bright",NA,10,425,46.6666666666667,NA,138636,2,1,6.265,4.275,NA,4.5,25.08
"Borago officinalis","herbaceous","non-climbing","non-aquatic","monomorphic","short","selfing","biotic","biotic","short","bisexual","superior","nectar","actinomorphic","bright",1.25,0.5,5,2,38,15875,2,1,NA,NA,NA,2.5,16.1
"Brasenia schreberi","herbaceous","non-climbing","aquatic_non-aquatic","monomorphic","long","mixed","abiotic","abiotic","long","bisexual","superior","none","actinomorphic","bright_dull",NA,1.5,26.5,1.5,47.6,9619,11.6,0,NA,NA,NA,2,6.78
"Bretschneidera sinensis","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous","short","bisexual","superior","nectar","zygomorphic","bright",NA,20,8,2,50.5,14516.5,3,1,NA,NA,NA,3.5,NA
"Bruguiera gymnorhiza","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","abiotic","long","bisexual","inferior","nectar","actinomorphic","bright_dull",3.25,35,22,3.33333333333333,29.8,3e+05,3,1,20,2,2,3.25,22380
"Buddleja davidii","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior","nectar","actinomorphic","bright",0.65,5,4,NA,NA,106.59,NA,NA,NA,NA,NA,0.65,0.1
"Bursera simaruba","woody","non-climbing","non-aquatic","dimorphic_monomorphic","long","outcrossing","biotic","biotic","long","bisexual_unisexual",NA,"nectar","actinomorphic","dull",NA,NA,10,2,NA,NA,NA,NA,NA,NA,NA,0.6,117.35
"Butomus umbellatus","herbaceous","non-climbing","aquatic","monomorphic","long","outcrossing","biotic","abiotic_autonomous_biotic","long_short","bisexual","superior","nectar","actinomorphic","bright",NA,0.8,9,50,38,NA,6,NA,NA,NA,NA,2.25,0.18
"Buxus balearica","woody","non-climbing","non-aquatic","monomorphic","long",NA,"abiotic_biotic","autonomous_biotic","short","unisexual",NA,"nectar_none",NA,NA,0.6,6,4,4,NA,NA,3,NA,NA,NA,0.6,0.6,7.45
"Byrsonima crassifolia","woody","non-climbing","non-aquatic","monomorphic","long","selfing","biotic","biotic","long","bisexual","superior","other","zygomorphic","bright",1.2,12.5,10,1,13,NA,3,1,NA,1.83,NA,1.2,2.94
"Cabomba caroliniana","herbaceous","non-climbing","aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","superior","nectar_pollen","actinomorphic","bright",0.9,10,6,3,NA,62,3,0,NA,NA,NA,2.5,1.14
"Calceolaria purpurea","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual",NA,"other","zygomorphic","bright",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1.27,0.01
"Camellia sinensis","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","superior",NA,"actinomorphic","bright",1.75,5,100,4,38,NA,3,1,NA,NA,NA,2.75,1405.19
"Canacomyrica monticola","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic","biotic","long","unisexual","inferior","none",NA,NA,NA,7,6,1,NA,NA,1,NA,NA,1,NA,NA,NA
"Canna indica","herbaceous","non-climbing","non-aquatic","monomorphic","long","selfing","biotic","autonomous","short","bisexual","inferior","nectar","other","bright",6,2.5,0.5,NA,49.5,NA,3,1,NA,0.6,NA,6,155.15
"Cannabis sativa","herbaceous","non-climbing","non-aquatic","dimorphic_monomorphic","short","outcrossing","abiotic","autonomous_biotic","long_short","unisexual","superior","none","actinomorphic","bright_dull",0.2,NA,5,0.5,30,NA,2,1,NA,NA,NA,0.5,18.25
"Capparis zeylanica","woody","non-climbing","non-aquatic","monomorphic","long",NA,NA,"biotic","long","bisexual",NA,NA,"actinomorphic","bright",NA,NA,37.5,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
"Cardiocrinum cordatum","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","abiotic","long","bisexual",NA,"nectar","zygomorphic","bright_dull",15,1.35,6,312.5,NA,NA,3,NA,NA,NA,NA,15,3.55
"Carex laxiflora","herbaceous","non-climbing","non-aquatic","monomorphic","long","selfing","abiotic",NA,NA,"unisexual","superior","none",NA,"dull",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carica papaya","woody","non-climbing","non-aquatic","dimorphic","long","mixed","autonomous_biotic","biotic","long","unisexual","superior","nectar_none_pollen","actinomorphic","bright",0.8,6,10,999,34,NA,5,1,26.5,NA,NA,4,22.62
"Caryocar brasiliense","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","intermediate","nectar","actinomorphic","bright",NA,NA,300,NA,NA,NA,3.5,NA,NA,NA,NA,6,NA
"Catalpa speciosa","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior","nectar","zygomorphic","bright",NA,30,2,999,NA,NA,2,1,35,1.25,NA,5.5,18.83
"Catharanthus roseus","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","autonomous_biotic","short","bisexual",NA,"nectar","actinomorphic","bright",NA,0.875,5,NA,75.5,NA,2,NA,NA,NA,NA,4.49,1.43
"Caulophyllum thalictroides","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","long","bisexual","superior",NA,"actinomorphic","bright",NA,0.55,6,2.25,NA,5286,1,NA,NA,NA,NA,0.9,198.63
"Centroplacus glaucinus","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,NA,NA,"unisexual",NA,NA,"actinomorphic","bright",NA,20,5,2,NA,NA,3,1,0.7,NA,NA,0.2,NA
"Ceratophyllum demersum","herbaceous","non-climbing","aquatic","monomorphic","long","mixed","abiotic","biotic","long","unisexual",NA,"none_pollen",NA,"dull",0.125,3,1,1,21,NA,1,NA,NA,NA,NA,0.125,NA
"Cercidiphyllum japonicum","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic","abiotic","long","unisexual","superior","none",NA,"dull",NA,30,28.5,20.5,NA,NA,1,0,NA,NA,NA,NA,0.55
"Chimaphila umbellata","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous","short","bisexual","superior","nectar_pollen","actinomorphic","bright",NA,0.275,10,1000,NA,32,5,1,NA,NA,NA,1.4,0.002
"Chimonanthus praecox","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous","short","bisexual","superior","nectar_pollen","actinomorphic","bright",NA,8,7,2,38,2847,9,0,NA,NA,NA,2.75,109.6
"Chloranthus spicatus","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual",NA,"other",NA,"dull",NA,0.6,2.33333333333333,1,NA,NA,1,NA,NA,NA,NA,NA,2.18
"Chorispora tenella","herbaceous","non-climbing","non-aquatic","monomorphic","short","selfing","biotic","abiotic","long","bisexual","superior",NA,"actinomorphic","bright",NA,0.305,6,15.6,17.5,NA,2,1,2.4,0.175,NA,8.15,1.2
"Cinnamomum camphora","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","superior",NA,"actinomorphic","bright_dull",0.3,22.5,9,1,17.5,NA,1,NA,NA,NA,NA,0.3,108.24
"Cirsium pitcheri","herbaceous","non-climbing","non-aquatic",NA,"long_short",NA,"biotic","abiotic","long",NA,"inferior",NA,"zygomorphic","bright",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clarkia xantiana","herbaceous","non-climbing","non-aquatic","monomorphic","short","mixed","biotic","autonomous","short","bisexual","inferior",NA,"zygomorphic","bright",3.5,0.45,8,500,NA,84.5,4,1,2.25,NA,NA,3.5,0.21
"Claytonia virginica","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","autonomous_biotic","short","bisexual","superior","nectar","actinomorphic","bright",NA,0.225,5,2,NA,NA,3,1,NA,NA,NA,0.85,1.22
"Cleistesiopsis bifaria","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual","inferior","pollen","zygomorphic","bright_dull",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clethra alnifolia","woody","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","abiotic","long","bisexual","superior",NA,"actinomorphic","bright",0.5,2,10,40,NA,NA,3,1,NA,NA,NA,0.55,0.15
"Clutia pulchella","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,"autonomous_biotic","short","unisexual",NA,NA,"actinomorphic","bright",NA,0.84,5,1,NA,3959,3,1,NA,NA,NA,NA,3.08
"Cobaea scandens","woody","climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior","nectar","actinomorphic","bright",5.75,25,5,999,100,415.5,3,1,NA,NA,NA,5.75,72.3
"Cochlospermum vitifolium","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior","pollen","actinomorphic","bright",NA,12,175,120,17.5,NA,5,1,8,5.5,NA,11,27.94
"Coffea arabica","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","long","bisexual","inferior","nectar_pollen","actinomorphic","bright",NA,5,5,NA,38,NA,NA,NA,NA,NA,NA,3,188.32
"Combretum leprosum","woody","climbing_non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","inferior","nectar_other","actinomorphic","bright",0.95,NA,8,4,NA,NA,2,NA,NA,NA,NA,0.95,NA
"Commelina communis","herbaceous","non-climbing","non-aquatic","monomorphic","short",NA,"biotic","autonomous","short","bisexual_unisexual","superior","pollen","zygomorphic","bright",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1.25,NA
"Cordyline australis","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","superior",NA,"actinomorphic","bright",0.55,12,6,NA,NA,NA,3,1,NA,NA,NA,0.55,3.91
"Coriaria myrtifolia","woody","non-climbing","non-aquatic","monomorphic","long",NA,"abiotic","biotic","long","bisexual_unisexual","superior","none","actinomorphic","dull",NA,3,10,1,17.5,NA,5,NA,0.5,0.3,NA,0.7,9.9
"Coriaria ruscifolia","woody","non-climbing","non-aquatic","monomorphic","long",NA,"abiotic","abiotic","long","bisexual","superior","none","actinomorphic","bright_dull",NA,NA,10,1,38,NA,7.5,NA,0.16,0.11,NA,0.25,0.53
"Cornus florida","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","inferior",NA,"actinomorphic","bright_dull",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1.5,101.87
"Corokia cotoneaster","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","inferior","nectar_other","actinomorphic","bright",NA,NA,5,1,NA,NA,2,NA,NA,NA,NA,0.65,26.33
"Corrigiola litoralis","herbaceous","non-climbing","non-aquatic","monomorphic","short","selfing","biotic","abiotic_autonomous","long_short","bisexual","intermediate",NA,"actinomorphic","bright",NA,0.15,5,NA,NA,NA,3,0.5,NA,NA,NA,0.2,0.45
"Costus woodsonii","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","biotic","long","bisexual","inferior","nectar_pollen","zygomorphic","bright",NA,12,1,9,130,744,3,NA,NA,NA,NA,NA,NA
"Cucurbita pepo","herbaceous","climbing","non-aquatic","monomorphic","short",NA,"biotic","abiotic","long","unisexual","inferior","nectar","actinomorphic","bright",1,NA,2.5,5049,100,317,4,1,NA,NA,NA,1,144.75
"Cupaniopsis anacardioides","woody","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","biotic","long","unisexual","superior","nectar_pollen","other","bright_dull",NA,4,8,1,15,39811,3,1,NA,NA,NA,0.8,178.63
"Curculigo latifolia","herbaceous_woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual_unisexual","inferior",NA,"actinomorphic","bright",NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,1.3,100
"Cuscuta cuspidata","herbaceous","climbing","non-aquatic","monomorphic","short","mixed","abiotic",NA,NA,"bisexual","superior","none","actinomorphic","bright",0.175,NA,5,2,NA,1164,2,1,NA,NA,NA,0.175,NA
"Cuttsia viburnea","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic_autonomous","long_short","bisexual","superior",NA,"actinomorphic","bright",NA,NA,5,500.5,20.25,NA,5,NA,NA,NA,NA,1,0.03
"Cyclanthus bipartitus","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","unisexual",NA,"pollen",NA,"bright",NA,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cymodocea nodosa","herbaceous","non-climbing","aquatic","dimorphic_monomorphic","long","outcrossing","abiotic","autonomous_biotic","long_short","unisexual",NA,"none",NA,NA,NA,NA,2,1,NA,NA,2,0,1.3,0.9,NA,NA,NA
"Cypripedium calceolus","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","inferior","pollen","zygomorphic","bright_dull",NA,0.45,2,1500,17.5,NA,3,1,NA,NA,NA,7.75,0.003
"Cyrilla racemiflora","woody","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","abiotic","long","bisexual","superior","nectar","actinomorphic","bright",0.4,10,5,2,NA,NA,2,1,NA,0.3,NA,0.5,NA
"Dalechampia spathulata","woody","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","autonomous","short","unisexual",NA,"other","zygomorphic","bright",NA,NA,20,NA,45.5,NA,3,NA,NA,NA,NA,NA,NA
"Dalzellia ceylanica","herbaceous","non-climbing","aquatic_non-aquatic","monomorphic",NA,"selfing","autonomous",NA,NA,"bisexual","superior","pollen","actinomorphic","bright_dull",0.2,0.01,3,999,NA,14.105,3,1,NA,NA,NA,0.2,NA
"Daphniphyllum macropodum","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing","abiotic","biotic","long","unisexual","superior","none","actinomorphic","dull",NA,20,9,2,NA,NA,2,1,1,0.55,NA,NA,42.24
"Datisca glomerata","herbaceous","non-climbing","non-aquatic","dimorphic","long","mixed","abiotic","abiotic","long","bisexual_unisexual","inferior","none",NA,"dull",NA,1.5,7.75,NA,NA,NA,NA,NA,NA,NA,NA,0.65,0.07
"Davidsonia jerseyana","woody","non-climbing","non-aquatic","monomorphic","long","selfing",NA,"biotic","long","bisexual","superior","nectar","actinomorphic","bright",NA,NA,9,6,NA,NA,2,NA,NA,5,NA,0.5,206.29
"Davilla kunthii","herbaceous","climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","inferior_superior","pollen","actinomorphic","bright",NA,NA,70,2,NA,NA,1,NA,NA,NA,NA,1.8,NA
"Denhamia celastroides","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing",NA,NA,NA,"bisexual","superior",NA,"actinomorphic",NA,NA,7,5,4,NA,NA,3,1,1.35,NA,NA,2.5,NA
"Diapensia lapponica","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","autonomous","short","bisexual","superior","nectar","actinomorphic","bright",1.1,0.02,5,80,NA,1997.5,3,1,0.3,NA,NA,1.1,NA
"Diospyros australis","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,NA,NA,"unisexual","superior",NA,"actinomorphic","bright",0.16,NA,14,1.5,NA,NA,NA,NA,1.25,0.95,NA,0.16,130.16
"Dipterocarpus tempehes","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual",NA,NA,"actinomorphic","bright",4,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,5.4,NA
"Discaria americana","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","autonomous","short","bisexual","intermediate","nectar_other_pollen","actinomorphic","bright",0.6,NA,4.5,1,NA,7943,3.5,NA,NA,NA,NA,0.6,NA
"Drosophyllum lusitanicum","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","autonomous","short","bisexual","superior",NA,"actinomorphic","bright",NA,0.9,10,21.1,NA,687,5,1,NA,NA,NA,2.7,3.72
"Dryas octopetala","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","abiotic","long","bisexual","superior","nectar_pollen","actinomorphic","bright",NA,0.5,164,1,38,631,NA,0,NA,NA,NA,3,0.71
"Durio zibethinus","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual","superior","nectar","actinomorphic","bright",5.5,25,60,6,104,NA,5,1,NA,NA,NA,5.5,18094.33
"Eichhornia crassipes","herbaceous","non-climbing","aquatic","monomorphic","long_short","outcrossing","biotic","abiotic_biotic","long","bisexual","superior",NA,"zygomorphic","bright",5.7,NA,6,999,NA,NA,3,1,NA,NA,NA,6,NA
"Eriocaulon parkeri","herbaceous","non-climbing","non-aquatic","monomorphic","long_short",NA,"biotic",NA,NA,"unisexual","superior",NA,NA,"bright",0.2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA
"Eriogonum arborescens","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","abiotic","long","bisexual",NA,NA,NA,"bright",0.275,2,9,1,NA,NA,3,NA,0.3,NA,NA,0.275,0.63
"Eryngium alpinum","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","biotic","long","bisexual","inferior",NA,"actinomorphic","bright",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.02
"Erythroxylum laurifolium","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing",NA,"biotic","long","bisexual","superior","nectar_other",NA,"bright",NA,4.5,10,NA,34.6,NA,NA,NA,1.5,NA,NA,NA,NA
"Eschscholzia californica","herbaceous","non-climbing","non-aquatic","monomorphic","long_short","outcrossing","biotic","autonomous","short","bisexual","superior","pollen","other","bright",NA,0.325,19.5,NA,38,NA,2,1,6,NA,NA,4,1.5
"Eucalyptus cladocalyx","woody","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","abiotic","long","bisexual","inferior",NA,NA,"bright",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.78
"Eupomatia bennettii","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic",NA,NA,"bisexual","inferior",NA,NA,"bright",NA,1.5,8.5,NA,NA,NA,NA,1,NA,NA,NA,3.5,NA
"Eupomatia laurina","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","long","bisexual",NA,"other",NA,"bright",NA,7,60,3,NA,NA,41,1,NA,1.75,NA,2.66666666666667,15.73
"Fagus grandifolia","woody","non-climbing","non-aquatic","monomorphic","long","outcrossing","abiotic","biotic","long","unisexual","inferior","none_pollen","actinomorphic","dull",NA,25,11,2,NA,NA,3,NA,NA,NA,NA,NA,265.74
"Ficaria verna","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","biotic","short","bisexual","superior","nectar_pollen","actinomorphic","bright",NA,0.215,25,1,38,6050,15,NA,0.375,0.26,NA,3.1875,NA
"Filipendula vulgaris","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","abiotic_biotic","biotic","long","bisexual","superior","none_pollen","actinomorphic","bright",NA,0.76,25,2,17.5,NA,9,0,NA,NA,NA,1.2,0.99
"Floerkea proserpinacoides","herbaceous","non-climbing","non-aquatic","monomorphic","short","selfing","autonomous","autonomous","short","bisexual","superior",NA,"actinomorphic","bright_dull",2.75,0.175,6,1,NA,NA,2.5,NA,NA,NA,NA,2.75,3.64
"Fumana ericoides","woody","non-climbing","non-aquatic","monomorphic","long","selfing","biotic","autonomous","short","bisexual","inferior",NA,"actinomorphic","bright",NA,NA,29,10.25,NA,567,2,NA,0.7,NA,NA,1.75,2.44
"Galium aparine","herbaceous","non-climbing","non-aquatic","monomorphic","short","selfing","biotic","biotic","long","bisexual","inferior",NA,"actinomorphic","bright",NA,0.935,4,1,38,316,2,1,NA,NA,0.85,1.75,9.05
"Gelsemium sempervirens","herbaceous","climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","superior","other","actinomorphic","bright",2.75,NA,5,4,NA,NA,2,1,NA,NA,NA,2.75,NA
"Gentiana saponaria","herbaceous","non-climbing","non-aquatic","monomorphic","long",NA,"biotic","abiotic","long","bisexual","superior","nectar","actinomorphic","bright",3.75,0.48,5,NA,NA,NA,2,1,NA,NA,NA,3.75,NA
"Geranium sanguineum","herbaceous","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","autonomous","short","bisexual","superior","nectar","actinomorphic","bright",NA,0.3,10,2,100,539,5,1,NA,NA,NA,3.1,8.87
"Gerbera jamesonii","herbaceous","non-climbing","non-aquatic","monomorphic","long","outcrossing","biotic","abiotic","long","bisexual","inferior",NA,"zygomorphic","bright",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.06
"Gesneria cuneifolia","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","short","bisexual",NA,"nectar","zygomorphic","bright",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02
"Gomortega keule","woody","non-climbing","non-aquatic","monomorphic","long","mixed","biotic","biotic","long","bisexual","inferior",NA,"actinomorphic","bright_dull",NA,20,8,1,28,NA,2,1,5.25,2.8,NA,0.6,NA
"Gonocaryum litorale","woody","non-climbing","non-aquatic","dimorphic","long","outcrossing",NA,"biotic","long","unisexual","superior",NA,"actinomorphic","bright_dull",0.55,NA,5,2,NA,NA,2,1,NA,NA,NA,0.55,NA
"Gossypium hirsutum","woody","non-climbing","non-aquatic","monomorphic","long_short","selfing","biotic","abiotic","long","bisexual","superior","nectar","actinomorphic","bright",7,1.5,80,10,94.6,608,3.5,1,NA,NA,NA,7,93.47
