"","NTaxDat","Woodiness_herbaceous","Woodiness_woody","Climbing_climbing","Climbing_non-climbing","Aquatic_aquatic","Aquatic_non-aquatic","SexualSystem_dimorphic","SexualSystem_monomorphic","Lifespan_long","Lifespan_short","Mating_mixed","Mating_outcrossing","Mating_selfing","Pollination_abiotic","Pollination_autonomous","Pollination_biotic","DispersalMode_abiotic","DispersalMode_autonomous","DispersalMode_biotic","DispersalDist_long","DispersalDist_short","FlowerSex_bisexual","FlowerSex_unisexual","OvaryPosition_inferior","OvaryPosition_intermediate","OvaryPosition_superior","FloralReward_nectar","FloralReward_none","FloralReward_other","FloralReward_pollen","FlowerSymmetry_actinomorphic","FlowerSymmetry_other","FlowerSymmetry_zygomorphic","Showiness_bright","Showiness_dull"
"81","Chloranthus spicatus",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,NA,NA,NA,0,0,1,0,NA,NA,NA,0,1
"82","Chorispora tenella",1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"83","Cinnamomum camphora",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,1,0,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,1
"84","Cirsium pitcheri",1,0,0,1,0,1,NA,NA,1,1,NA,NA,NA,0,0,1,1,0,0,1,0,NA,NA,1,0,0,NA,NA,NA,NA,0,0,1,1,0
"85","Clarkia xantiana",1,0,0,1,0,1,0,1,0,1,NA,NA,NA,0,0,1,0,1,0,0,1,1,0,1,0,0,NA,NA,NA,NA,0,0,1,1,0
"86","Claytonia virginica",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"87","Cleistesiopsis bifaria",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,1,0,0,1,1,1
"88","Cleomella arborea",0,1,0,1,0,1,0,1,1,1,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,1,0,0,0,1,NA,NA,NA,NA,0,0,1,1,0
"89","Clethra alnifolia",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,1,0,0,1,0,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"90","Clutia pulchella",0,1,0,1,0,1,1,0,1,0,0,1,0,NA,NA,NA,0,1,1,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0
