"","NTaxDat","Woodiness_herbaceous","Woodiness_woody","Climbing_climbing","Climbing_non-climbing","Aquatic_aquatic","Aquatic_non-aquatic","SexualSystem_dimorphic","SexualSystem_monomorphic","Lifespan_long","Lifespan_short","Mating_mixed","Mating_outcrossing","Mating_selfing","Pollination_abiotic","Pollination_autonomous","Pollination_biotic","DispersalMode_abiotic","DispersalMode_autonomous","DispersalMode_biotic","DispersalDist_long","DispersalDist_short","FlowerSex_bisexual","FlowerSex_unisexual","OvaryPosition_inferior","OvaryPosition_intermediate","OvaryPosition_superior","FloralReward_nectar","FloralReward_none","FloralReward_other","FloralReward_pollen","FlowerSymmetry_actinomorphic","FlowerSymmetry_other","FlowerSymmetry_zygomorphic","Showiness_bright","Showiness_dull"
"297","Sauvagesia rhodoleuca",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,NA,NA,NA,1,0,0,1,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,0
"298","Saxifraga cernua",1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0
"299","Scaevola montana",0,1,0,1,0,1,0,1,NA,NA,0,1,0,0,0,1,0,0,1,1,0,1,0,NA,NA,NA,1,0,0,0,NA,NA,NA,1,0
"300","Schinus molle",0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,NA,NA,NA,NA,1,0,0,1,1
"301","Schisandra chinensis",1,0,1,0,0,1,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,0,1,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"302","Schizanthus grahamii",1,0,0,1,0,1,0,1,0,1,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,1,0,0,0,1,NA,NA,NA,NA,0,0,1,1,0
"303","Scleranthus annuus",1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1
"304","Senecio vulgaris",1,0,0,1,0,1,0,1,0,1,NA,NA,NA,0,0,1,1,0,0,1,0,1,0,1,0,0,NA,NA,NA,NA,1,0,0,1,0
"305","Sesamum indicum",1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0
"306","Sextonia rubra",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0
"307","Silene vulgaris",1,0,0,1,0,1,1,0,1,0,NA,NA,NA,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0
"308","Simmondsia chinensis",0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1
"309","Sinojackia xylocarpa",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,1,0,0,1,0
"310","Solanum dulcamara",1,0,1,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0
"311","Souroubea guianensis",0,1,1,0,0,1,0,1,NA,NA,0,1,0,0,0,1,0,0,1,1,0,1,0,NA,NA,NA,1,0,1,0,NA,NA,NA,1,0
"312","Spergularia marina",1,0,0,1,0,1,0,1,0,1,NA,NA,NA,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1
"313","Spigelia marilandica",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,1,0,0,1,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,1
"314","Spiranthes cernua",1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,NA,NA,NA,NA,0,0,1,1,1
"315","Spondias tuberosa",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0
"316","Staphylea trifolia",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1
"317","Stellaria media",1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1
"318","Sterculia apetala",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,NA,NA,NA,NA,1,0,0,1,1
"319","Stylidium graminifolium",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,NA,NA,NA,NA,0,0,1,1,0
"320","Swietenia macrophylla",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,1,0,0,1,0,0,1,0,0,1,NA,NA,NA,NA,1,0,0,1,1
"321","Symplocos rhamnifolia",0,1,0,1,0,1,1,0,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA
"322","Syringa vulgaris",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0
"323","Tacca chantrieri",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,1,1,0,0,1,1,0,1,0,1,0,0,NA,NA,NA,NA,1,0,0,1,1
"324","Tacca leontopetaloides",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,1,0,1,0,0,NA,NA,NA,NA,1,0,0,1,1
"325","Talinum paniculatum",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,1,0,0,1,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"326","Tectona grandis",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"327","Ternstroemia crassifolia",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,NA,NA,NA,1,0,0,1,1,0,0,1,0
"328","Tetracentron sinense",0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1
"329","Tetratheca aphylla",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,NA,NA,NA,1,0
"330","Tetroncium magellanicum",1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
"331","Thalictrum minus",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1
"332","Theobroma cacao",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"333","Thymelaea hirsuta",0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
"334","Titanotrichum oldhamii",1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,NA,NA,NA,NA,NA,1,0,0,0,1,NA,NA,NA,NA,0,0,1,1,0
"335","Trachelium caeruleum",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0
"336","Tragopogon dubius",1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,NA,NA,NA,NA,0,0,1,1,0
"337","Tribulus terrestris",1,0,0,1,0,1,0,1,0,1,NA,NA,NA,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0
"338","Trichilia emetica",0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,NA,NA,NA,NA,1,0,0,NA,NA
"339","Trillium erectum",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,1
"340","Trithuria submersa",1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0
"341","Trochocarpa laurina",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"342","Tropaeolum majus",1,0,1,1,0,1,0,1,1,1,NA,NA,NA,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0
"343","Tropaeolum tricolor",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,1,0,0,0,1,NA,NA,NA,NA,0,0,1,1,0
"344","Turnera ulmifolia",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,0
"345","Typha latifolia",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,NA,NA,NA,0,1
"346","Urtica dioica",1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1
"347","Vaccinium uliginosum",0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1
"348","Valeriana officinalis",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0
"349","Vellozia squamata",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0
"350","Verbascum thapsus",1,0,0,1,0,1,0,1,0,1,NA,NA,NA,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0
"351","Veronica anagallis-aquatica",1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0
"352","Viburnum rufidulum",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0
"353","Viola pubescens",1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,NA,NA,NA,NA,0,0,1,1,0
"354","Vitex negundo",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,1,0,NA,NA,NA,1,0,0,0,0,0,1,1,0
"355","Vitis labrusca",0,1,1,0,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,1,0,1,0,0,0,1,NA,NA,NA,NA,1,0,0,0,1
"356","Viviania marifolia",1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"357","Vriesea carinata",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,1,0,0,1,0,1,0,0,0,1,NA,NA,NA,NA,1,0,1,1,0
"358","Warburgia ugandensis",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,0,1,1,0,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,1
"359","Wurmbea biglandulosa",1,0,0,1,0,1,1,1,1,0,NA,NA,NA,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0
"360","Xanthosoma sagittifolium",1,0,0,1,0,1,0,1,1,0,NA,NA,NA,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,NA,NA,NA,1,0
"361","Ximenia americana",0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,NA,NA,NA,NA,1,0,0,1,1
"362","Zea mays",1,0,0,1,0,1,0,1,0,1,NA,NA,NA,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,NA,NA,NA,0,1
"363","Zelkova serrata",0,1,0,1,0,1,0,1,1,0,NA,NA,NA,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,NA,NA,NA,0,1
"364","Zostera marina",1,0,0,1,1,0,0,1,1,0,NA,NA,NA,1,0,0,1,0,0,1,0,0,1,NA,NA,NA,0,1,0,0,NA,NA,NA,0,1
