,NDat,NTaxDat,NChrDat,NRefDat,NCstDat,Simple,ValDat,MinDat,MaxDat,NotesDat,NDacDat,NRankDat,NDqsDat,NUsrcrDat,DcrDat,NUsrupDat,DupDat,DeleteDat,NUsrdelDat,DdelDat,PseudoDat,HistoryDat
2335,254304,Silene vulgaris,4. Plant sexual system (D1),McCauley & Brock 1998 (Evolution),4. Plant sexual system (D1): (4) gynodioecious,bisexual,NA,NA,NA,,explicit from the text (described as such),species,3,Cesar González Martínez,25-Jun-19,,,FALSE,NA,NA,FALSE,"[Created by Cesar González Martínez on 25/06/2019] Silene vulgaris / 4. Plant sexual system (D1): (4) gynodioecious [McCauley & Brock 1998, Cesar González Martínez, 25/06/2019]"
3240,280900,Silene vulgaris,4. Plant sexual system (D1),Bertin and Newman 1993 (BotRev),4. Plant sexual system (D1): (4) gynodioecious,bisexual,NA,NA,NA,,explicit from the text (described as such),species,NA,Sylvain Glémin,19-May-20,,,FALSE,NA,NA,FALSE,"[Created by Sylvain Glémin on 19/05/2020] Silene vulgaris / 4. Plant sexual system (D1): (4) gynodioecious [Bertin and Newman 1993, Sylvain Glémin, 19/05/2020]"
2458,269381,Sterculia apetala,4. Plant sexual system (D1),Flora of Barro Colorado Island online 2013 (website),4. Plant sexual system (D1): (1) monoecious,monoecious,NA,NA,NA,,,,NA,Maria von Balthazar,11-Apr-13,Hervé Sauquet,07-Jan-20,FALSE,NA,NA,FALSE,"[As of 3/06/2014] Sterculia apetala / 100. Sex (D1): (5) functionally unisexual monoecious, structurally gynomonoecious [Thomas B. Croat 2013, Maria von Balthazar, 11/04/2013]
[Automatically duplicated from original record and rescored by Hervé Sauquet on"
4833,317544,Sterculia apetala,4. Plant sexual system (D1),Bertin and Newman 1993 (BotRev),4. Plant sexual system (D1): (1) monoecious,monoecious,NA,NA,NA,,explicit from the text (described as such),species,NA,Sylvain Glémin,11-Apr-21,,,FALSE,NA,NA,FALSE,"[Created by Sylvain Glémin on 11/04/2021] Sterculia apetala / 4. Plant sexual system (D1): (1) monoecious [Bertin and Newman 1993, Sylvain Glémin, 11/04/2021]"
2396,268867,Thymelaea hirsuta,4. Plant sexual system (D1),Cornara et al 2005 (PlantSystEvol),4. Plant sexual system (D1): (2) dioecious,NA,NA,NA,NA,"Subdioecious; subandroecious (bearing male flowers, with
occasional hermaphroditic or female flowers);
subgynoecious (bearing female flowers, with
occasional male or hermaphroditic flowers)",explicit from the text (described as such),,NA,Rebeca Hernández Gutiérrez,03-Jul-13,Hervé Sauquet,07-Jan-20,FALSE,NA,NA,FALSE,"[As of 3/06/2014] Thymelaea hirsuta / 100. Sex (D1): (R) plants with male, female and bisexual flowers [Cornara et al. 2005, Rebeca Hernández Gutiérrez, 3/07/2013] {Subdioecious}
[Updated by Maria von Balthazar on 22/10/2015] Thymelaea hirsuta / 100. Sex"
6070,323515,Thymelaea hirsuta,4. Plant sexual system (D1),El-Keblawy et al 1996 (CanJBot),4. Plant sexual system (D1): (1) monoecious,NA,NA,NA,NA,,explicit from the text (described as such),species,3,Marcos Méndez Iglesias,22-May-21,,,FALSE,NA,NA,FALSE,"[Created by Marcos Méndez Iglesias on 22/05/2021] Thymelaea hirsuta / 4. Plant sexual system (D1): (1) monoecious [El-Keblawy et al 1996, Marcos Méndez Iglesias, 22/05/2021]"
6071,323516,Thymelaea hirsuta,4. Plant sexual system (D1),El-Keblawy et al 1996 (CanJBot),4. Plant sexual system (D1): (2) dioecious,NA,NA,NA,NA,Subdioecious to monoecious to sex labile.,explicit from the text (described as such),species,3,Marcos Méndez Iglesias,22-May-21,,,FALSE,NA,NA,FALSE,"[Created by Marcos Méndez Iglesias on 22/05/2021] Thymelaea hirsuta / 4. Plant sexual system (D1): (2) dioecious [El-Keblawy et al 1996, Marcos Méndez Iglesias, 22/05/2021] {Subdioecious to monoecious to sex labile.}"
7651,359430,Wurmbea biglandulosa,4. Plant sexual system (D1),Vaughton & Ramsey 2004 (EvolEcol),4. Plant sexual system (D1): (4) gynodioecious,bisexual,NA,NA,NA,,explicit from the text (described as such),species,3,Marcos Méndez Iglesias,26-Nov-21,,,FALSE,NA,NA,FALSE,"[Created by Marcos Méndez Iglesias on 26/11/2021] Wurmbea biglandulosa / 4. Plant sexual system (D1): (4) gynodioecious [Vaughton & Ramsey 2004, Marcos Méndez Iglesias, 26/11/2021]"
8532,448543,Wurmbea biglandulosa,4. Plant sexual system (D1),Flora of Australia 2022 (website),4. Plant sexual system (D1): (5) andromonoecious,bisexual,NA,NA,NA,,explicit from the text (described as such),species,3,Jos Käfer,28-Nov-22,,,FALSE,NA,NA,FALSE,"[Created by Jos Käfer on 28/11/2022] Wurmbea biglandulosa / 4. Plant sexual system (D1): (5) andromonoecious [Flora of Australia 2022, Jos Käfer, 28/11/2022]"
3675,281928,Zelkova serrata,4. Plant sexual system (D1),Flora of China 2003 (book),4. Plant sexual system (D1): (1) monoecious,monoecious,NA,NA,NA,,interpreted from the text,species,NA,Concetta Burgarella,27-May-20,,,FALSE,NA,NA,FALSE,"[Created by Concetta Burgarella on 27/05/2020] Zelkova serrata / 4. Plant sexual system (D1): (1) monoecious [Flora of China 2003, Concetta Burgarella, 27/05/2020]"
3743,282435,Zelkova serrata,4. Plant sexual system (D1),Suo 1995 (JJFS),4. Plant sexual system (D1): (7) trimonoecious,monoecious,NA,NA,NA,,explicit from the text (described as such),species,NA,Concetta Burgarella,29-May-20,,,FALSE,NA,NA,FALSE,"[Created by Concetta Burgarella on 29/05/2020] Zelkova serrata / 4. Plant sexual system (D1): (7) trimonoecious [Suo 1995, Concetta Burgarella, 29/05/2020]"
