"Genus","Species","SI_status"
"Chamaecrista","glaucofilix","PSI"
"Solanum","glaucophyllum","SI"
"Helianthus","glaucophyllus","SI"
"Senecio","glaucophyllus","SC"
"Stylidium","glaucum","PSI"
"Rhynchospora","globosa","PSI"
"Trifolium","globosum","SC"
"Acacia","globulifera","SI"
"Eucalyptus","globulus","PSI"
"Zornia","glochidiata","SC"
"Neosciadium","glochidiatum","SC"
"Daucus","glochidiatus","SC"
"Actinotus","glomerata","SC"
"Dactylis","glomerata","SI"
"Ficus","glomerata","SC"
"Madia","glomerata","SC"
"Pterolepis","glomerata","PSI"
"Hedysarum","glomeratum","SC"
"Trifolium","glomeratum","SC"
"Convolvulus","glomeratus","SC"
"Senecio","glomeratus","SC"
"Senecio","glossanthus","PSI"
"Alysicarpus","glumaceus","SC"
"Daiya","glutinosa","SC"
"Medicago","glutinosa","SC"
"Nicotiana","glutinosa","SC"
"Viguiera","glutinosa","SC"
"Antirrhinum","glutinosum","SI"
"Sesbania","goetzei","SC"
"Erythrina","goldmanii","PSI"
"Aphelandra","golfodulcensis","PSI"
"Sonchus","gonzalezpadronii","SI"
"Nicotiana","goodspeedii","SC"
"Physaria","gordonii","SI"
"Diplotaxis","gorgadensis","SI"
"Lathyrus","gorgoni","SC"
"Roridula","gorgonias","SC"
"Nicotiana","gossei","SC"
"Ipomopsis","gossypifera","SC"
"Jatropha","gossypiifolia","SC"
"Dendrobium","gouldii","SC"
"Pilosocereus","gounellei","PSI"
"Psychotria","goyazensis","SC"
"Macroptilium","gracile","SC"
"Vriesea","gracilior","SC"
"Eriotheca","gracilipes","SI"
"Hirtella","gracilipes","SC"
"Arachis","gracilis","SC"
"Blakea","gracilis","SC"
"Diplotaxis","gracilis","SI"
"Haplopappus","gracilis","SC"
"Jaegeria","gracilis","SC"
"Madia","gracilis","SC"
"Mandevilla","gracilis","SI"
"Microsteris","gracilis","SC"
"Passiflora","gracilis","SI"
"Stylosanthes","gracilis","SC"
"Vriesea","gradata","PSI"
"Desmodium","grahamii","SC"
"Mammillaria","grahamii","SI"
"Schizanthus","grahamii","SC"
"Arundina","graminifolia","SC"
"Euthamia","graminifolia","SI"
"Gibasis","graminifolia","SC"
"Marshallia","graminifolia","SI"
"Solidago","graminifolia","SI"
"Medicago","granadensis","SC"
"Melilotus","granadensis","SC"
"Artemisia","granatensis","SI"
"Helianthus","grandiceps","SI"
"Turnera","grandidentata","SI"
"Aethionaema","grandiflora","SI"
"Beaumontia","grandiflora","SI"
"Calandrinia","grandiflora","PSI"
"Capsella","grandiflora","SI"
"Cistanthe","grandiflora","PSI"
"Collomia","grandiflora","SC"
"Coreopsis","grandiflora","SI"
"Espeletia","grandiflora","SI"
"Grindelia","grandiflora","SI"
"Marantochloa","grandiflora","SI"
"Marshallia","grandiflora","SC"
"Odontodenia","grandiflora","SI"
"Portulaca","grandiflora","PSI"
"Posoqueria","grandiflora","SI"
"Qualea","grandiflora","SI"
"Rauvolfia","grandiflora","SI"
"Rhynchanthera","grandiflora","PSI"
"Rynchanthera","grandiflora","SC"
"Solandra","grandiflora","SI"
"Tecoma","grandiflora","SI"
"Tellima","grandiflora","PSI"
"Trigonella","grandiflora","SC"
"Tripogandra","grandiflora","SC"
"Turnera","grandiflora","SI"
"Vicia","grandiflora","SC"
"Aethionema","grandiflorum","SI"
"Centrosema","grandiflorum","SC"
"Hypecoum","grandiflorum","SI"
"Trifolium","grandiflorum","SC"
"Trillium","grandiflorum","PSI"
"Echinodorus","grandiflorus","SI"
"Lathyrus","grandiflorus","SI"
"Centradenia","grandifolia","SI"
"Stylosanthes","grandifolia","SC"
"Caldesia","grandis","SC"
"Eucalyptus","grandis","PSI"
"Tectona","grandis","SI"
"Ranunculus","graniticola","PSI"
"Trochetia","granulata","SC"
"Dendrobium","gratiosissimum","SI"
"Apium","graveolens","SC"
"Asteriscus","graveolens","SC"
"Brassica","gravinae","SI"
"Argyroxiphium","grayanum","SI"
"Solanum","grayi","SC"
"Acacia","greggii","SI"
"Leucaena","greggii","SI"
"Senecio","gregorii","SI"
"Dendrobium","griffithianum","SI"
"Stenocereus","griseus","SI"
"Helianthus","grosseserratus","SI"
"Bellucia","grossularioides","SI"
"Lupinus","guadalupensis","SC"
"Erythrina","guatemalensis","PSI"
"Lonchocarpus","guatemalensis","PSI"
"Tradescantia","guatemalensis","SC"
"Solanum","guerreroense","SC"
"Dioclea","guianensis","SI"
"Euphronia","guianensis","PSI"
"Lindmania","guianensis","PSI"
"Sauvagesia","guianensis","PSI"
"Stylosanthes","guianensis","SC"
"Tococa","guianensis","SI"
"Vismia","guianensis","SI"
"Sonchus","gummifer","SI"
"Desmodium","gunnii","SC"
"Senecio","gunnii","SC"
"Boechera","gunnisoniana","SC"
"Ipomopsis","guttata","SI"
"Neoregelia","guttata","SC"
"Stylidium","guttatum","SI"
"Astragalus","guttatus","SC"
"Restrepia","guttulata","SI"
"Wilkesia","gymnoxiphium","SI"
"Carthamus","gypsicola","SC"
"Ipomea","habeliana","SC"
"Ipomoea","habeliana","SC"
"Solanum","habrochaites","PSI"
"Calliandra","haematocephala","PSI"
"Calliandra","haematomma","SC"
"Leucheria","hahnii","SI"
"Grindelia","halii","SI"
"Encelia","halimifolia","SI"
"Arabidopsis","halleri","SI"
"Lathyrus","hallersteinii","PSI"
"Harmonia","hallii","SI"
"Eutrema","halophilum","SC"
"Lotus","halophilus","SC"
"Stylosanthes","hamata","SC"
"Coreopsis","hamiltonii","SI"
"Astragalus","hamosus","SC"
"Dendrobium","hancockii","SC"
"Lilium","hansoni","SI"
"Platysace","haplosciadia","SC"
"Acacia","harpophylla","SI"
"Diplotaxis","harra","SI"
"Aphelandra","hartwegiana","SC"
"Turnera","hassleriana","SI"
"Cynophalla","hastata","PSI"
"Svitramia","hatschbachii","PSI"
"Trifolium","haussknechtii","SC"
"Eudema","hauthalii","SI"
"Grindelia","havardii","SI"
"Bidens","hawaiensis","SC"
"Penstemon","haydenii","SI"
"Iris","haynei","SI"
"Senna","hebecarpa","PSI"
"Glechoma","hederacea","SC"
"Xanthosia","hederifolia","SC"
"Cyclamen","hederifolium","PSI"
"Lespedeza","hedysaroides","SC"
"Holocarpha","heermannii","SI"
"Solanum","heiseri","SI"
"Heliopsis","helianthioides","SI"
"Heliopsis","helianthoides","SI"
"Verbesina","helianthoides","PSI"
"Epipactis","helleborine","SC"
"Liatris","helleri","SI"
"Scalesia","helleri","SC"
"Encholirium","heloisae","PSI"
"Medicago","hemicycla","SC"
"Lilium","hemryi","SI"
"Shorea","hemsleyana","SI"
"Dendrobium","hendersonii","SI"
"Yinshania","henryi","SC"
"Anemone","hepatica","PSI"
"Cardamine","heptaphylla","SI"
"Schefflera","heptaphylla","SC"
"Handroanthus","heptaphyllus","PSI"
"Begonia","heracleifolia","SC"
"Amorpha","herbacea","PSI"
"Hymenoxys","herbacea","SI"
"Tetraneuris","herbacea","PSI"
"Dubautia","herbstobatae","SI"
"Dendrobium","hercoglossum","SC"
"Senecio","hercynicus","SC"
"Arachis","hermannii","SC"
"Turnera","hermannioides","SI"
"Iris","hermona","SI"
"Jaltomata","herrerae","SC"
"Aster","hesperius","SI"
"Tephrosia","heteranthera","SC"
"Microseris","heterocarpa","SC"
"Desmodium","heterocarpon","SC"
"Aethionema","heterocarpum","SC"
"Dendrobium","heterocarpum","SC"
"Hulsea","heterochroma","SI"
"Lycianthes","heteroclita","SC"
"Bidens","heterodoxa","SC"
"Solanum","heterodoxum","SC"
"Tibouchina","heteromalla","SC"
"Calibrachoa","heterophylla","SI"
"Gibasis","heterophylla","SC"
"Lipochaeta","heterophylla","SC"
"Loasa","heterophylla","SI"
"Physalis","heterophylla","SC"
"Verbesina","heterophylla","SI"
"Aconitum","heterophyllum","PSI"
"Cirsium","heterophyllum","SC"
"Desmodium","heterophyllum","SC"
"Cistus","heterophyllus","SI"
"Helianthus","heterophyllus","SI"
"Vriesea","heterostachys","SC"
"Layia","heterotricha","SC"
"Aloe","hexapetala","SI"
"Medicago","heynia","SC"
"Solanum","hibernum","SI"
"Saxifraga","hieracifolia","PSI"
"Layia","hieracioides","SC"
"Picris","hieracioides","SI"
"Picris","hieraicioides","PSI"
"Lathyrus","hierosolymitanus","SC"
"Sonchus","hierrensis","SI"
"Cambessedesia","hilariana","SC"
"Dendrobium","hildebrandii","SC"
"Bidens","hillebrandiana","SC"
"Crucihimalaya","himalaica","SC"
"Adenocaulon","himalaicum","SC"
"Solanum","hindsianum","SI"
"Acacia","hindsii","SI"
"Potentilla","hippiana","SC"
"Saxifraga","hirculus","SC"
"Arabis","hirsuta","SC"
"Cardamine","hirsuta","SC"
"Hypoxis","hirsuta","SI"
"Hypselodelphys","hirsuta","PSI"
"Indigofera","hirsuta","SC"
"Phlox","hirsuta","SI"
"Thymelaea","hirsuta","PSI"
"Vicia","hirsuta","SC"
"Portulaca","hirsutissima","PSI"
"Grindelia","hirsutula","SI"
"Lycium","hirsutum","SI"
"Helianthus","hirsutus","SI"
"Lathyrus","hirsutus","SC"
"Melilotus","hirsutus","PSI"
"Angelonia","hirta","SI"
"Hydrocotyle","hirta","SC"
"Ononis","hirta","SC"
"Rudbeckia","hirta","SI"
"Tradescantia","hirta","SC"
"Trochilia","hirta","SC"
"Lathyrus","hirticarpus","SC"
"Erica","hirtiflora","PSI"
"Desmodium","hirtum","SC"
"Solanum","hirtum","SC"
"Trifolium","hirtum","SI"
"Croton","hirtus","PSI"
"Vincetoxicum","hirundinaria","PSI"
"Chionographis","hisauchiana","SC"
"Colutea","hispanica","SC"
"Crambe","hispanica","SC"
"Erucaria","hispanica","SI"
"Scorzonera","hispanica","SI"
"Dillwynia","hispida","PSI"
"Encelia","hispida","SC"
"Medicago","hispida","SC"
"Chamaecrista","hispidula","SC"
"Hydrocotyle","hispidula","SC"
"Senecio","hispidulus","SC"
"Leontodon","hispidus","SC"
"Lotus","hispidus","SC"
"Aeschynomene","histrix","SC"
"Desmodium","hjalmarsonii","SC"
"Solanum","hjertingii","SC"
"Wilkesia","hobdyi","SC"
"Arachis","hoehnei","SC"
"Boechera","holboellii","SC"
"Astragalus","holmgreniorum","SC"
"Arabis","holoboellii","SI"
"Bauhinia","holophylla","PSI"
"Simsia","holwayi","SI"
"Homaloscidadium","homalocarpum","SC"
"Rhododendron","hongkongense","PSI"
"Pleurophyllum","hookeri","SI"
"Townsendia","hookeri","SC"
"Angelonia","hookeriana","SI"
"Potentilla","hookeriana","SC"
"Calycadenia","hooveri","SC"
"Gnaphalium","hoppeanum","SC"
"Billbergia","horrida","SI"
"Cereus","horrispinus","SI"
"Leucanthemum","hosmariense","SI"
"Solanum","hougasii","SC"
"Ageratum","houstonianum","SI"
"Solanum","houstonii","SC"
"Microseris","howellii","SI"
"Solanum","huaylasense","SI"
"Tillandsia","hubertiana","SI"
"Grevillea","hugelii","SI"
"Xanthosia","hugellii","SC"
"Solanum","huilense","SI"
"Lilium","humboldtii","SI"
"Erythrina","humea","SC"
"Roscoea","humeana","PSI"
"Protea","humiflora","SC"
"Hedysarum","humile","SI"
"Pisum","humile","SC"
"Solanum","humile","SC"
"Tetramolopium","humile","SC"
"Actinotus","humilis","SC"
"Arctomecon","humilis","PSI"
"Rivina","humilis","SC"
"Scorzonera","humilis","SI"
"Stylosanthes","humilis","SC"
"Astragalus","humillimus","SC"
"Tanacetum","huronense","SC"
"Vicia","hyaeniscyamus","SC"
"Medicago","hybrida","SC"
"Vicia","hybrida","SC"
"Trifolium","hybridum","PSI"
"Vriesea","hydrophora","PSI"
"Vriesea","hygrometrica","SC"
"Helianthus","hypargyreus","SI"
"Pappobolus","hypargyreus","SC"
"Bidens","hyperborea","SC"
"Saxifraga","hyperborea","SC"
"Galium","hypocarpium","SC"
"Relbunium","hypocarpium","SC"
"Arachis","hypogaea","SC"
"Senecio","hypoleucus","SI"
"Monotropa","hypopitys","PSI"
"Solanum","hyporhodium","SC"
"Grevillea","iaspicula","SI"
"Epidendrum","ibaguense","PSI"
"Miconia","ibaguensis","PSI"
"Chrysobalabus","icaeo","SC"
"Rubus","idaeus","SI"
"Fragaria","iinumae","SC"
"Banksia","ilicifolia","PSI"
"Desmanthus","illinoensis","SC"
"Onopordum","illyricum","SC"
"Helianthus","imbaburensis","SI"
"Pappobolus","imbaburensis","SC"
"Commelina","imberbis","SI"
"Dubautia","imbricata","SI"
"Erica","imbricata","SI"
"Lavoisiera","imbricata","PSI"
"Cardamine","impatiens","SC"
"Vriesea","imperialis","SC"
"Tabebuia","impetiginosa","SI"
"Handroanthus","impetiginosus","SI"
"Senecio","inaequidens","SI"
"Crotalaria","inca","SC"
"Brassica","incana","SI"
"Calendula","incana","PSI"
"Draba","incana","SC"
"Hypochaeris","incana","SI"
"Malacothrix","incana","PSI"
"Matthiola","incana","SC"
"Townsendia","incana","SI"
"Desmodium","incanum","SC"
"Solanum","incanum","SC"
"Asclepias","incarnata","PSI"
"Dactylorhiza","incarnata","SC"
"Ipomoea","incarnata","SI"
"Trifolium","incarnatum","PSI"
"Draba","incerta","SC"
"Marantochloa","incertifolia","SC"
"Descurainia","incisa","SC"
"Solanum","incompletum","SI"
"Aloe","inconspicua","SI"
"Erysimum","inconspicuum","SC"
"Lathyrus","inconspicuus","SC"
"Hemizonia","increscens","PSI"
"Vriesea","incurvata","PSI"
"Malacothrix","indecora","SC"
"Packera","indecora","SC"
"Aeschynomene","indica","SC"
"Canna","indica","PSI"
"Eleusine","indica","SC"
"Melilotus","indica","SC"
"Tamarindus","indica","SC"
"Abutilon","indicum","SC"
"Chrysanthemum","indicum","SI"
"Melilotus","indicus","SC"
"Dendrobium","indivisum","SI"
"Stylidium","induratum","SI"
"Andira","inermis","PSI"
"Dromus","inermis","SI"
"Melilotus","infesta","SC"
"Melilotus","infestus","SC"
"Petunia","inflata","SI"
"Echinolaena","inflexa","PSI"
"Desmodium","infractum","SC"
"Solanum","infundibuliforme","SI"
"Dendrobium","infundibulum","PSI"
"Stylosanthes","ingrata","SC"
"Nicotiana","ingulba","SC"
"Grindelia","inornata","SI"
"Datura","inoxia","SC"
"Microlicia","inquinans","PSI"
"Lespedeza","inschanica","SC"
"Tasmannia","insipida","PSI"
"Packera","insulae-regalis","SC"
"Erysimum","insulare","SI"
"Brassica","insularis","SI"
"Artocarpus","integer","SC"
"Astranthium","integrifolia","SC"
"Coreopsis","integrifolia","SI"
"Jaborosa","integrifolia","SI"
"Lipochaeta","integrifolia","SC"
"Petunia","integrifolia","SI"
"Rhus","integrifolia","SI"
"Tephroseris","integrifolia","SI"
"Astranthium","integrifolium","SC"
"Parthenium","integrifolium","SI"
"Schizanthus","integrifolius","SC"
"Silene","integripetala","SC"
"Solanum","interandinum","SC"
"Astragalus","intercedens","SC"
"Petunia","interior","SI"
"Solanum","interius","SC"
"Biscutella","intermedia","SI"
"Coreopsis","intermedia","SI"
"Cotula","intermedia","SC"
"Flaveria","intermedia","SI"
"Asteriscus","intermedius","SC"
"Medicago","intertexta","SC"
"Desmodium","intortum","SC"
"Cichorium","intybus","PSI"
"Eugenia","involucrata","PSI"
"Navarretia","involucrata","SC"
"Bulbophyllum","involutum","SC"
"Solanum","iopetalum","SC"
"Bulbophyllum","ipanemense","PSI"
"Sisymbrium","irio","SC"
"Calepina","irregularis","SC"
"Eriosema","irwinii","SC"
"Koenigia","islandica","SC"
"Sagittaria","isoetiformis","SC"
"Helicteres","isora","SC"
"Trifolium","isthmocarpum","SC"
"Medicago","italica","SC"
"Silene","italica","SC"
"Arum","italicum","PSI"
"Xanthium","italicum","SC"
"Melilotus","italicus","PSI"
"Nidularium","itatiaiae","SI"
"Solanum","itatiaiae","SC"
"Staurogyne","itatiaiae","SC"
"Fragaria","iturupensis","SC"
"Nolana","ivaniana","SI"
"Leucocoryne","ixioides","SI"
"Tillandsia","ixioides","SI"
"Centaurea","jacea","SI"
"Senecio","jacobaea","SI"
"Lotus","jacobaeus","SI"
"Senecio","jacobea","SC"
"Capparis","jacobinae","SI"
"Stromanthe","jacquinii","PSI"
"Astragalus","jaegerianus","SI"
"Solanum","jamaicense","SC"
"Indigofera","jamaicensis","SC"
"Triopteris","jamaicensis","SC"
"Solanum","jamesii","SI"
"Gerbera","jamesonii","SI"
"Mucuna","japira","SC"
"Camellia","japonica","PSI"
"Chimaphila","japonica","SC"
"Chionographis","japonica","SI"
"Kerria","japonica","SI"
"Pyrola","japonica","SC"
"Youngia","japonica","SC"
"Chrysanthemum","japonicum","PSI"
"Dendranthema","japonicum","SI"
"Lilium","japonicum","SI"
"Glycine","javanica","SC"
"Stemona","javanica","SC"
"Helianthus","jelskii","SI"
"Dendrobium","jenkinsii","SC"
"Linanthus","jepsonii","SC"
"Ziziphus","joazeiro","PSI"
"Turnera","joelii","SI"
"Acianthera","johannensis","SI"
"Habenaria","johannensis","PSI"
"Vicia","johannis","SC"
"Solanum","johnstonii","SC"
"Layia","jonesii","SI"
"Clypeola","jonthlaspi","SC"
"Solanum","juglandifolium","SI"
"Albizia","julibrissin","SI"
"Prosopis","juliflora","SC"
"Prosopis","juliflorq","SC"
"Malacothrix","junakii","SC"
"Crotalaria","juncea","PSI"
"Schoenolaena","juncea","SI"
"Solidago","juncea","SI"
"Tetratheca","juncea","SI"
"Tillandsia","juncea","SC"
"Spartium","junceum","PSI"
"Aster","junciformis","SI"
"Dolichos","junghuhnianus","SC"
"Zinnia","juniperifolia","SI"
"Persoonia","juniperina","PSI"
"Galactia","jussiaea","SC"
"Erigeron","kachinensis","SI"
"Vicia","kalakhensis","SC"
"Dubautia","kalalauensis","SI"
"Arabidopsis","kamchatica","SC"
"Aster","kantoensis","SI"
"Taraxacum","karatavicum","SI"
"Trifolium","karatavicum","SC"
"Gibasis","karwinskyana","SC"
"Argyroxiphium","kauense","SI"
"Vriesea","kautskyana","SC"
"Convallaria","keiskei","SI"
"Dendrobium","keithii","SI"
"Arachis","kempff-mercadoi","SC"
"Sesbania","keniensis","SC"
"Astragalus","kentrophyta","PSI"
"Chamaecrista","keyensis","SC"
"Coriaria","kingiana","SC"
"Dendrobium","kingianum","SI"
"Senecio","kingii","SI"
"Astragalus","kirkukensis","SC"
"Primula","kisoana","SI"
"Potentilla","kleiniana","SC"
"Nicotiana","knightiana","SC"
"Dubautia","knudsenii","SI"
"Acacia","koa","SC"
"Chionographis","koidzumiana","SI"
"Taraxacum","kok-saghyz","PSI"
"Cardamine","kokaiensis","SC"
"Ariocarpus","kotschoubeyanus","PSI"
"Turnera","krapovickasii","SI"
"Arachis","kretschmeri","SC"
"Lotus","krylovii","SC"
"Liparis","kumokiri","PSI"
"Chamaecrista","kunthia","SC"
"Davilla","kunthii","SI"
"Lasthenia","kunthii","SC"
"Gerbera","kunzeana","SC"
"Solanum","kurtzianum","SI"
"Alpinia","kwangsiensis","PSI"
"Cytisus","laburnum","PSI"
"Platanthera","lacera","SC"
"Gilia","laciniata","SC"
"Medicago","laciniata","SC"
"Microseris","laciniata","SI"
"Solanum","laciniatum","SC"
"Helianthus","laciniatus","SI"
"Coix","lacryma","SC"
"Draba","lactea","SC"
"Schizanthus","lacteus","SC"
"Protea","lacticolor","SI"
"Leandra","lacunosa","PSI"
"Epidendrum","lacustre","SC"
"Cistus","ladanifer","SI"
"Astranthium","laetificum","SC"
"Helianthus","laetiflorus","SI"
"Schizanthus","laetus","SC"
"Symphyotrichum","laeve","SI"
"Biscutella","laevigata","SI"
"Dubautia","laevigata","SI"
"Echinacea","laevigata","SI"
"Miconia","laevigata","SI"
"Helianthus","laevigatus","SI"
"Aster","laevis","SI"
"Bidens","laevis","SI"
"Lycianthes","laevis","SC"
"Nassauvia","lagascae","SI"
"Simsia","lagascaeformis","SI"
"Tolpis","lagopoda","SI"
"Uraria","lagopoides","SC"
"Stigmaphyllon","lalandianum","SI"
"Aechmea","lamarchei","PSI"
"Chloraea","lamellata","PSI"
"Dendrobium","lamellatum","SI"
"Bulbostylis","lanata","PSI"
"Jaltomata","lanata","SC"
"Carthamus","lanatus","SC"
"Helianthus","lanatus","SI"
"Holcus","lanatus","SI"
"Coreopsis","lanceolata","SI"
"Grindelia","lanceolata","SI"
"Leucaena","lanceolata","SI"
"Microseris","lanceolata","SI"
"Persoonia","lanceolata","SI"
"Plantago","lanceolata","PSI"
"Protea","lanceolata","SI"
"Capsicum","lanceolatum","SC"
"Lonchocarpus","lanceolatum","PSI"
"Santalum","lanceolatum","SI"
"Lonchocarpus","lanceolatus","PSI"
"Nematanthus","lanceolatus","SC"
"Cymbidium","lancifolium","SC"
"Miconia","langsdorffii","SI"
"Nicotiana","langsdorffii","SC"
"Cipocereus","laniflorus","SI"
"Medicago","lanigera","SC"
"Clausena","Lansium","SC"
"Lathyrus","lanszwertii","SC"
"Cyanotis","lapidosa","SI"
"Trifolium","lappaceum","SC"
"Diapensia","lapponica","SC"
"Senecio","laseguei","SI"
"Carex","lasiocarpa","SI"
"Solanum","lasiocarpum","SC"
"Aechmea","lasseri","PSI"
"Quesnelia","lateralis","SI"
"Aster","lateriflorus","SI"
"Macroptilium","lathyroides","SC"
"Vicia","lathyroides","SC"
"Solanum","latiflorum","SI"
"Brunfelsia","latifolia","SI"
"Commelina","latifolia","SI"
"Coreopsis","latifolia","SI"
"Dubautia","latifolia","SI"
"Graffenrieda","latifolia","PSI"
"Kalmia","latifolia","PSI"
"Molineria","latifolia","SI"
"Olyra","latifolia","SC"
"Posoqueria","latifolia","PSI"
"Scleria","latifolia","PSI"
"Typha","latifolia","SC"
"Zornia","latifolia","SC"
"Lepidium","latifolium","SC"
"Linanthus","latisectus","SI"
"Galactia","latisiliqua","SC"
"Pachycladon","latisiliqua","SC"
"Erythrina","latissima","SC"
"Lespedeza","latissima","SC"
"Phyodina","laui","SC"
"Symphyotrichum","laurentianum","SC"
"Digomphia","laurifolia","SC"
"Passiflora","laurifolia","SI"
"Protea","laurifolia","SI"
"Eupomatia","laurina","SI"
"Tristaniopsis","laurina","SI"
"Trochocarpa","laurina","SI"
"Grevillea","lavandulacea","PSI"
"Lipochaeta","lavarum","SC"
"Melanthera","lavarum","SC"
"Blepharizonia","laxa","SI"
"Calliandra","laxa","PSI"
"Dubautia","laxa","SI"
"Lotononis","laxa","SC"
"Nolana","laxa","SI"
"Kniphofia","laxiflora","SI"
"Xyris","laxifolia","PSI"
"Silene","laxipruinosa","PSI"
"Solanum","laxissimum","PSI"
"Solanum","laxum","SI"
"Coreopsis","leavenworthii","SI"
"Stigmaphyllon","ledifolium","SC"
"Cercocarpus","ledifolius","PSI"
"Helianthus","lehmannii","SI"
"Tradescantia","leiandra","SC"
"Datura","leichhardtii","SC"
"Lilium","leichtlinii","SI"
"Solidago","leiocarpa","SC"
"Stylosanthes","leiocarpa","SC"
"Porophyllum","leiocarpum","SC"
"Rutidosis","leiolepis","SI"
"Hylocereus","lemairei","SI"
"Bidens","lemmonii","SC"
"Erigeron","lemmonii","SI"
"Silene","lemmonii","SC"
"Hydrocotyle","lemnoides","SC"
"Oncidium","lemonianum","SI"
"Aphelandra","leonardii","PSI"
"Dendrobium","leonis","SI"
"Leucheria","leontopodioides","SI"
"Watsonia","lepida","PSI"
"Miconia","lepidota","SI"
"Shorea","lepidota","SI"
"Tetramolopium","lepidotum","SC"
"Shorea","leprosula","SI"
"Combretum","leprosum","SI"
"Lasthenia","leptalea","SI"
"Bidens","leptocephala","SC"
"Taraxacum","leptocephalum","SC"
"Dendrobium","leptocladum","SI"
"Lotononis","leptoloba","SC"
"Erigeron","leptopetalus","SI"
"Eucalyptus","leptophylla","SI"
"Desmanthus","leptophyllus","SC"
"Erythrina","leptorhiza","SC"
"Rutidosis","leptorhynchoides","SI"
"Rutidosis","leptorrhynchoides","PSI"
"Turnera","leptosperma","SI"
"Lespedeza","leptostachya","SC"
"Pseudopiptadenia","leptostachya","SC"
"Paysonia","lescurii","SI"
"Indigofera","lespedezioides","SC"
"Solanum","leucandrum","SC"
"Baptisia","leucantha","SC"
"Montanoa","leucantha","SI"
"Senecio","leucanthemifolius","SI"
"Chrysanthemum","leucanthemum","SI"
"Erucastrum","leucanthum","SI"
"Taraxacum","leucanthum","SI"
"Trifolium","leucanthum","SC"
"Stylosanthes","leucocarpa","SC"
"Carthamus","leucocaulos","SC"
"Cordia","leucocephala","SI"
"Leucaena","leucocephala","PSI"
"Actinotus","leucocephalus","SC"
"Ilex","leucoclada","SI"
"Zinnia","leucoglossa","SI"
"Baptisia","leucophaea","SC"
"Platanthera","leucophaea","SC"
"Cordia","leucophlycthis","SC"
"Jaltomata","lezamae","SC"
"Lobularia","libyca","SC"
"Gazania","lichtensteinii","SI"
"Solanum","lidii","SC"
"Solanum","lignescens","SC"
"Alstroemeria","ligtu","PSI"
"Acacia","ligulata","PSI"
"Liatris","ligulistylis","SI"
"Ageratina","ligustrina","SI"
"Lyonia","ligustrina","SC"
"Eupatorium","ligustrinum","SI"
"Solanum","ligustrinum","SI"
"Miconia","ligustroides","PSI"
"Anthericum","liliago","SC"
"Statice","limonium","SI"
"Ionactis","linariifolia","SI"
"Nierembergia","linariifolia","SI"
"Aster","linariifolius","SI"
"Dendrobium","linawianum","SI"
"Broughtonia","lindenii","SC"
"Espeletia","lindenii","PSI"
"Dendrobium","lindleyi","SI"
"Uropappus","lindleyi","SC"
"Euchilopsis","lineari","SC"
"Grevillea","linearifolia","SI"
"Myrcia","linearifolia","SI"
"Senecio","linearifolius","SI"
"Calibrachoa","linearis","SI"
"Dubautia","linearis","SI"
"Flaveria","linearis","SI"
"Gibasis","linearis","SC"
"Nicotiana","linearis","SC"
"Aloe","lineata","SI"
"Chamaecrista","lineata","SC"
"Flemingia","lineata","SC"
"Convolvulus","lineatus","SI"
"Gasteria","lingua","PSI"
"Aphelandra","lingua-bovis","SC"
"Dendrobium","linguella","SI"
"Coreopsis","linifolia","SI"
"Erysimum","linifolium","SI"
"Astragalus","linifolius","PSI"
"Solanum","linnaeanum","SC"
"Calibrachoa","linoides","SI"
"Gagea","liotardi","SC"
"Anathallis","liparanges","SI"
"Dendroseris","litoralis","SC"
"Schizanthus","litoralis","SC"
"Verbena","litoralis","SC"
"Medicago","littoralis","SC"
"Medicago","littoralis_x_truncatula","SC"
"Dendrobium","lituiflorum","SI"
"Lactuca","livida","SC"
"Tradescantia","llamasii","SC"
"Lipochaeta","lobata","SC"
"Pueraria","lobata","SI"
"Stenostephanus","lobeliiformis","PSI"
"Dendrobium","loddigesii","SC"
"Sisymbrium","loeselii","SC"
"Jaltomata","lojae","SC"
"Gilia","lomensis","SC"
"Astragalus","lonchocarpus","SC"
"Rhynchosia","longeracemosa","SC"
"Ribes","longeracemosum","SI"
"Stylidium","longibraceteatum","SI"
"Mitracarpus","longicalyx","SI"
"Satyrium","longicauda","PSI"
"Polygala","longicaulis","SC"
"Vriesea","longicaulis","PSI"
"Gladiolus","longicollis","SI"
"Solanum","longiconicum","SC"
"Nicotiana","longiflora","SC"
"Lilium","longiflorum","SI"
"Acacia","longifolia","SC"
"Cyanotis","longifolia","SI"
"Galactia","longifolia","SC"
"Grevillea","longifolia","PSI"
"Heliomeris","longifolia","SI"
"Protea","longifolia","SI"
"Tephroseris","longifolia","SI"
"Thelymitra","longifolia","SC"
"Conospermum","longifolium","SI"
"Alysicarpus","longifolius","SI"
"Helianthus","longifolius","SI"
"Braya","longii","SC"
"Matthiola","longipetala","SI"
"Vriesea","longiscapa","PSI"
"Tococa","longisepala","SI"
"Dieffenbachia","longispatha","PSI"
"Bidens","longistyla","SC"
"Stylidium","longitubum","SC"
"Eriolarynx","lorentzii","SI"
"Adesmia","lotoides","SC"
"Phoenix","loureiroi","SI"
"Solanum","lucani","SC"
"Vitex","lucens","SC"
"Acaena","lucida","SC"
"Byrsonima","lucida","SI"
"Aster","lucidulus","SI"
