species,sexmorphs,flowersex,symmetry,pollination,habit,lifespan,flowersize,ovaryposition,numberofovules,numberofstamens,outcrossingrate,poratio,matingsystem,,,,,,,,,,,,
Hypericum perforatum,mono,bisexual,actinomorphic,biotic,herb,long,2,superior,NA,50,NA,NA,NA,,,,,,,,,,,,
Ilex opaca,di,unisexual,actinomorphic,biotic,woody,long,0.8,superior,NA,4,NA,NA,outcrossing,,,,,,,,,,,,
Impatiens capensis,mono,bisexual,zygomorphic,NA,herb,short,3.3,superior,5,5,NA,NA,NA,,,,,,,,,,,,
Ipomoea alba,NA,bisexual,actinomorphic,biotic,woody,short,9,superior,10,5,NA,NA,NA,,,,,,,,,,,,
Iris versicolor,mono,bisexual,actinomorphic,biotic,herb,long,12.3,inferior,NA,3,NA,NA,NA,,,,,,,,,,,,
Irvingbaileya australis,di,unisexual,actinomorphic,NA,NA,NA,0.4,superior,2,5,NA,NA,outcrossing,,,,,,,,,,,,
Juglans mandshurica,mono,unisexual,NA,abiotic,woody,long,NA,inferior,2,26,0.99,NA,outcrossing,,,,,,,,,,,,
Juncus effusus,mono,bisexual,actinomorphic,abiotic,herb,short,NA,superior,NA,3,0.02,48,selfing,,,,,,,,,,,,
Kalanchoe daigremontiana,mono,bisexual,actinomorphic,biotic,herb,short,2.5,intermediate/variable,2260,8,NA,192,NA,,,,,,,,,,,,
Kalmia latifolia,mono,bisexual,actinomorphic,biotic,woody,long,NA,superior,NA,10,0.9,NA,outcrossing,,,,,,,,,,,,
Kirengeshoma palmata,mono,bisexual,NA,biotic,herb,long,3.8,NA,NA,NA,NA,NA,outcrossing,,,,,,,,,,,,
Kirkia wilmsii,di,unisexual,actinomorphic,NA,woody,long,1,superior,NA,5,NA,NA,outcrossing,,,,,,,,,,,,
Lactoris fernandeziana,mono,polymorphic,actinomorphic,abiotic,woody,long,0.4,superior,18,6,NA,1815.3,NA,,,,,,,,,,,,
Lantana camara,mono,bisexual,zygomorphic,biotic,woody,long,0.7,superior,NA,4,NA,NA,NA,,,,,,,,,,,,
Lapageria rosea,mono,bisexual,actinomorphic,biotic,NA,NA,7.5,intermediate/variable,396,6,NA,1157,NA,,,,,,,,,,,,
Larrea tridentata,mono,bisexual,actinomorphic,biotic,woody,long,2.5,NA,NA,10,0.72,NA,intermediate,,,,,,,,,,,,
Lemna minor,mono,bisexual,NA,biotic,herb,short,0.1,superior,1,2,NA,NA,NA,,,,,,,,,,,,
Lepidobotrys staudtii,di,unisexual,actinomorphic,NA,woody,long,NA,superior,6,10,NA,NA,outcrossing,,,,,,,,,,,,
Limnanthes douglasii,di,bisexual,actinomorphic,biotic,herb,short,NA,superior,NA,10,0.85,NA,outcrossing,,,,,,,,,,,,
Linum perenne,mono,bisexual,actinomorphic,biotic,herb,long,3.5,superior,10,5,NA,NA,outcrossing,,,,,,,,,,,,
Liriodendron chinense,mono,bisexual,actinomorphic,biotic,woody,long,3.5,superior,9999,60,0.63,NA,intermediate,,,,,,,,,,,,
Loasa heterophylla,mono,bisexual,actinomorphic,NA,herb,long,NA,inferior,NA,7,NA,NA,NA,,,,,,,,,,,,
Lobelia angulata,di,polymorphic,zygomorphic,biotic,herb,long,1.4,inferior,NA,5,NA,NA,NA,,,,,,,,,,,,
Ludwigia adscendens,mono,bisexual,actinomorphic,biotic,herb,long,3,inferior,40,10,NA,NA,NA,,,,,,,,,,,,
Lythrum salicaria,mono,bisexual,actinomorphic,biotic,herb,long,1.5,superior,NA,12,NA,NA,outcrossing,,,,,,,,,,,,
Malesherbia linearifolia,mono,bisexual,actinomorphic,biotic,herb,long,2.5,superior,1515,5,NA,NA,NA,,,,,,,,,,,,
Malpighia emarginata,mono,bisexual,zygomorphic,biotic,woody,long,2.3,superior,3,10,0.99,NA,outcrossing,,,,,,,,,,,,
Manihot esculenta,mono,unisexual,actinomorphic,biotic,herb,long,0.2,superior,3,10,0.96,NA,outcrossing,,,,,,,,,,,,
Manilkara zapota,mono,bisexual,actinomorphic,biotic,woody,long,1.4,superior,9,6,0.82,NA,outcrossing,,,,,,,,,,,,
Marathrum rubrum,mono,bisexual,actinomorphic,abiotic,herb,short,NA,superior,1444,8,0.07,616,selfing,,,,,,,,,,,,
Mayaca fluviatilis,mono,bisexual,actinomorphic,NA,herb,long,1,superior,6,3,NA,NA,NA,,,,,,,,,,,,
Mazus pumilus,mono,bisexual,zygomorphic,biotic,herb,short,0.7,superior,1998,4,NA,22.1,selfing,,,,,,,,,,,,
Medicago sativa,mono,bisexual,zygomorphic,biotic,herb,long,1.8,superior,NA,10,0.86,399,outcrossing,,,,,,,,,,,,
Melocactus curvispinus,mono,bisexual,NA,biotic,herb,long,NA,inferior,NA,NA,NA,400,NA,,,,,,,,,,,,
Menispermum canadense,di,unisexual,actinomorphic,NA,NA,long,NA,superior,6,17,NA,NA,NA,,,,,,,,,,,,
Menyanthes trifoliata,mono,bisexual,actinomorphic,biotic,herb,long,1.5,superior,20,5,NA,NA,outcrossing,,,,,,,,,,,,
Miconia affinis,NA,NA,actinomorphic,biotic,woody,long,0.5,intermediate/variable,NA,10,NA,NA,NA,,,,,,,,,,,,
Mirabilis jalapa,mono,bisexual,actinomorphic,biotic,herb,short,4,superior,1,5,NA,321,NA,,,,,,,,,,,,
Misodendrum linearifolium,di,unisexual,actinomorphic,NA,woody,NA,0.1,inferior,3,3,NA,NA,outcrossing,,,,,,,,,,,,
Mollugo verticillata,mono,bisexual,actinomorphic,biotic,herb,short,0.2,superior,40,4,NA,39.5,NA,,,,,,,,,,,,
Monotropa hypopitys,mono,bisexual,actinomorphic,biotic,herb,long,NA,superior,NA,9,NA,NA,outcrossing,,,,,,,,,,,,
Montinia caryophyllacea,di,unisexual,actinomorphic,NA,NA,NA,0.5,inferior,12,4,NA,NA,outcrossing,,,,,,,,,,,,
Moringa oleifera,mono,bisexual,zygomorphic,biotic,woody,long,2,superior,NA,5,0.77,523,intermediate,,,,,,,,,,,,
Myriophyllum sibiricum,mono,polymorphic,actinomorphic,biotic,herb,long,NA,inferior,4,8,NA,NA,NA,,,,,,,,,,,,
Myristica fragrans,di,unisexual,actinomorphic,biotic,woody,long,0.8,superior,1,10,0.9,797664,outcrossing,,,,,,,,,,,,
Myrothamnus moschata,di,unisexual,NA,NA,NA,NA,NA,superior,NA,4,NA,NA,outcrossing,,,,,,,,,,,,
Myrtus communis,mono,bisexual,actinomorphic,biotic,woody,long,2.5,NA,NA,145,0.58,NA,intermediate,,,,,,,,,,,,
Narthecium ossifragum,NA,polymorphic,actinomorphic,abiotic,herb,long,NA,superior,NA,6,NA,NA,NA,,,,,,,,,,,,
Nelumbo lutea,mono,bisexual,actinomorphic,biotic,herb,long,10,superior,25,234,0.51,NA,intermediate,,,,,,,,,,,,
Nelumbo nucifera,mono,bisexual,actinomorphic,biotic,herb,long,16.5,superior,30,300,0.98,NA,outcrossing,,,,,,,,,,,,
Nemesia strumosa,mono,bisexual,NA,NA,herb,short,2.5,superior,NA,4,NA,NA,outcrossing,,,,,,,,,,,,
Nepenthes macfarlanei,di,unisexual,actinomorphic,mixed,woody,long,1,NA,NA,NA,NA,NA,outcrossing,,,,,,,,,,,,
Nicotiana tabacum,mono,bisexual,NA,biotic,herb,short,4.3,superior,NA,5,NA,NA,NA,,,,,,,,,,,,
Nolana humifusa,NA,bisexual,actinomorphic,biotic,herb,short,2.6,superior,NA,5,NA,NA,NA,,,,,,,,,,,,
Nothofagus dombeyi,mono,unisexual,NA,abiotic,woody,long,NA,NA,NA,11,0.96,NA,outcrossing,,,,,,,,,,,,
Nuphar advena,mono,bisexual,actinomorphic,biotic,herb,long,4,superior,NA,180,NA,NA,NA,,,,,,,,,,,,
Nymphaea odorata,mono,bisexual,NA,biotic,herb,long,12.5,intermediate/variable,2260,77,NA,NA,NA,,,,,,,,,,,,
Nymphoides peltata,mono,bisexual,actinomorphic,biotic,herb,long,3.5,superior,NA,5,0.71,NA,intermediate,,,,,,,,,,,,
Nyssa ogeche,di,unisexual,actinomorphic,NA,NA,NA,NA,inferior,NA,8,NA,NA,outcrossing,,,,,,,,,,,,
