Genus,Species,Seed_weight,References
Irvingbaileya,australis,220,Seed_Information_Database(https://ser-sid.org)
Juglans,mandshurica,9259,Seed_Information_Database(https://ser-sid.org)
Jumellea,fragrans,,
Juncus,effusus,0.02,Seed_Information_Database(https://ser-sid.org)
Kalanchoe,daigremontiana,0.02,Seed_Information_Database(https://ser-sid.org)
Kalmia,latifolia,0.02,Seed_Information_Database(https://ser-sid.org)
Kielmeyera,regalis,,
Kirengeshoma,palmata,1.74,Seed_Information_Database(https://ser-sid.org)
Kirkia,wilmsii,13.99,Seed_Information_Database(https://ser-sid.org)
Lactoris,fernandeziana,,
Lantana,camara,11.14,Seed_Information_Database(https://ser-sid.org)
Lapageria,rosea,,
Larrea,tridentata,6.44,Seed_Information_Database(https://ser-sid.org)
Lemna,minor,,
Lepidobotrys,staudtii,,
Limnanthes,douglasii,7.12,Seed_Information_Database(https://ser-sid.org)
Linum,perenne,1.4,Seed_Information_Database(https://ser-sid.org)
Liparis,loeselii,0.001,Seed_Information_Database(https://ser-sid.org)
Liriodendron,chinense,,
Loasa,heterophylla,,
Lobelia,angulata,0.08,Seed_Information_Database(https://ser-sid.org)
Ludwigia,adscendens,,
Lythrum,salicaria,0.07,Seed_Information_Database(https://ser-sid.org)
Malesherbia,linearifolia,1.29,Seed_Information_Database(https://ser-sid.org)
Malpighia,emarginata,23.15,Seed_Information_Database(https://ser-sid.org)
Manihot,esculenta,114,Seed_Information_Database(https://ser-sid.org)
Manilkara,zapota,126.74,Seed_Information_Database(https://ser-sid.org)
Marathrum,rubrum,,
Mayaca,fluviatilis,,
Mazus,pumilus,0.01,Seed_Information_Database(https://ser-sid.org)
Medicago,sativa,2.24,Seed_Information_Database(https://ser-sid.org)
Melocactus,curvispinus,0.36,Seed_Information_Database(https://ser-sid.org)
Menispermum,canadense,68.67,Seed_Information_Database(https://ser-sid.org)
Menyanthes,trifoliata,2.45,Seed_Information_Database(https://ser-sid.org)
Miconia,affinis,0.3,Seed_Information_Database(https://ser-sid.org)
Mirabilis,jalapa,79.23,Seed_Information_Database(https://ser-sid.org)
Misodendrum,linearifolium,,
Mollugo,verticillata,0.09,Seed_Information_Database(https://ser-sid.org)
Monotropa,hypopitys,0.001,Seed_Information_Database(https://ser-sid.org)
Montinia,caryophyllacea,5.72,Seed_Information_Database(https://ser-sid.org)
Moringa,oleifera,237.33,Seed_Information_Database(https://ser-sid.org)
Myriophyllum,sibiricum,,
Myristica,fragrans,7792.8,Seed_Information_Database(https://ser-sid.org)
Myrothamnus,moschata,,
Myrtus,communis,7.92,Seed_Information_Database(https://ser-sid.org)
Narthecium,ossifragum,0.1,Seed_Information_Database(https://ser-sid.org)
Nelumbo,lutea,,
